"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.160583339E-3,6.246510315E-1,-1.419348450E0,9.284592590E0,9.413203413E0
1.218558333E-2,6.694079590E-1,-1.228944397E0,9.009614410E0,9.117651187E0
2.221158334E-2,8.402027893E-1,-9.936337280E-1,9.003477173E0,9.097024234E0
3.223658333E-2,9.922865295E-1,-8.566685486E-1,9.344019012E0,9.435528860E0
4.226158334E-2,9.457333374E-1,-7.692503357E-1,9.896520081E0,9.971322246E0
5.228758333E-2,8.065228271E-1,-7.114704895E-1,1.033630554E1,1.039210670E1
6.231258334E-2,7.966433716E-1,-6.727011108E-1,1.045650558E1,1.050836222E1
7.233758333E-2,8.605604553E-1,-6.430627441E-1,1.030082932E1,1.035669728E1
8.236358334E-2,8.888516235E-1,-6.325845337E-1,1.007165588E1,1.013057119E1
9.238858334E-2,9.023236084E-1,-6.538403320E-1,9.882149963E0,9.944776668E0
1.024135833E-1,8.565188599E-1,-7.324269104E-1,9.782157898E0,9.846861778E0
1.124395833E-1,7.589218140E-1,-8.842112732E-1,9.737400970E0,9.806873587E0
1.224645833E-1,7.256909180E-1,-1.080004120E0,9.774374084E0,9.860599624E0
1.324895833E-1,8.080197144E-1,-1.225202179E0,9.801467743E0,9.910740949E0
1.425155833E-1,9.117539978E-1,-1.285526733E0,9.754465485E0,9.880965096E0
1.525405833E-1,9.967771912E-1,-1.234183502E0,9.695188751E0,9.824126353E0
1.625655833E-1,1.089733887E0,-1.080902252E0,9.751771088E0,9.871823994E0
1.725915833E-1,1.062939606E0,-8.557704163E-1,9.851613464E0,9.945676018E0
1.826165833E-1,9.334588623E-1,-6.212081909E-1,9.945468292E0,1.000847564E1
1.926425833E-1,8.505313110E-1,-4.454736328E-1,1.001163071E1,1.005756430E1
2.026675833E-1,8.012837219E-1,-4.037104797E-1,1.001582199E1,1.005592999E1
2.126925833E-1,7.182064819E-1,-4.722679138E-1,9.951306152E0,9.988360810E0
2.227185833E-1,5.742059326E-1,-6.252497864E-1,9.840536499E0,9.877085012E0
2.327435833E-1,6.063890076E-1,-7.587721252E-1,9.733658752E0,9.782001609E0
2.427685833E-1,8.143066406E-1,-8.428971863E-1,9.710606689E0,9.781076283E0
2.527945833E-1,9.874964905E-1,-9.078620911E-1,9.785001984E0,9.876518957E0
2.628195833E-1,1.071621552E0,-9.379495239E-1,9.930050354E0,1.003165102E1
2.728445833E-1,1.067579956E0,-9.675878906E-1,1.000264938E1,1.010588680E1
2.828705833E-1,9.461824036E-1,-9.421408081E-1,1.001043320E1,1.009909220E1
2.928955833E-1,8.045768738E-1,-8.985813904E-1,9.957144012E0,1.002993068E1
3.029205833E-1,7.354206848E-1,-8.416996765E-1,9.854307861E0,9.917493905E0
3.129465833E-1,7.994874573E-1,-8.143066406E-1,9.785451050E0,9.851767747E0
3.229715833E-1,9.369017029E-1,-8.271798706E-1,9.761500854E0,9.841184394E0
3.329965833E-1,1.002315674E0,-8.975335693E-1,9.840985565E0,9.932532412E0
3.430225833E-1,9.262738037E-1,-9.886940002E-1,9.903405762E0,9.995646286E0
