"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.622250013E-3,3.677851868E-1,-2.957250366E0,9.606872406E0,1.005845878E1
8.402749983E-3,-9.505233765E-2,-2.790796509E0,8.958420868E0,9.383543283E0
1.842774998E-2,-4.129911804E-1,-2.754571838E0,8.557704163E0,8.999584894E0
2.845274998E-2,-7.845185852E-1,-2.858006744E0,8.541687469E0,9.041244206E0
3.847775000E-2,-8.303233337E-1,-2.560425568E0,8.985065460E0,9.379585132E0
4.850275000E-2,-6.586303711E-1,-2.287692719E0,9.412875824E0,9.709251424E0
5.852774999E-2,-6.114784241E-1,-2.216440887E0,9.700876923E0,9.969630341E0
6.855274999E-2,-6.319857788E-1,-2.232008514E0,9.995763702E0,1.026141121E1
7.857674998E-2,-6.231541443E-1,-2.288141785E0,1.008542725E1,1.036049017E1
8.860174997E-2,-6.391708374E-1,-2.357297974E0,9.891430664E0,1.018851283E1
9.862675000E-2,-6.616241455E-1,-2.415077820E0,9.618997192E0,9.939590252E0
1.086518750E-1,-6.521937561E-1,-2.461331635E0,9.422156525E0,9.760150802E0
1.186768750E-1,-6.131250000E-1,-2.526296539E0,9.330696716E0,9.686072356E0
1.287018750E-1,-5.593867493E-1,-2.604583740E0,9.296417999E0,9.670582072E0
1.387268750E-1,-5.363346863E-1,-2.645299072E0,9.387279053E0,9.767613326E0
1.487508750E-1,-5.483097839E-1,-2.667153625E0,9.566157074E0,9.946140621E0
1.587758750E-1,-5.674699402E-1,-2.727927246E0,9.672885132E0,1.006619670E1
1.688008750E-1,-5.777984619E-1,-2.792443085E0,9.670340424E0,1.008201733E1
1.788258750E-1,-6.004014587E-1,-2.821033630E0,9.625134430E0,1.004798116E1
1.888508750E-1,-6.307882690E-1,-2.839595032E0,9.629325714E0,1.005908085E1
1.988758750E-1,-6.538403320E-1,-2.838696899E0,9.637259216E0,1.006789315E1
2.089008750E-1,-6.245013428E-1,-2.835553436E0,9.547745361E0,9.979469260E0
2.189258750E-1,-6.072871399E-1,-2.823578339E0,9.434431000E0,9.866604309E0
2.289498750E-1,-5.887257385E-1,-2.802172852E0,9.423054657E0,9.848488704E0
2.389748750E-1,-5.610333252E-1,-2.751578064E0,9.505084076E0,9.911234208E0
2.489998750E-1,-5.405259705E-1,-2.701282654E0,9.576934662E0,9.965278411E0
2.590248750E-1,-5.144801331E-1,-2.642904053E0,9.566306763E0,9.938000640E0
2.690498750E-1,-5.179229736E-1,-2.614014130E0,9.560618591E0,9.925056268E0
2.790748750E-1,-5.354365540E-1,-2.612816620E0,9.584868164E0,9.949030139E0
2.890998750E-1,-5.465135193E-1,-2.633174286E0,9.595795441E0,9.965519253E0
2.991248750E-1,-5.712121582E-1,-2.633323975E0,9.601184235E0,9.972132028E0
3.091488750E-1,-5.502557373E-1,-2.633323975E0,9.584419098E0,9.954811197E0
3.191738750E-1,-5.387297058E-1,-2.630928955E0,9.547296295E0,9.917806381E0
3.291988750E-1,-5.276527405E-1,-2.650388489E0,9.527088318E0,9.902948469E0
3.392238750E-1,-5.066963196E-1,-2.664758606E0,9.525741119E0,9.904414342E0
3.492488750E-1,-4.867877197E-1,-2.648292847E0,9.540709991E0,9.913403272E0
3.592738750E-1,-4.716691589E-1,-2.641856232E0,9.570797424E0,9.939921503E0
3.692988750E-1,-4.406835938E-1,-2.658172302E0,9.621841278E0,9.991992374E0
3.793238750E-1,-4.351451111E-1,-2.669398956E0,9.633666687E0,1.000612692E1
3.893478750E-1,-4.317022705E-1,-2.678230591E0,9.603728943E0,9.979523814E0
3.993728750E-1,-4.327500916E-1,-2.687960358E0,9.570947113E0,9.950649836E0
4.093978750E-1,-4.315525818E-1,-2.675985260E0,9.517358551E0,9.895819750E0
4.194228750E-1,-4.297563171E-1,-2.666554871E0,9.529782715E0,9.905148356E0
4.294478750E-1,-4.234693909E-1,-2.644999695E0,9.648785248E0,1.001371092E1
4.394728750E-1,-4.400848389E-1,-2.621049500E0,9.733958130E0,1.009026838E1
4.494978750E-1,-4.447251892E-1,-2.586172028E0,9.706116028E0,1.005458873E1
4.595218750E-1,-4.719685364E-1,-2.558778992E0,9.594597931E0,9.941147503E0
4.695468750E-1,-4.794529724E-1,-2.538271637E0,9.501641235E0,9.846516350E0
4.795718750E-1,-4.990621948E-1,-2.537373505E0,9.470955048E0,9.817653329E0
4.895968750E-1,-5.123844910E-1,-2.521506500E0,9.433383179E0,9.777998317E0
4.996218750E-1,-5.120851135E-1,-2.489473114E0,9.443112946E0,9.779166102E0
5.096468750E-1,-5.219645691E-1,-2.501747589E0,9.521849213E0,9.858843768E0
5.196718750E-1,-5.676196289E-1,-2.568359070E0,9.522897034E0,9.879485223E0
5.296968750E-1,-5.905220032E-1,-2.613714752E0,9.560618591E0,9.929030612E0
5.397208750E-1,-5.517526245E-1,-2.705324249E0,9.681118011E0,1.006713744E1
5.497458750E-1,-4.367916870E-1,-2.793640594E0,9.732610931E0,1.013503479E1
5.597708750E-1,-3.269201660E-1,-2.796185303E0,9.741442566E0,1.014008049E1
5.697958750E-1,-3.600013733E-1,-2.706072693E0,9.678423615E0,1.005605858E1
5.798208750E-1,-5.234614563E-1,-2.636916504E0,9.608369293E0,9.977379467E0
5.898458750E-1,-6.378236389E-1,-2.590063934E0,9.555379486E0,9.920712036E0
5.998708750E-1,-6.583309937E-1,-2.548600159E0,9.452543335E0,9.812203522E0
6.098948750E-1,-5.983058167E-1,-2.531984711E0,9.446406097E0,9.798137812E0
6.199198750E-1,-5.710624695E-1,-2.499651947E0,9.542057190E0,9.880547941E0
6.299448750E-1,-5.665718079E-1,-2.465073853E0,9.607022095E0,9.934408198E0
6.399698750E-1,-5.631289673E-1,-2.448608093E0,9.596693573E0,9.920147346E0
6.499948750E-1,-5.541476440E-1,-2.448757782E0,9.519753571E0,9.845262939E0
6.600198750E-1,-5.304968262E-1,-2.486928406E0,9.447304230E0,9.783547260E0
6.700448750E-1,-4.769082642E-1,-2.538571014E0,9.447603607E0,9.794335006E0
6.800698750E-1,-4.526586914E-1,-2.616409149E0,9.469458160E0,9.834690365E0
6.900938750E-1,-4.858895874E-1,-2.686164093E0,9.495953064E0,9.880520777E0
7.001188750E-1,-5.433700562E-1,-2.738555145E0,9.517208862E0,9.918276051E0
7.101438750E-1,-5.872288513E-1,-2.763403473E0,9.539512482E0,9.949046933E0
7.201688750E-1,-6.012995911E-1,-2.774031372E0,9.568552094E0,9.980681360E0
7.301938750E-1,-6.069877625E-1,-2.784060516E0,9.515412598E0,9.932900080E0
7.402188750E-1,-6.078858948E-1,-2.782264252E0,9.423653412E0,9.844580400E0
7.502438750E-1,-6.004014587E-1,-2.765948181E0,9.423054657E0,9.838948639E0
7.602688750E-1,-5.769003296E-1,-2.739602966E0,9.500294037E0,9.904232691E0
7.702928750E-1,-5.704637146E-1,-2.716101837E0,9.584419098E0,9.978162530E0
7.803178750E-1,-5.761518860E-1,-2.694247284E0,9.637109528E0,1.002321303E1
7.903428750E-1,-5.557942200E-1,-2.660417633E0,9.582024078E0,9.960015795E0
8.003678750E-1,-5.330415344E-1,-2.623145142E0,9.465865631E0,9.837054227E0
8.103928750E-1,-5.351371765E-1,-2.594105530E0,9.367819519E0,9.735080782E0
8.204178750E-1,-5.542973328E-1,-2.564167786E0,9.365274811E0,9.725768568E0
8.304428750E-1,-5.575904846E-1,-2.588117981E0,9.446106720E0,9.810106727E0
8.404678750E-1,-4.864883423E-1,-2.640658722E0,9.509125671E0,9.880952405E0
8.504918750E-1,-4.382885742E-1,-2.693349152E0,9.563462677E0,9.945151829E0
8.605168750E-1,-4.890330505E-1,-2.728376312E0,9.732012177E0,1.011905389E1
8.705418750E-1,-5.352868652E-1,-2.750679932E0,9.885892181E0,1.027538984E1
8.805668750E-1,-5.257067871E-1,-2.735711060E0,9.870324554E0,1.025591485E1
8.905918750E-1,-4.802014160E-1,-2.692750397E0,9.686806183E0,1.006557063E1
9.006168750E-1,-4.787045288E-1,-2.659519501E0,9.512568512E0,9.888941384E0
9.106418750E-1,-5.007087708E-1,-2.589914246E0,9.452842712E0,9.814000225E0
9.206658750E-1,-5.117857361E-1,-2.472857666E0,9.515562286E0,9.844941610E0
9.306908750E-1,-4.987628174E-1,-2.387235718E0,9.589957581E0,9.895198084E0
9.407158750E-1,-4.728666687E-1,-2.357747040E0,9.531728668E0,9.830382769E0
9.507408750E-1,-4.677772522E-1,-2.391277313E0,9.470955048E0,9.779366659E0
9.607658750E-1,-5.421725464E-1,-2.473456421E0,9.492061157E0,9.824009505E0
9.707908750E-1,-5.894741821E-1,-2.599943390E0,9.557624817E0,9.922468321E0
9.808158750E-1,-6.057902527E-1,-2.686912537E0,9.586664429E0,9.974498267E0
9.908408750E-1,-5.984555054E-1,-2.736010437E0,9.562863922E0,9.964550592E0
1.000864875E0,-5.854325867E-1,-2.809058533E0,9.480385437E0,9.905112275E0
1.010889875E0,-5.695655823E-1,-2.909050598E0,9.330547028E0,9.790101540E0
1.020914875E0,-5.596861267E-1,-2.974165192E0,9.314530334E0,9.793844112E0
1.030939875E0,-5.478607178E-1,-2.985541534E0,9.490713959E0,9.964299326E0
1.040964875E0,-5.126838684E-1,-2.952759705E0,9.648036804E0,1.010278421E1
1.050989875E0,-4.990621948E-1,-2.903063049E0,9.707313538E0,1.014439620E1
1.061014875E0,-5.051994324E-1,-2.847827911E0,9.698032837E0,1.012013790E1
1.071038875E0,-4.974156189E-1,-2.774630127E0,9.598340149E0,1.000370573E1
1.081063875E0,-4.968168640E-1,-2.731220398E0,9.323062592E0,9.727583870E0
1.091088875E0,-5.559439087E-1,-2.727178802E0,9.174272003E0,9.587170836E0
1.101113875E0,-6.227050781E-1,-2.802172852E0,9.326655121E0,9.758403048E0
