"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.273980800E-2,1.028940678E0,-1.413794994E0,9.071086884E0
2.516579800E-2,1.033351779E0,-1.447916150E0,9.137942314E0
2.759178700E-2,1.071222544E0,-1.448493838E0,9.180788994E0
3.001777700E-2,1.061571121E0,-1.467802882E0,9.204707146E0
3.244376700E-2,1.089871645E0,-1.482692719E0,9.242763519E0
3.486975600E-2,1.099394202E0,-1.473249674E0,9.257108688E0
3.729574600E-2,1.099349380E0,-1.468730211E0,9.300222397E0
3.972173500E-2,1.094578385E0,-1.464110494E0,9.333790779E0
4.214772500E-2,1.099293232E0,-1.459563851E0,9.367299080E0
4.457371400E-2,1.094382763E0,-1.474230409E0,9.410359383E0
4.699970400E-2,1.089502454E0,-1.484091401E0,9.453441620E0
4.942569400E-2,1.084639192E0,-1.493888974E0,9.486947060E0
5.185168300E-2,1.079806447E0,-1.498880625E0,9.520475388E0
5.427767300E-2,1.079703212E0,-1.508651018E0,9.544372559E0
5.670366200E-2,1.055730224E0,-1.542267442E0,9.568322182E0
5.912965200E-2,1.074510813E0,-1.571279049E0,9.572860718E0
6.155564200E-2,1.041112661E0,-1.595211387E0,9.596913338E0
6.398163100E-2,1.050409317E0,-1.614761114E0,9.635073662E0
6.640762100E-2,1.035953641E0,-1.643644929E0,9.658981323E0
6.883361000E-2,1.031051159E0,-1.658279657E0,9.697253227E0
7.125960000E-2,1.035652161E0,-1.672924042E0,9.725889206E0
7.368558900E-2,1.007133603E0,-1.672927856E0,9.759592056E0
7.611157900E-2,1.021204472E0,-1.687708616E0,9.797740936E0
7.853756900E-2,1.021209955E0,-1.682998180E0,9.812127113E0
8.096355800E-2,9.924991131E-1,-1.711867929E0,9.850490570E0
8.338954800E-2,9.924795032E-1,-1.707252979E0,9.879240990E0
8.581553700E-2,9.925072789E-1,-1.697768688E0,9.898434639E0
8.824152700E-2,9.829090834E-1,-1.707498074E0,9.927184105E0
9.066751700E-2,9.782744646E-1,-1.678913593E0,9.970433235E0
9.309350600E-2,9.876966476E-1,-1.683919191E0,9.989502907E0
9.551949600E-2,9.781934023E-1,-1.683909893E0,9.999141693E0
9.794548500E-2,9.878332615E-1,-1.659954429E0,9.999184608E0
1.003714750E-1,9.784527421E-1,-1.640722513E0,1.000890541E1
1.027974640E-1,9.691056609E-1,-1.621363401E0,9.999475479E0
1.052234540E-1,9.691224694E-1,-1.621299744E0,9.989897728E0
1.076494440E-1,9.646220207E-1,-1.592206597E0,9.956538200E0
1.100754330E-1,9.599178433E-1,-1.587332726E0,9.951802254E0
1.125014230E-1,9.504955411E-1,-1.582327127E0,9.932731628E0
1.149274120E-1,9.411012530E-1,-1.581904411E0,9.880125046E0
1.173534020E-1,9.412687421E-1,-1.567201257E0,9.837094307E0
1.197793920E-1,9.460790753E-1,-1.566983461E0,9.798758507E0
1.222053810E-1,9.414559603E-1,-1.557112932E0,9.765314102E0
1.246313710E-1,9.556078315E-1,-1.580964684E0,9.722023010E0
1.270573600E-1,9.558312297E-1,-1.561360478E0,9.664649963E0
1.294833500E-1,9.748407006E-1,-1.566057682E0,9.626200676E0
1.319093390E-1,9.842855930E-1,-1.580356956E0,9.597347260E0
1.343353290E-1,9.843972325E-1,-1.570554733E0,9.568659782E0
1.367613190E-1,9.796290994E-1,-1.584681153E0,9.530323982E0
1.391873080E-1,9.892718196E-1,-1.565404177E0,9.511192322E0
1.416132980E-1,9.940263629E-1,-1.570087194E0,9.487199783E0
1.440392870E-1,1.017812371E0,-1.560626388E0,9.482299805E0
1.464652770E-1,1.017793059E0,-1.570078731E0,9.458316803E0
1.488912670E-1,1.008476615E0,-1.545913935E0,9.448907852E0
1.513640790E-1,9.800561666E-1,-1.540857792E0,9.444325447E0
1.537871000E-1,9.705780149E-1,-1.540753126E0,9.439598083E0
1.562098080E-1,9.849389195E-1,-1.521607876E0,9.434802055E0
1.586325170E-1,9.707007408E-1,-1.521530390E0,9.439682007E0
1.610553810E-1,1.004034638E0,-1.502530932E0,9.434762001E0
1.634780890E-1,9.897573590E-1,-1.507290959E0,9.444410324E0
1.659009540E-1,1.004151821E0,-1.488018632E0,9.420460701E0
1.683238190E-1,9.804356098E-1,-1.487836361E0,9.420615196E0
1.707465790E-1,9.756671190E-1,-1.487895131E0,9.435009956E0
1.731694960E-1,9.850894213E-1,-1.492901087E0,9.454079628E0
1.755923600E-1,9.898633361E-1,-1.488131762E0,9.454070091E0
1.780151210E-1,9.944977760E-1,-1.502648711E0,9.463551521E0
1.804379850E-1,9.897209406E-1,-1.502739549E0,9.482735634E0
1.828606940E-1,9.706391096E-1,-1.517074227E0,9.492373466E0
1.852835580E-1,9.943776727E-1,-1.512482762E0,9.497028351E0
1.877063190E-1,9.752567410E-1,-1.531654835E0,9.511430740E0
1.901292350E-1,9.798996449E-1,-1.546140313E0,9.516126633E0
1.925521000E-1,9.751925468E-1,-1.536587834E0,9.530563354E0
1.949748080E-1,9.750139713E-1,-1.560711622E0,9.544822693E0
1.973976730E-1,9.702594876E-1,-1.556028366E0,9.568815231E0
1.998203810E-1,9.844363332E-1,-1.565717340E0,9.563893318E0
2.022432460E-1,9.795591235E-1,-1.580256939E0,9.587802887E0
2.046659540E-1,9.699831605E-1,-1.585212231E0,9.621359825E0
