"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.802083226E-4,-2.577639771E-1,-3.703598328E0,9.088949432E0,9.817947068E0
9.344791673E-3,-2.273771667E-1,-4.004921722E0,9.656419373E0,1.045645894E1
1.936979167E-2,-2.122586060E-1,-3.639681244E0,9.479936371E0,1.015684631E1
2.939379169E-2,1.106199646E-1,-3.155438232E0,8.271349640E0,8.853488131E0
3.941879168E-2,1.707948303E-1,-3.017724609E0,7.373666382E0,7.969114669E0
4.944379168E-2,-1.092727661E-1,-2.998414764E0,7.716303864E0,8.279116919E0
5.946879167E-2,-1.534309387E-1,-3.040626984E0,9.002429352E0,9.503298782E0
6.949279169E-2,2.978805542E-2,-3.175496521E0,1.018287460E1,1.066656461E1
7.951779169E-2,5.822891235E-2,-3.311862946E0,1.061173279E1,1.111668564E1
8.954279168E-2,-7.589218140E-2,-3.363505554E0,1.029080017E1,1.082679534E1
9.956779168E-2,-1.109193420E-1,-3.354973297E0,9.766290894E0,1.032708026E1
1.095917917E-1,-5.643264771E-2,-3.329226837E0,9.478888550E0,1.004670414E1
1.196167917E-1,-2.409988403E-2,-3.300336914E0,9.276509399E0,9.846137882E0
1.296417917E-1,-2.739303589E-2,-3.247646484E0,9.013206940E0,9.580493589E0
1.396667917E-1,-4.819976807E-2,-3.210373993E0,8.857231293E0,9.421219166E0
1.496907917E-1,-5.673202515E-2,-3.206182709E0,8.972491608E0,9.528296371E0
1.597157917E-1,-4.700225830E-2,-3.234174500E0,9.301507416E0,9.847849212E0
1.697407917E-1,-4.206253052E-2,-3.269650726E0,9.598639526E0,1.014032869E1
1.797647917E-1,-5.508544922E-2,-3.294499054E0,9.706714783E0,1.025071072E1
1.897897917E-1,-5.688171387E-2,-3.314407654E0,9.641001434E0,1.019497142E1
1.998147917E-1,-4.281097412E-2,-3.307521973E0,9.483977966E0,1.004427063E1
2.098397917E-1,-3.861968994E-2,-3.288960571E0,9.341623993E0,9.903771602E0
2.198637917E-1,-3.921844482E-2,-3.262016602E0,9.242979126E0,9.801783181E0
2.298887917E-1,-3.502716064E-2,-3.233276367E0,9.207652588E0,9.758902046E0
2.399137917E-1,-2.933898926E-2,-3.219804382E0,9.259295197E0,9.803190734E0
2.499387917E-1,-3.562591553E-2,-3.225043488E0,9.357041931E0,9.897292984E0
2.599627917E-1,-3.951782227E-2,-3.243904266E0,9.428742828E0,9.971242043E0
2.699877917E-1,-3.293151855E-2,-3.275937653E0,9.453740845E0,1.000530199E1
2.800127917E-1,-3.847000122E-2,-3.284320221E0,9.442065125E0,9.997041216E0
2.900377917E-1,-4.460723877E-2,-3.288661194E0,9.417665863E0,9.975455506E0
3.000617917E-1,-3.817062378E-2,-3.289259949E0,9.417665863E0,9.975626212E0
3.100867917E-1,-3.787124634E-2,-3.272943878E0,9.407337341E0,9.960501579E0
3.201117917E-1,-3.966751099E-2,-3.235521698E0,9.342222748E0,9.886723423E0
3.301367917E-1,-5.164260864E-2,-3.189417572E0,9.298363953E0,9.830291125E0
3.401607917E-1,-5.957611084E-2,-3.163072357E0,9.350605316E0,9.871291497E0
3.501857917E-1,-8.472381592E-2,-3.179089050E0,9.389973450E0,9.913898663E0
3.602107917E-1,-1.423539734E-1,-3.184777222E0,9.266629944E0,9.799668419E0
3.702357917E-1,-1.826202393E-1,-3.239712982E0,9.323960724E0,9.872453289E0
3.802597917E-1,-7.963439941E-2,-3.325933685E0,9.561516724E0,1.012377294E1
3.902847917E-1,4.086502075E-2,-3.380869446E0,9.554780731E0,1.013537286E1
4.003097917E-1,5.313949585E-2,-3.382665710E0,9.317973175E0,9.913116322E0
4.103337917E-1,2.155517578E-2,-3.382066956E0,9.226812744E0,9.827151924E0
