"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.047958333E-3,-8.427474976E-2,2.724334717E0,-1.017179764E1,1.053064903E1
1.207395834E-2,-5.203179932E-1,2.484533386E0,-1.019499939E1,1.050626715E1
2.209895833E-2,-7.484436035E-1,2.045945435E0,-9.777667236E0,1.001742667E1
3.212495834E-2,-1.163081360E0,1.822310486E0,-9.429790649E0,9.674426363E0
4.214995833E-2,-1.360071716E0,1.878144379E0,-9.130712585E0,9.420569712E0
5.217595834E-2,-1.079105988E0,2.173180847E0,-8.895701294E0,9.220666258E0
6.220095833E-2,-7.659571838E-1,2.582579498E0,-8.913514252E0,9.311667068E0
7.222695833E-2,-2.547702026E-1,2.939287720E0,-9.070238342E0,9.538005229E0
8.225295832E-2,1.463955688E-1,3.123105469E0,-9.361233215E0,9.869544404E0
9.227795833E-2,-9.086105347E-2,3.063229980E0,-9.342222748E0,9.832027233E0
1.023039583E-1,4.655319214E-2,2.746338959E0,-9.658814392E0,1.004177476E1
1.123289583E-1,-3.269201660E-1,2.784659271E0,-9.404193878E0,9.813259731E0
1.223549583E-1,-2.124082947E-1,2.751877441E0,-9.238787842E0,9.642258424E0
1.323799583E-1,-2.034269714E-1,2.664758606E0,-9.453740845E0,9.824232129E0
1.424059583E-1,-1.730401611E-1,2.600242767E0,-9.378148041E0,9.733491975E0
1.524319583E-1,-2.182461548E-1,2.414928131E0,-9.444909210E0,9.751195786E0
1.624569583E-1,1.571731567E-2,2.337688751E0,-9.405391388E0,9.691564522E0
1.724829583E-1,-5.837860107E-3,2.588267670E0,-9.233399048E0,9.589307670E0
1.825079583E-1,6.646179199E-2,2.717898102E0,-8.933422852E0,9.337956474E0
1.925339583E-1,-1.511856079E-2,2.789000244E0,-8.659642181E0,9.097700459E0
2.025589583E-1,1.681004333E-1,2.595452728E0,-8.872349854E0,9.245713847E0
2.125849583E-1,4.007167053E-1,2.501448212E0,-9.194479980E0,9.537100143E0
2.226109583E-1,6.816824341E-1,2.589465179E0,-9.041198730E0,9.429384675E0
2.326359583E-1,9.030720520E-1,2.708018646E0,-8.829987946E0,9.279956424E0
2.426619583E-1,1.177900543E0,2.591261444E0,-8.628357239E0,9.085737956E0
2.526869583E-1,1.143472137E0,2.585573273E0,-8.727301483E0,9.173794681E0
2.627129583E-1,1.318607941E0,2.683469696E0,-8.810528412E0,9.304039306E0
2.727379583E-1,1.306183777E0,2.980003052E0,-8.730594635E0,9.317178593E0
2.827639583E-1,1.394949188E0,3.148402863E0,-8.424780579E0,9.101387346E0
2.927899583E-1,1.454674988E0,3.066672821E0,-7.946974182E0,8.641467477E0
3.028149583E-1,1.522184601E0,2.674338684E0,-7.065157928E0,7.706204637E0
3.128409583E-1,1.775906982E0,2.367626495E0,-6.600075073E0,7.233290524E0
3.228659583E-1,1.741777954E0,2.402204590E0,-6.866221619E0,7.479931594E0
3.328919583E-1,1.781146088E0,1.992207184E0,-7.030130768E0,7.520911478E0
3.429169583E-1,2.432142334E0,1.475481720E0,-6.938521271E0,7.499029275E0
3.529429583E-1,2.741698608E0,1.577419739E0,-6.969656525E0,7.653840628E0
3.629689583E-1,3.085982666E0,1.768871613E0,-7.111411743E0,7.951375527E0
3.729939583E-1,3.215613098E0,1.560804291E0,-6.857839050E0,7.733449041E0
3.830199583E-1,2.947670288E0,1.226549377E0,-5.958359528E0,6.759824832E0
