"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.650124999E-3,-8.828640747E-1,-1.168470154E0,8.906778259E0,9.026376373E0
8.374875004E-3,-9.756710815E-1,-1.468596039E0,9.711055756E0,9.869818249E0
1.839987501E-2,-1.140777740E0,-1.809736633E0,1.035965698E1,1.057823300E1
2.842587500E-2,-1.168470154E0,-2.059118042E0,1.042162811E1,1.068717091E1
3.845087501E-2,-9.542655945E-1,-1.554217987E0,9.995763702E0,1.016078286E1
4.847587500E-2,-1.319955139E0,-1.146465912E0,9.637708282E0,9.795003144E0
5.850087501E-2,-1.832040253E0,-8.264314270E-1,9.314380646E0,9.528748460E0
6.852687500E-2,-1.973346405E0,-5.734574890E-1,9.097781067E0,9.326980748E0
7.855187501E-2,-1.945953369E0,-4.704716492E-1,9.266629944E0,9.480427659E0
8.857687500E-2,-2.018552399E0,-4.834945679E-1,9.700577545E0,9.920157534E0
9.860287500E-2,-2.007625122E0,-6.804849243E-1,9.962682495E0,1.018570866E1
1.086278750E-1,-1.776805115E0,-9.322613525E-1,1.011311966E1,1.031025397E1
1.186528750E-1,-1.273701324E0,-1.174008636E0,1.019440063E1,1.034052299E1
1.286778750E-1,-6.619235229E-1,-1.328786774E0,1.027208908E1,1.037880683E1
1.387038750E-1,-2.704875183E-1,-1.444945221E0,1.008647507E1,1.019303730E1
1.487288750E-1,-1.939965820E-1,-1.550176392E0,9.776469727E0,9.900507150E0
1.587538750E-1,-5.469625854E-1,-1.562301178E0,9.530082092E0,9.672766808E0
1.687798750E-1,-1.075513458E0,-1.429078217E0,9.373956757E0,9.543063398E0
1.788048750E-1,-1.587149506E0,-1.168769531E0,9.436676331E0,9.640328103E0
1.888298750E-1,-1.954485626E0,-8.668473816E-1,9.679172058E0,9.912507764E0
1.988555833E-1,-2.135159912E0,-5.456153870E-1,9.845775604E0,1.008939548E1
2.088805833E-1,-2.226919098E0,-2.841091919E-1,9.900711365E0,1.015204276E1
2.189055833E-1,-2.080373840E0,-2.112107849E-1,9.910590820E0,1.012878945E1
2.289305833E-1,-1.735041962E0,-3.480262756E-1,1.002240829E1,1.017743391E1
2.389565833E-1,-1.369053040E0,-4.465214539E-1,1.012614258E1,1.022802284E1
2.489815833E-1,-1.001118164E0,-5.565426636E-1,9.756710815E0,9.823715349E0
2.590065833E-1,-6.286926270E-3,-5.554948425E-1,9.442963257E0,9.459290096E0
2.690325833E-1,8.119116211E-1,-2.827619934E-1,9.423354034E0,9.462492065E0
2.790575833E-1,2.650987244E-1,-3.085084534E-1,9.768835602E0,9.777300436E0
2.890825833E-1,-7.191046143E-1,-5.168751526E-1,1.001866608E1,1.005773043E1
2.991075833E-1,-1.569935303E0,-7.747888184E-1,1.022628433E1,1.037506076E1
3.091335833E-1,-2.307451630E0,-1.083896027E0,1.015533188E1,1.047043118E1
3.191585833E-1,-2.732118530E0,-1.378932495E0,9.812694397E0,1.027885683E1
3.291835833E-1,-2.805765381E0,-1.577868805E0,9.561965790E0,1.008926058E1
3.392095833E-1,-2.496807861E0,-1.616189117E0,9.579778748E0,1.003086624E1
3.492345833E-1,-1.961820374E0,-1.458716583E0,9.778265991E0,1.007924000E1
3.592595833E-1,-1.415456543E0,-1.199156342E0,9.913285217E0,1.008537143E1
3.692845833E-1,-1.033151550E0,-9.415420532E-1,9.905052338E0,1.000319776E1
3.793105833E-1,-9.074130249E-1,-7.532336426E-1,9.885892181E0,9.955984308E0
3.893355833E-1,-1.000519409E0,-6.623725891E-1,9.879754944E0,9.952353203E0
3.993605833E-1,-1.205443268E0,-6.842271423E-1,9.849667511E0,9.946718571E0
4.093865833E-1,-1.446142731E0,-7.890092468E-1,9.840985565E0,9.977918685E0
4.194115833E-1,-1.655557251E0,-9.407936096E-1,9.848919067E0,1.003130945E1
4.294365833E-1,-1.825453949E0,-1.104253693E0,9.882149963E0,1.010982424E1
4.394625833E-1,-1.821112976E0,-1.205443268E0,9.769134979E0,1.001027193E1
4.494875833E-1,-1.441053314E0,-1.162632294E0,9.579928436E0,9.757221805E0
4.595125833E-1,-1.097517700E0,-9.554631042E-1,9.477990417E0,9.589043602E0
4.695375833E-1,-1.078956299E0,-7.128176880E-1,9.556127930E0,9.643227507E0
4.795635833E-1,-1.251697083E0,-5.740562439E-1,9.760453033E0,9.857115682E0
4.895885833E-1,-1.496288452E0,-5.647755432E-1,9.994566193E0,1.012171942E1
4.996135833E-1,-1.641486511E0,-6.679110718E-1,1.004710693E1,1.020220275E1
5.096395833E-1,-1.675166473E0,-8.183482361E-1,9.990524597E0,1.016299455E1
5.196645833E-1,-1.588796082E0,-9.662406921E-1,9.871222687E0,1.004484601E1
5.296895833E-1,-1.398092651E0,-1.031954041E0,9.724078674E0,9.878122204E0
5.397155833E-1,-1.160836029E0,-9.849517822E-1,9.638756104E0,9.758242133E0
5.497405833E-1,-9.400451660E-1,-8.979826355E-1,9.627679138E0,9.715053439E0
5.597655833E-1,-8.566685486E-1,-8.481362915E-1,9.735754395E0,9.810103455E0
5.697905833E-1,-9.003776550E-1,-8.336164856E-1,9.972561951E0,1.004776533E1
5.798165833E-1,-1.063837738E0,-8.544232178E-1,1.028032196E1,1.037047778E1
5.898415833E-1,-1.202299805E0,-8.672964478E-1,1.044917084E1,1.055380970E1
5.998665833E-1,-1.260229340E0,-8.571176147E-1,1.026550278E1,1.037802370E1
6.098925833E-1,-1.252445526E0,-7.930508423E-1,9.979896698E0,1.008939481E1
6.199175833E-1,-1.184636536E0,-6.596781921E-1,9.907896423E0,1.000024753E1
6.299425833E-1,-1.103056183E0,-5.126838684E-1,9.990225220E0,1.006400406E1
6.399675833E-1,-1.066232758E0,-4.372407532E-1,9.974058838E0,1.004041242E1
6.499935833E-1,-1.076261902E0,-4.228706360E-1,9.846973114E0,9.914637601E0
6.600185833E-1,-1.100212097E0,-4.465214539E-1,9.737700348E0,9.809824470E0
6.700435833E-1,-1.128652954E0,-5.053491211E-1,9.745783539E0,9.823926507E0
6.800695833E-1,-1.178648987E0,-6.348298645E-1,9.891580353E0,9.981762583E0
6.900945833E-1,-1.219963074E0,-7.577243042E-1,1.003318588E1,1.013544646E1
7.001195833E-1,-1.207089844E0,-8.563691711E-1,1.000654129E1,1.011539928E1
7.101455833E-1,-1.161285095E0,-9.220825195E-1,9.938881989E0,1.004889021E1
7.201705833E-1,-1.139280853E0,-9.731263733E-1,9.970765686E0,1.008271314E1
7.301955833E-1,-1.126707001E0,-1.017134857E0,1.007105713E1,1.018480357E1
7.402205833E-1,-1.137334900E0,-1.047072601E0,1.008857071E1,1.020632895E1
7.502465833E-1,-1.163979492E0,-1.081800385E0,1.004965164E1,1.017450925E1
7.602715833E-1,-1.184337158E0,-1.131946106E0,9.951605530E0,1.008555448E1
7.702965833E-1,-1.224154358E0,-1.177301788E0,9.758207703E0,9.904908428E0
7.803225833E-1,-1.278491364E0,-1.208287354E0,9.667196960E0,9.825945022E0
7.903475833E-1,-1.387015686E0,-1.237326965E0,9.741592255E0,9.917328783E0
8.003725833E-1,-1.518891449E0,-1.231788483E0,9.976753235E0,1.016660903E1
8.103975833E-1,-1.626667328E0,-1.214274902E0,1.020742355E1,1.040730540E1
8.204235833E-1,-1.650168457E0,-1.169817352E0,1.023676254E1,1.043469386E1
8.304485833E-1,-1.597178650E0,-1.138831787E0,1.009605515E1,1.028485522E1
8.404735833E-1,-1.530716858E0,-1.113983459E0,9.865085449E0,1.004509652E1
8.504995833E-1,-1.475032654E0,-1.059047699E0,9.611213379E0,9.781243580E0
8.605245833E-1,-1.420246582E0,-1.010847931E0,9.522447968E0,9.680698796E0
8.705495833E-1,-1.410965881E0,-1.008153534E0,9.557774506E0,9.713817569E0
8.805745833E-1,-1.402283936E0,-1.018182678E0,9.626032562E0,9.780777019E0
8.906005833E-1,-1.404529266E0,-1.034648438E0,9.660011902E0,9.816263535E0
9.006255833E-1,-1.425335999E0,-1.041983185E0,9.805808716E0,9.963493174E0
9.106505833E-1,-1.460662537E0,-1.059347076E0,9.992620239E0,1.015422132E1
9.206765833E-1,-1.490450592E0,-1.078207855E0,1.008976822E1,1.025609077E1
9.307015833E-1,-1.445244598E0,-1.109642487E0,9.820029144E0,9.987642905E0
9.407265833E-1,-1.290765839E0,-1.163081360E0,9.263037415E0,9.424579399E0
9.507525833E-1,-1.209035797E0,-1.194815369E0,9.359436951E0,9.512539690E0
9.607775833E-1,-1.181343384E0,-1.219663696E0,9.851912842E0,9.997166517E0
9.708025833E-1,-1.254541168E0,-1.286424866E0,1.019514908E1,1.035228609E1
9.808275833E-1,-1.318907318E0,-1.401385803E0,1.006462051E1,1.024695002E1
9.908535833E-1,-1.386566620E0,-1.526974640E0,9.851014709E0,1.006462664E1
1.000878583E0,-1.505120087E0,-1.599423981E0,9.865833893E0,1.010733506E1
1.010903583E0,-1.611698456E0,-1.594334564E0,9.836494904E0,1.009436014E1
1.020929583E0,-1.623074799E0,-1.502725067E0,9.711355133E0,9.960068923E0
1.030954583E0,-1.579216003E0,-1.317260742E0,9.664502563E0,9.880875915E0
1.040979583E0,-1.524729309E0,-1.093925171E0,9.664352875E0,9.844855928E0
1.051005583E0,-1.486259308E0,-9.324110413E-1,9.670490112E0,9.828363856E0
1.061030583E0,-1.500779114E0,-8.604107666E-1,9.801168365E0,9.952665269E0
1.071055583E0,-1.512005768E0,-8.557704163E-1,9.834998016E0,9.987276427E0
1.081080583E0,-1.509011993E0,-9.159452820E-1,9.710307312E0,9.869454952E0
1.091106583E0,-1.511556702E0,-1.045875092E0,9.593550110E0,9.768053137E0
1.101131583E0,-1.529519348E0,-1.214424591E0,9.537865906E0,9.735766152E0
1.111156583E0,-1.616937561E0,-1.403481445E0,9.641899567E0,9.876764374E0
1.121182583E0,-1.765129395E0,-1.559307404E0,9.884994049E0,1.016170403E1
1.131207583E0,-1.902992706E0,-1.664388885E0,1.010413834E1,1.041562207E1
1.141232583E0,-1.925296326E0,-1.661544800E0,1.003513184E1,1.035236051E1
1.151257583E0,-1.805245972E0,-1.544488220E0,9.767937469E0,1.005270905E1
1.161283583E0,-1.692230988E0,-1.353036346E0,9.586664429E0,9.828452978E0
1.171308583E0,-1.632205811E0,-1.152752838E0,9.619446259E0,9.824799297E0
1.181333583E0,-1.628164215E0,-9.768685913E-1,9.777068481E0,9.959731876E0
1.191359208E0,-1.608405304E0,-8.640032959E-1,9.791588287E0,9.960354939E0
1.201384208E0,-1.532812500E0,-8.527766418E-1,9.731114044E0,9.887938243E0
1.211409208E0,-1.456321564E0,-8.864566040E-1,9.681417389E0,9.830387605E0
1.221435208E0,-1.387764130E0,-9.613009644E-1,9.615554352E0,9.762626405E0
1.231460208E0,-1.375938721E0,-1.051862640E0,9.687255249E0,9.840860564E0
