"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.526550200E-2,1.851026654E0,9.611424446E0,7.434401512E-1
2.769149200E-2,1.969560266E0,9.633777618E0,8.576868176E-1
3.011748200E-2,2.035926819E0,9.642497063E0,9.147532582E-1
3.254347100E-2,2.116782188E0,9.680229187E0,9.287593961E-1
3.496946100E-2,2.187981129E0,9.693938255E0,9.522990584E-1
3.739545000E-2,2.183104277E0,9.679399490E0,9.762079120E-1
3.982144000E-2,2.149759054E0,9.665046692E0,1.005090237E0
4.224742900E-2,2.092597008E0,9.636427879E0,1.038852572E0
4.467341900E-2,2.039972067E0,9.574164391E0,1.067649603E0
4.709940900E-2,1.987514138E0,9.540669441E0,1.106148243E0
4.952539800E-2,1.901499510E0,9.454506874E0,1.154209375E0
5.195138800E-2,1.815398216E0,9.358635902E0,1.216593266E0
5.437737700E-2,1.753002048E0,9.253161430E0,1.250051975E0
5.680336700E-2,1.695327044E0,9.142879486E0,1.278670669E0
5.922935700E-2,1.613810062E0,9.018232346E0,1.326533675E0
6.165534600E-2,1.555967689E0,8.879178047E0,1.345450759E0
6.408133600E-2,1.540996194E0,8.759241104E0,1.330656409E0
6.650732500E-2,1.573451996E0,8.620160103E0,1.248435616E0
6.893331500E-2,1.582244396E0,8.490844727E0,1.171199322E0
7.135930400E-2,1.633776307E0,8.375455856E0,1.117688060E0
7.378529400E-2,1.699559927E0,8.278800011E0,1.121625185E0
7.621128400E-2,1.760812163E0,8.234566689E0,1.197645068E0
7.863727300E-2,1.841073394E0,8.199704170E0,1.287947416E0
8.106326300E-2,1.945114851E0,8.183658600E0,1.411695719E0
8.348925200E-2,2.082585335E0,8.210418701E0,1.564144731E0
8.591524200E-2,2.210529566E0,8.232413292E0,1.721422672E0
8.834123200E-2,2.343209028E0,8.254341125E0,1.883457780E0
9.076722100E-2,2.433232784E0,8.276722908E0,2.026618719E0
9.319321100E-2,2.513906956E0,8.309075356E0,2.126789570E0
9.561920000E-2,2.557011604E0,8.385352135E0,2.169939280E0
9.804519000E-2,2.547996044E0,8.466931343E0,2.199085236E0
1.004711790E-1,2.515323162E0,8.548914909E0,2.194869041E0
1.028971690E-1,2.463841915E0,8.650424004E0,2.166919231E0
1.053231590E-1,2.398086309E0,8.742497444E0,2.129444361E0
1.077491480E-1,2.360410213E0,8.795396805E0,2.168226719E0
1.101751380E-1,2.374877214E0,8.847767830E0,2.225821495E0
1.126011270E-1,2.403182983E0,8.851655960E0,2.330995560E0
1.150271170E-1,2.431229115E0,8.812356949E0,2.426405191E0
1.174531070E-1,2.459100246E0,8.730186462E0,2.464169264E0
1.198790960E-1,2.468017817E0,8.643548965E0,2.473307371E0
1.223050860E-1,2.486502647E0,8.561833382E0,2.453675747E0
1.247310750E-1,2.472010851E0,8.509366035E0,2.410445452E0
1.271570650E-1,2.457675457E0,8.476249695E0,2.348145962E0
1.295830540E-1,2.433769941E0,8.428818703E0,2.281057835E0
1.320090440E-1,2.433680534E0,8.409724236E0,2.261821747E0
1.344350340E-1,2.409724474E0,8.376172066E0,2.276194572E0
1.368610230E-1,2.418976545E0,8.361141205E0,2.357467890E0
1.392870130E-1,2.689084768E0,8.381534576E0,2.590428352E0
1.417130020E-1,2.673822165E0,8.255805016E0,2.724044800E0
1.441389920E-1,2.588508368E0,8.219192505E0,2.547273636E0
1.465649820E-1,2.465190172E0,8.182648659E0,2.404266357E0
1.489909710E-1,2.389367819E0,8.178807259E0,2.347282410E0
1.514169610E-1,2.365408897E0,8.135866165E0,2.328096390E0
