"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.395041694E-3,-4.775070190E-2,-2.009870453E0,1.013826736E1,1.033568210E1
1.241904168E-2,-5.020559692E-1,-1.981279907E0,9.976902924E0,1.018411126E1
2.244404168E-2,-6.349795532E-1,-1.934277649E0,9.552236023E0,9.766772348E0
3.246804167E-2,-5.306465149E-1,-1.809137878E0,8.975485382E0,9.171363226E0
4.249304169E-2,-4.772076416E-1,-1.687291260E0,8.763526154E0,8.937229413E0
5.251704168E-2,-5.164260864E-1,-1.668131104E0,9.172026672E0,9.336778382E0
6.254204168E-2,-5.592370605E-1,-1.686093750E0,9.821226654E0,9.980588721E0
7.256604169E-2,-5.713618469E-1,-1.723216553E0,1.023421783E1,1.039399559E1
8.259104169E-2,-5.701643372E-1,-1.791175232E0,1.029184799E1,1.046209975E1
9.261504168E-2,-5.415737915E-1,-1.850302277E0,1.016446289E1,1.034568637E1
1.026400417E-1,-5.439688110E-1,-1.876797180E0,9.950108643E0,1.014016428E1
1.126640417E-1,-5.382806396E-1,-1.866318970E0,9.729467468E0,9.921463086E0
1.226890417E-1,-5.517526245E-1,-1.846859436E0,9.518855438E0,9.712050741E0
1.327130417E-1,-5.556445312E-1,-1.827100525E0,9.430539093E0,9.621959507E0
1.427380417E-1,-5.553451538E-1,-1.814526672E0,9.517657928E0,9.704984685E0
1.527620417E-1,-5.604345703E-1,-1.811383209E0,9.727671204E0,9.910740794E0
1.627870417E-1,-5.641767883E-1,-1.826651459E0,9.890682220E0,1.007375530E1
1.728110417E-1,-5.544470215E-1,-1.858235779E0,1.000833755E1,1.019447264E1
1.828360417E-1,-5.607339478E-1,-1.870510254E0,1.002450394E1,1.021292859E1
1.928600417E-1,-5.607339478E-1,-1.854792938E0,9.904603271E0,1.009236570E1
2.028850417E-1,-5.803431702E-1,-1.820963287E0,9.754465485E0,9.939934727E0
2.129090417E-1,-5.849835205E-1,-1.803749084E0,9.673334198E0,9.857439373E0
2.229340417E-1,-5.731581116E-1,-1.783092041E0,9.617051239E0,9.797734533E0
2.329580417E-1,-5.950126648E-1,-1.786834259E0,9.470955048E0,9.656386812E0
2.429830417E-1,-6.596781921E-1,-1.802701263E0,9.561516724E0,9.752307892E0
2.530080417E-1,-6.530918884E-1,-1.834435272E0,9.845625916E0,1.003633556E1
2.630320417E-1,-5.724096680E-1,-1.850152588E0,9.990674286E0,1.017665417E1
2.730570417E-1,-5.195695496E-1,-1.844464417E0,9.855355682E0,1.003992217E1
2.830810417E-1,-4.945715332E-1,-1.878593445E0,9.775571594E0,9.966720340E0
2.931060417E-1,-4.950205994E-1,-1.893712006E0,9.762548676E0,9.956834195E0
3.031300417E-1,-5.337899780E-1,-1.883832550E0,9.750423889E0,9.945075306E0
3.131550417E-1,-5.963598633E-1,-1.831740875E0,9.744436340E0,9.933023674E0
3.231790417E-1,-6.140231323E-1,-1.802252197E0,9.835596771E0,1.001818852E1
3.332040417E-1,-5.902226257E-1,-1.764231262E0,9.893975372E0,1.006735434E1
