"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.328208328E-3,-1.760339355E-1,-2.174078979E0,9.812095642E0,1.005160824E1
1.235220832E-2,-2.975811768E-1,-2.128573608E0,9.477092285E0,9.717749654E0
2.237720834E-2,-3.200344849E-1,-2.082619171E0,9.143885193E0,9.383515392E0
3.240120833E-2,-2.989283752E-1,-2.057321777E0,8.931776276E0,9.170526621E0
4.242620833E-2,-2.245330811E-1,-2.072290649E0,9.018595734E0,9.256342293E0
5.245020831E-2,-1.722917175E-1,-2.112856293E0,9.355844421E0,9.593001146E0
6.247520834E-2,-1.995350647E-1,-2.148931274E0,9.698930969E0,9.936145219E0
7.249920833E-2,-2.553689575E-1,-2.165696411E0,9.977801056E0,1.021332307E1
8.252420832E-2,-3.192860413E-1,-2.203118591E0,1.016940262E1,1.041020772E1
9.254820834E-2,-2.992277527E-1,-2.205812988E0,1.017748581E1,1.041807879E1
1.025732083E-1,-2.600093079E-1,-2.163600769E0,9.994865570E0,1.022966817E1
1.125972083E-1,-2.368075562E-1,-2.127525787E0,9.777218170E0,1.000881806E1
1.226222083E-1,-2.230361938E-1,-2.102827148E0,9.614057465E0,9.843867537E0
1.326462083E-1,-1.975891113E-1,-2.082768860E0,9.506431274E0,9.733920236E0
1.426712083E-1,-2.022294617E-1,-2.079326019E0,9.472751312E0,9.700387151E0
1.526952083E-1,-2.076182556E-1,-2.088606720E0,9.550140381E0,9.778065487E0
1.627192083E-1,-2.068698120E-1,-2.109263763E0,9.699829102E0,9.928669263E0
1.727442083E-1,-1.968406677E-1,-2.128573608E0,9.822424164E0,1.005234243E1
1.827682083E-1,-1.832189941E-1,-2.128124542E0,9.872270508E0,1.010070335E1
1.927932083E-1,-1.904040527E-1,-2.110461273E0,9.867480469E0,1.009244625E1
2.028172083E-1,-2.164498901E-1,-2.096540222E0,9.799072723E0,1.002318102E1
2.128422083E-1,-2.498304749E-1,-2.091450806E0,9.705367584E0,9.931301107E0
2.228662083E-1,-2.706372070E-1,-2.089355164E0,9.628726959E0,9.856522325E0
2.328912083E-1,-2.773731995E-1,-2.096839600E0,9.580078125E0,9.810788403E0
2.429152083E-1,-2.806663513E-1,-2.104324036E0,9.582622833E0,9.814968854E0
2.529402083E-1,-2.785707092E-1,-2.129022675E0,9.651030579E0,9.886998049E0
2.629642083E-1,-2.722837830E-1,-2.137554932E0,9.729467468E0,9.965230392E0
2.729892083E-1,-2.363584900E-1,-2.151625671E0,9.781259766E0,1.001790402E1
2.830132083E-1,-2.296224976E-1,-2.169588318E0,9.805808716E0,1.004558234E1
2.930382083E-1,-2.279759216E-1,-2.167342987E0,9.770931244E0,1.001101623E1
3.030622083E-1,-2.300715637E-1,-2.171085205E0,9.726473694E0,9.968492083E0
3.130872083E-1,-2.392025757E-1,-2.159559174E0,9.682016144E0,9.922819675E0
3.231112083E-1,-2.475851440E-1,-2.139351196E0,9.665101318E0,9.902136408E0
3.331362083E-1,-2.516267395E-1,-2.117346954E0,9.662257233E0,9.894730364E0
3.431602083E-1,-2.612068176E-1,-2.096689911E0,9.704619141E0,9.931967089E0
3.531842083E-1,-2.486329651E-1,-2.088307343E0,9.730515289E0,9.955188281E0
3.632092083E-1,-2.353106689E-1,-2.077380066E0,9.762698364E0,9.984045192E0
3.732332083E-1,-2.278262329E-1,-2.080523529E0,9.754914551E0,9.976915397E0
3.832582083E-1,-2.194436646E-1,-2.092798004E0,9.718989258E0,9.944179765E0
3.932822083E-1,-2.339634705E-1,-2.091001740E0,9.684111786E0,9.910047844E0
4.033072083E-1,-2.429447937E-1,-2.074535980E0,9.686806183E0,9.909436701E0
4.133312083E-1,-2.183958435E-1,-2.084864502E0,9.704768829E0,9.928589767E0
4.233562083E-1,-2.112107849E-1,-2.121089172E0,9.716294861E0,9.947362218E0
4.333802083E-1,-2.426454163E-1,-2.158511353E0,9.708511047E0,9.948529279E0
4.434052083E-1,-2.573149109E-1,-2.183808746E0,9.698182526E0,9.944343915E0
4.534292083E-1,-2.568658447E-1,-2.182760925E0,9.694739685E0,9.940744584E0
4.634542083E-1,-2.350112915E-1,-2.169438629E0,9.693392487E0,9.935972633E0
4.734782083E-1,-2.228865051E-1,-2.157463531E0,9.717342682E0,9.956459013E0
4.835032083E-1,-2.070195007E-1,-2.136207733E0,9.734407196E0,9.968195625E0
4.935272083E-1,-2.046244812E-1,-2.118095398E0,9.721683655E0,9.951850701E0
5.035522083E-1,-2.011816406E-1,-2.094893646E0,9.715247040E0,9.940577372E0
5.135762083E-1,-2.121089172E-1,-2.093696136E0,9.703271942E0,9.928848880E0
5.236012083E-1,-2.221380615E-1,-2.101330261E0,9.699529724E0,9.927024280E0
5.336252083E-1,-2.408491516E-1,-2.098785553E0,9.694889374E0,9.922388275E0
5.436492083E-1,-2.414479065E-1,-2.113005981E0,9.705666962E0,9.935947994E0
5.536742083E-1,-2.547702026E-1,-2.110012207E0,9.711055756E0,9.940908573E0
5.636982083E-1,-2.652484131E-1,-2.114353180E0,9.721384277E0,9.952193646E0
5.737232083E-1,-2.621049500E-1,-2.118544464E0,9.720336456E0,9.951978219E0
5.837472083E-1,-2.612068176E-1,-2.119143219E0,9.716893616E0,9.948719441E0
5.937722083E-1,-2.487826538E-1,-2.135758667E0,9.694739685E0,9.930324036E0
6.037962083E-1,-2.243833923E-1,-2.136656799E0,9.698182526E0,9.933297262E0
6.138212083E-1,-2.231858826E-1,-2.131717072E0,9.696386261E0,9.930454981E0
6.238452083E-1,-2.248324585E-1,-2.135459290E0,9.700128479E0,9.934949850E0
6.338702083E-1,-2.240840149E-1,-2.136956177E0,9.694140930E0,9.929409032E0
6.438942083E-1,-2.180964661E-1,-2.138303375E0,9.679770813E0,9.915536818E0
6.539192083E-1,-2.333647156E-1,-2.133812714E0,9.683513031E0,9.918570482E0
6.639432083E-1,-2.546205139E-1,-2.135908356E0,9.692194977E0,9.928019922E0
6.739682083E-1,-2.606080627E-1,-2.130369873E0,9.688003693E0,9.922893122E0
6.839922083E-1,-2.592608643E-1,-2.129621429E0,9.697134705E0,9.931612412E0
6.940172083E-1,-2.459385681E-1,-2.123783569E0,9.706415405E0,9.939086600E0
7.040412083E-1,-2.330653381E-1,-2.116598511E0,9.708810425E0,9.939582917E0
7.140662083E-1,-2.204914856E-1,-2.132465515E0,9.713750153E0,9.947510628E0
7.240902083E-1,-2.209405518E-1,-2.137704620E0,9.720935211E0,9.955660558E0
7.341142083E-1,-2.282752991E-1,-2.130070496E0,9.728419647E0,9.961498821E0
7.441392083E-1,-2.381547546E-1,-2.133663025E0,9.733808441E0,9.967761151E0
7.541632083E-1,-2.255809021E-1,-2.142644348E0,9.740843811E0,9.976264316E0
7.641882083E-1,-2.266287231E-1,-2.155667267E0,9.746232605E0,9.984353356E0
7.742122083E-1,-2.252815247E-1,-2.150128784E0,9.729617157E0,9.966908025E0
7.842372083E-1,-2.327659607E-1,-2.143542480E0,9.702972565E0,9.939649438E0
7.942612083E-1,-2.231858826E-1,-2.144889679E0,9.706864471E0,9.943519575E0
8.042862083E-1,-2.305206299E-1,-2.121388550E0,9.715696106E0,9.947269975E0
8.143102083E-1,-2.237846375E-1,-2.104174347E0,9.720635834E0,9.948285795E0
8.243352083E-1,-2.177970886E-1,-2.109114075E0,9.723629608E0,9.952123919E0
8.343592083E-1,-2.052232361E-1,-2.111060028E0,9.723928986E0,9.952561778E0
8.443842083E-1,-1.893562317E-1,-2.110311584E0,9.731114044E0,9.959108962E0
8.544082083E-1,-2.022294617E-1,-2.121089172E0,9.733658752E0,9.964137130E0
8.644332083E-1,-2.130070496E-1,-2.132615204E0,9.743089142E0,9.976031558E0
8.744572083E-1,-2.119592285E-1,-2.142195282E0,9.737999725E0,9.973092098E0
8.844822083E-1,-2.168989563E-1,-2.137554932E0,9.714947662E0,9.949693177E0
8.945062083E-1,-2.266287231E-1,-2.140249329E0,9.714199219E0,9.949758501E0
9.045302083E-1,-2.430944824E-1,-2.130968628E0,9.713899841E0,9.947862702E0
9.145547083E-1,-2.383044434E-1,-2.128274231E0,9.722132721E0,9.955209935E0
9.245787083E-1,-2.233355713E-1,-2.130669250E0,9.718540192E0,9.951866844E0
9.346037083E-1,-2.263293457E-1,-2.125280457E0,9.705217896E0,9.937771198E0
9.446277083E-1,-2.233355713E-1,-2.129172363E0,9.718540192E0,9.951546472E0
9.546527083E-1,-2.335144043E-1,-2.140099640E0,9.720186768E0,9.955731326E0
9.646767083E-1,-2.261796570E-1,-2.138153687E0,9.718989258E0,9.953974614E0
9.747017083E-1,-2.221380615E-1,-2.139051819E0,9.707762604E0,9.943115345E0
9.847257083E-1,-2.237846375E-1,-2.136207733E0,9.710756378E0,9.945463915E0
9.947507083E-1,-2.311193848E-1,-2.135309601E0,9.722132721E0,9.956546987E0
1.004774708E0,-2.314187622E-1,-2.133663025E0,9.728419647E0,9.962340156E0
1.014799708E0,-2.339634705E-1,-2.129471741E0,9.703721008E0,9.937383469E0
1.024823708E0,-2.279759216E-1,-2.126477966E0,9.691745911E0,9.924909086E0
1.034848708E0,-2.118095398E-1,-2.119741974E0,9.709259491E0,9.940215751E0
1.044872708E0,-2.163002014E-1,-2.117646332E0,9.720186768E0,9.950539813E0
1.054897708E0,-2.112107849E-1,-2.124382324E0,9.725874939E0,9.957422035E0
1.064921708E0,-2.215393066E-1,-2.133363647E0,9.717642059E0,9.951526883E0
1.074946708E0,-2.302212524E-1,-2.123184814E0,9.718240814E0,9.950131663E0
1.084970708E0,-2.374063110E-1,-2.132914581E0,9.714049530E0,9.948288528E0
1.094995708E0,-2.453398132E-1,-2.126927032E0,9.713450775E0,9.946614308E0
1.105019708E0,-2.450404358E-1,-2.131567383E0,9.715247040E0,9.949354219E0
1.115043708E0,-2.393522644E-1,-2.119442596E0,9.686656494E0,9.918701551E0
1.125068708E0,-2.185455322E-1,-2.115101624E0,9.681267700E0,9.912031139E0
1.135092708E0,-2.056723022E-1,-2.107766876E0,9.693542175E0,9.922184346E0
1.145117708E0,-1.960922241E-1,-2.101479950E0,9.721384277E0,9.947863208E0
1.155141708E0,-2.023791504E-1,-2.116448822E0,9.733059998E0,9.962568437E0
1.165166708E0,-2.119592285E-1,-2.125879211E0,9.725425873E0,9.957318793E0
1.175190708E0,-2.142045593E-1,-2.137854309E0,9.703571320E0,9.938591500E0
1.185215708E0,-2.212399292E-1,-2.135459290E0,9.679770813E0,9.914993519E0
1.195239708E0,-2.213896179E-1,-2.137255554E0,9.673932953E0,9.909684831E0
1.205264708E0,-2.209405518E-1,-2.144141235E0,9.680070190E0,9.917152578E0
1.215288708E0,-2.130070496E-1,-2.148033142E0,9.694140930E0,9.931555103E0
1.225313708E0,-2.146536255E-1,-2.155068512E0,9.720635834E0,9.958973716E0
1.235337708E0,-2.272274780E-1,-2.160606995E0,9.736652527E0,9.976084269E0
1.245362708E0,-2.369572449E-1,-2.169139252E0,9.737101593E0,9.978600165E0
1.255386708E0,-2.409988403E-1,-2.159259796E0,9.695338440E0,9.935797440E0
1.265410708E0,-2.225871277E-1,-2.153421936E0,9.647438049E0,9.887357179E0
1.275435708E0,-2.061213684E-1,-2.148033142E0,9.620943146E0,9.859973601E0
1.285459708E0,-2.165995789E-1,-2.148631897E0,9.668693848E0,9.906925614E0
1.295484708E0,-2.384541321E-1,-2.141746216E0,9.722432098E0,9.958394606E0
1.305508708E0,-2.689906311E-1,-2.113604736E0,9.760902100E0,9.990740250E0
1.315533708E0,-2.576142883E-1,-2.093097382E0,9.809700623E0,1.003382520E1
1.325557708E0,-2.160008240E-1,-2.066752167E0,9.778864746E0,9.997215442E0
1.335582708E0,-2.315684509E-1,-2.063009949E0,9.594897308E0,9.816908289E0
1.345606708E0,-2.951861572E-1,-2.086810455E0,9.616003418E0,9.844258960E0
1.355631708E0,-2.508782959E-1,-2.128274231E0,9.788594513E0,1.002043281E1
1.365655708E0,-1.275347900E-1,-2.146386566E0,9.836794281E0,1.006904971E1
1.375680708E0,-1.321751404E-1,-2.160906372E0,9.680519257E0,9.919649172E0
1.385704708E0,-2.522254944E-1,-2.161355438E0,9.567504272E0,9.811840451E0
1.395729708E0,-3.233276367E-1,-2.153571625E0,9.686955872E0,9.928722252E0
1.405753708E0,-2.832110596E-1,-2.151326294E0,9.787397003E0,1.002504631E1
1.415778708E0,-2.110610962E-1,-2.114951935E0,9.730365601E0,9.959798351E0
1.425802708E0,-2.062710571E-1,-2.104623413E0,9.709858246E0,9.937471238E0
1.435827708E0,-2.171983337E-1,-2.104922791E0,9.749525757E0,9.976528833E0
1.445851708E0,-2.047741699E-1,-2.121089172E0,9.734257507E0,9.964774004E0
1.455875708E0,-2.146536255E-1,-2.120640106E0,9.680668945E0,9.912544672E0
1.465900708E0,-2.230361938E-1,-2.118095398E0,9.674382019E0,9.906045665E0
1.475924708E0,-2.243833923E-1,-2.138602753E0,9.708511047E0,9.943799897E0
1.485949708E0,-2.323168945E-1,-2.154020691E0,9.737850037E0,9.975946051E0
1.495973708E0,-2.231858826E-1,-2.154320068E0,9.741891632E0,9.979747465E0
1.505998708E0,-2.308200073E-1,-2.131567383E0,9.743687897E0,9.976788622E0
1.516022708E0,-2.305206299E-1,-2.128723297E0,9.725874939E0,9.958777333E0
1.526047708E0,-2.430944824E-1,-2.131417694E0,9.698032837E0,9.932465818E0
1.536071708E0,-2.591111755E-1,-2.136058044E0,9.654323730E0,9.891200598E0
1.546096708E0,-2.695893860E-1,-2.133064270E0,9.627230072E0,9.864390527E0
1.556120708E0,-2.685415649E-1,-2.150128784E0,9.640702057E0,9.881209668E0
1.566145708E0,-2.589614868E-1,-2.154469757E0,9.667646027E0,9.908187558E0
1.576169708E0,-2.502795410E-1,-2.157014465E0,9.707612915E0,9.947517266E0
1.586194708E0,-2.591111755E-1,-2.170636139E0,9.738748169E0,9.981082895E0
1.596218708E0,-2.600093079E-1,-2.172133026E0,9.760003967E0,1.000217197E1
1.606243708E0,-2.591111755E-1,-2.169438629E0,9.740993500E0,9.983013419E0
1.616267708E0,-2.564167786E-1,-2.170037384E0,9.706415405E0,9.949337256E0
1.626292708E0,-2.538720703E-1,-2.158511353E0,9.694739685E0,9.935371148E0
1.636316708E0,-2.513273621E-1,-2.145039368E0,9.685758362E0,9.923622039E0
1.646340708E0,-2.456391907E-1,-2.129172363E0,9.689201202E0,9.923423477E0
1.656365708E0,-2.351609802E-1,-2.107168121E0,9.718240814E0,9.946841846E0
1.666389708E0,-2.323168945E-1,-2.119442596E0,9.758207703E0,9.988424582E0
1.676414708E0,-2.327659607E-1,-2.127376099E0,9.766590271E0,9.998309586E0
1.686438708E0,-2.347119141E-1,-2.126028900E0,9.745184784E0,9.977159668E0
1.696463708E0,-2.562670898E-1,-2.132166138E0,9.694440308E0,9.929450042E0
1.706487708E0,-2.752775574E-1,-2.120640106E0,9.671687622E0,9.905273023E0
1.716512708E0,-2.830613708E-1,-2.107916565E0,9.678273926E0,9.909208958E0
1.726536708E0,-2.445913696E-1,-2.118394775E0,9.691596222E0,9.923429785E0
1.736561708E0,-2.032772827E-1,-2.137854309E0,9.704768829E0,9.939531213E0
1.746585708E0,-1.872605896E-1,-2.154769135E0,9.679770813E0,9.918470625E0
1.756610708E0,-2.049238586E-1,-2.171384583E0,9.700278168E0,9.942449463E0
1.766634708E0,-2.312690735E-1,-2.193987579E0,9.727820892E0,9.974846675E0
1.776659708E0,-2.412982178E-1,-2.209704895E0,9.712702332E0,9.963814889E0
1.786683708E0,-2.421963501E-1,-2.210303650E0,9.692045288E0,9.943834430E0
1.796708708E0,-2.350112915E-1,-2.201022949E0,9.685309296E0,9.935036411E0
1.806732708E0,-2.246827698E-1,-2.169738007E0,9.697583771E0,9.939888146E0
1.816757708E0,-2.047741699E-1,-2.145937500E0,9.713450775E0,9.949779202E0
1.826781708E0,-1.892065430E-1,-2.143392792E0,9.720635834E0,9.955937564E0
1.836805708E0,-1.965412903E-1,-2.135159912E0,9.709558868E0,9.943493840E0
1.846830708E0,-2.139051819E-1,-2.121987305E0,9.714348907E0,9.945710646E0
1.856854708E0,-2.293231201E-1,-2.119741974E0,9.718689880E0,9.949815482E0
1.866879708E0,-2.487826538E-1,-2.121388550E0,9.711055756E0,9.943177866E0
1.876903708E0,-2.715353394E-1,-2.130070496E0,9.705816650E0,9.940513498E0
