"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.117916545E-4,-5.433700562E-2,-3.285368042E0,9.018446045E0,9.598383444E0
9.913208341E-3,-1.528321838E-1,-3.165018311E0,8.564140778E0,9.131550024E0
1.993720833E-2,-2.694396973E-1,-3.082240448E0,8.257428589E0,8.818045749E0
2.996220835E-2,-2.763253784E-1,-3.056793365E0,8.399932251E0,8.943109259E0
3.998720835E-2,-2.372566223E-1,-3.073857880E0,9.060209198E0,9.570385764E0
5.001120834E-2,-2.314187622E-1,-3.119363251E0,9.769434357E0,1.025796419E1
6.003620834E-2,-2.206411743E-1,-3.188669128E0,1.010847931E1,1.060177567E1
7.006020835E-2,-2.323168945E-1,-3.225193176E0,1.003438339E1,1.054251831E1
8.008520835E-2,-2.501298523E-1,-3.219505005E0,9.741741943E0,1.026300704E1
9.011020834E-2,-2.436932373E-1,-3.194506989E0,9.477691040E0,1.000454341E1
1.001342083E-1,-2.401007080E-1,-3.167113953E0,9.281898193E0,9.810295266E0
1.101592084E-1,-2.496807861E-1,-3.120710449E0,9.116941223E0,9.639491245E0
1.201842084E-1,-2.535726929E-1,-3.087778931E0,9.084159393E0,9.597949245E0
1.302082083E-1,-2.459385681E-1,-3.098706207E0,9.215436401E0,9.725571140E0
1.402332083E-1,-2.348616028E-1,-3.122955780E0,9.440867615E0,9.946757969E0
1.502572084E-1,-2.380050659E-1,-3.145858154E0,9.592502289E0,1.009797852E1
1.602822084E-1,-2.417472839E-1,-3.161425781E0,9.638456726E0,1.014657099E1
1.703072083E-1,-2.272274780E-1,-3.175795898E0,9.551337891E0,1.006803692E1
1.803312083E-1,-2.152523804E-1,-3.169059906E0,9.422605591E0,9.943579355E0
1.903562083E-1,-2.210902405E-1,-3.160527649E0,9.330097961E0,9.853351911E0
2.003802083E-1,-2.218386841E-1,-3.146456909E0,9.294022980E0,9.814696461E0
2.104052083E-1,-2.195933533E-1,-3.143762512E0,9.330696716E0,9.848520964E0
2.204302083E-1,-2.293231201E-1,-3.139870605E0,9.384285278E0,9.898292110E0
2.304542084E-1,-2.362088013E-1,-3.135529633E0,9.441017303E0,9.950886815E0
2.404792084E-1,-2.420466614E-1,-3.142265625E0,9.473499756E0,9.983968022E0
2.505032083E-1,-2.245330811E-1,-3.149600372E0,9.459728394E0,9.972805969E0
2.605282083E-1,-2.273771667E-1,-3.166664886E0,9.413773956E0,9.934717257E0
2.705532083E-1,-2.312690735E-1,-3.178340607E0,9.379195862E0,9.905788682E0
