"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.099166715E-4,-8.699908447E-1,-3.505709839E-1,1.008767258E1,1.013118562E1
9.715083332E-3,-9.924362183E-1,-3.721261597E-1,9.924811249E0,9.981246708E0
1.974008333E-2,-7.698490906E-1,-4.050576782E-1,9.777068481E0,9.815691898E0
2.976508333E-2,-5.331912231E-1,-4.656816101E-1,9.603579254E0,9.629635857E0
3.979008333E-2,-3.056643677E-1,-5.167254639E-1,9.517657928E0,9.536574246E0
4.981408333E-2,-2.309696960E-1,-5.378315735E-1,9.723779297E0,9.741380478E0
5.983908333E-2,-3.632945251E-1,-4.330494690E-1,9.942923584E0,9.958978068E0
6.986408333E-2,-5.556445312E-1,-2.773731995E-1,9.979148254E0,9.998453711E0
7.988908333E-2,-6.297404480E-1,-6.496490479E-2,9.899064789E0,9.919288138E0
8.991408333E-2,-7.080276489E-1,1.179547119E-1,9.832153931E0,9.858319704E0
9.993908333E-2,-6.330335999E-1,2.538720703E-1,9.814041595E0,9.837712895E0
1.099640833E-1,-5.474116516E-1,3.433859253E-1,9.860145721E0,9.881297843E0
1.199890833E-1,-7.191046143E-1,7.753875732E-2,9.947414246E0,9.973674041E0
1.300140833E-1,-8.232879639E-1,-2.489323425E-1,9.965526581E0,1.000257419E1
1.400380833E-1,-8.943901062E-1,-5.595364380E-1,9.927505646E0,9.983405383E0
1.500630833E-1,-8.849597168E-1,-7.777825928E-1,9.870623932E0,9.940689929E0
1.600880833E-1,-8.791218567E-1,-8.972341919E-1,9.891280975E0,9.970723332E0
1.701130833E-1,-7.999365234E-1,-8.167016602E-1,9.952054596E0,1.001749923E1
1.801380833E-1,-7.075785828E-1,-6.086343384E-1,9.978100433E0,1.002165612E1
1.901630833E-1,-6.288423157E-1,-3.582051086E-1,9.987081757E0,1.001326898E1
2.001880833E-1,-6.137237549E-1,-1.164578247E-1,9.948312378E0,9.967905419E0
2.102130833E-1,-5.828878784E-1,6.631210327E-2,9.943073273E0,9.960364536E0
2.202380833E-1,-2.538720703E-1,2.835104370E-1,9.900711365E0,9.908022745E0
2.302620833E-1,-5.405259705E-1,-4.176315308E-2,9.936786346E0,9.951564469E0
2.402870833E-1,-7.869136047E-1,-3.682342529E-1,9.988878021E0,1.002659033E1
2.503120833E-1,-8.497828674E-1,-6.731501770E-1,1.002480331E1,1.008325065E1
2.603370833E-1,-7.315287781E-1,-7.241940308E-1,1.000324814E1,1.005607104E1
2.703620833E-1,-4.584965515E-1,-5.745053101E-1,9.955647125E0,9.982744368E0
2.803870833E-1,-3.457809448E-1,-3.947291565E-1,9.915530548E0,9.929406912E0
2.904120833E-1,-4.409829712E-1,-3.089575195E-1,9.927505646E0,9.942096815E0
3.004370833E-1,-6.580316162E-1,-2.999761963E-1,9.946216736E0,9.972473047E0
3.104612500E-1,-8.092172241E-1,-3.158432007E-1,9.953252106E0,9.991086874E0
3.204862500E-1,-8.520281982E-1,-3.370989990E-1,9.910740509E0,9.953007848E0
3.305112500E-1,-6.724017334E-1,-2.869532776E-1,9.788893890E0,9.816155555E0
3.405362500E-1,-2.719844055E-1,2.350112915E-2,9.914482727E0,9.918240548E0
3.505612500E-1,-3.936813354E-1,-1.796264648E-3,1.010368927E1,1.011135624E1
3.605862500E-1,-5.887257385E-1,-2.122586060E-1,1.005638763E1,1.007584160E1
3.706112500E-1,-6.541397095E-1,-4.059558105E-1,9.954599304E0,9.984325024E0
3.806362500E-1,-6.869215393E-1,-4.918771362E-1,9.906998291E0,9.942958285E0
3.906602500E-1,-7.153623962E-1,-5.357359314E-1,9.925709381E0,9.965864893E0
4.006852500E-1,-7.294331360E-1,-5.093907166E-1,9.964478760E0,1.000411858E1
4.107102500E-1,-8.026309204E-1,-5.002597046E-1,9.992320862E0,1.003697925E1
4.207352500E-1,-9.069639587E-1,-4.718188477E-1,9.981094208E0,1.003331641E1
4.307602500E-1,-9.401948547E-1,-3.845503235E-1,9.969867554E0,1.002148214E1
4.407852500E-1,-9.139993286E-1,-2.847079468E-1,9.973759460E0,1.001959736E1
4.508102500E-1,-8.370593262E-1,-2.109114075E-1,9.988578644E0,1.002580946E1
4.608352500E-1,-7.722441101E-1,-1.758842468E-1,9.975406036E0,1.000679878E1
4.708592500E-1,-6.713539124E-1,-1.622625732E-1,9.940229187E0,9.964195979E0
4.808842500E-1,-5.767506409E-1,-1.326242065E-1,9.859546967E0,9.877291980E0
4.909092500E-1,-5.090913391E-1,-6.706054688E-2,9.792187042E0,9.805641141E0
5.009342500E-1,-4.978646851E-1,-2.604583740E-2,9.774823151E0,9.787528557E0
5.109592500E-1,-5.451663208E-1,-5.987548828E-3,9.882748718E0,9.897775730E0
5.209842500E-1,-6.451583862E-1,9.729766846E-3,1.000534378E1,1.002612728E1
5.310092500E-1,-7.652087402E-1,8.831634521E-3,1.006402176E1,1.009307467E1
5.410342500E-1,-8.430468750E-1,2.050735474E-2,1.004441254E1,1.007975058E1
5.510592500E-1,-8.452922058E-1,2.529739380E-2,1.000743942E1,1.004310722E1
5.610832500E-1,-7.628137207E-1,3.906875610E-2,9.973160706E0,1.000236700E1
5.711082500E-1,-6.291416931E-1,4.490661621E-2,1.003543121E1,1.005523324E1
