"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.635916666E-3,-2.061213684E-1,-2.925516357E0,9.176517334E0,9.633774045E0
1.266091669E-2,-3.338058472E-2,-2.815046082E0,8.973389740E0,9.404643647E0
2.268591669E-2,-1.983375549E-1,-2.668201447E0,8.659492493E0,9.063412546E0
3.271091668E-2,-4.406835938E-1,-2.511776733E0,8.509803772E0,8.883692060E0
4.273591668E-2,-5.164260864E-1,-2.443219299E0,8.931027832E0,9.273579384E0
5.276091667E-2,-4.405339050E-1,-2.510130157E0,9.568851471E0,9.902410919E0
6.278491669E-2,-3.038681030E-1,-2.665057983E0,9.963281250E0,1.031803485E1
7.280991669E-2,-3.323089600E-1,-2.794838104E0,1.008737320E1,1.047266190E1
8.283491668E-2,-4.331991577E-1,-2.884801025E0,9.976004791E0,1.039376785E1
9.285991668E-2,-4.740641785E-1,-2.918930054E0,9.826316071E0,1.026164592E1
1.028849167E-1,-5.077441406E-1,-2.894081726E0,9.648635559E0,1.008611329E1
1.129099167E-1,-4.995112610E-1,-2.824476471E0,9.485025787E0,9.909232716E0
1.229349167E-1,-4.629872131E-1,-2.730022888E0,9.369615784E0,9.770214023E0
1.329589167E-1,-4.331991577E-1,-2.622247009E0,9.351503448E0,9.721854640E0
1.429839167E-1,-4.370910645E-1,-2.541714478E0,9.453740845E0,9.799213083E0
1.530089167E-1,-4.427792358E-1,-2.501747589E0,9.589658203E0,9.920500940E0
1.630339167E-1,-4.472698975E-1,-2.496358795E0,9.707313538E0,1.003313479E1
1.730589167E-1,-4.719685364E-1,-2.529589691E0,9.743687897E0,1.007774936E1
1.830839167E-1,-5.138813782E-1,-2.553090820E0,9.690548401E0,1.003439461E1
1.931089167E-1,-5.294490051E-1,-2.596799927E0,9.597142639E0,9.956346365E0
2.031339167E-1,-5.233117676E-1,-2.621498566E0,9.486971741E0,9.856406178E0
2.131579167E-1,-5.222639465E-1,-2.633773041E0,9.432784424E0,9.807494178E0
2.231829167E-1,-5.113366699E-1,-2.645299072E0,9.412875824E0,9.790878594E0
2.332079167E-1,-5.162763977E-1,-2.665357361E0,9.454638977E0,9.836710292E0
2.432329167E-1,-5.144801331E-1,-2.694696350E0,9.560169525E0,9.946000180E0
2.532579167E-1,-5.075944519E-1,-2.726729736E0,9.641151123E0,1.003217335E1
2.632829167E-1,-5.066963196E-1,-2.776576080E0,9.637109528E0,1.004191197E1
2.733079167E-1,-4.993615723E-1,-2.790946198E0,9.573791199E0,9.984799476E0
2.833319167E-1,-4.881349182E-1,-2.783012695E0,9.498497772E0,9.909838308E0
2.933569167E-1,-5.022056580E-1,-2.755320282E0,9.505982208E0,9.909979724E0
3.033819167E-1,-5.291496277E-1,-2.736609192E0,9.543254700E0,9.941968591E0
