"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.049999941E-5,-1.333726501E-1,-3.458707581E0,8.884025574E0,9.534482513E0
9.993499989E-3,-7.679031372E-2,-3.462749176E0,8.824150085E0,9.479565040E0
2.001849998E-2,-2.585124207E-1,-3.412453766E0,8.572972412E0,9.230792239E0
3.004350001E-2,-4.846920776E-1,-3.206931152E0,8.266858978E0,8.880331705E0
4.006850001E-2,-5.025050354E-1,-3.110232239E0,8.516689453E0,9.080751903E0
5.009350000E-2,-4.541555786E-1,-3.149750061E0,9.208401031E0,9.742783601E0
6.011749999E-2,-4.111949158E-1,-3.255430298E0,9.823471985E0,1.035700292E1
7.014249999E-2,-3.808081055E-1,-3.372337189E0,1.006042923E1,1.061743421E1
8.016750001E-2,-3.776646423E-1,-3.441044312E0,9.871821442E0,1.046117943E1
9.019250001E-2,-3.691323853E-1,-3.429817657E0,9.541159058E0,1.014562093E1
1.002165000E-1,-3.773652649E-1,-3.378624115E0,9.267677765E0,9.871542767E0
1.102415000E-1,-4.092489624E-1,-3.326981506E0,9.097182312E0,9.695102716E0
1.202665000E-1,-4.333488464E-1,-3.294948120E0,9.056766357E0,9.647253039E0
1.302915000E-1,-4.138893127E-1,-3.266357574E0,9.170080719E0,9.743242610E0
1.403155000E-1,-3.829037476E-1,-3.269950104E0,9.351802826E0,9.914403918E0
1.503405000E-1,-4.013154602E-1,-3.281476135E0,9.479636993E0,1.003955463E1
1.603655000E-1,-4.221221924E-1,-3.316652985E0,9.502090302E0,1.007313726E1
1.703905000E-1,-4.275109863E-1,-3.349584503E0,9.452094269E0,1.003715936E1
1.804155000E-1,-4.180805969E-1,-3.380121002E0,9.336833954E0,9.938635603E0
1.904395000E-1,-4.182302856E-1,-3.385958862E0,9.256151733E0,9.864886158E0
2.004645000E-1,-4.354444885E-1,-3.396886139E0,9.206904144E0,9.823213897E0
2.104895000E-1,-4.308041382E-1,-3.400478668E0,9.249415741E0,9.864103554E0
2.205145000E-1,-4.260140991E-1,-3.389551392E0,9.349407806E0,9.953992816E0
2.305385000E-1,-4.234693909E-1,-3.389701080E0,9.414672089E0,1.001526087E1
2.405635000E-1,-4.170327759E-1,-3.386108551E0,9.428293762E0,1.002658320E1
2.505885000E-1,-4.171824646E-1,-3.378923492E0,9.402696991E0,1.000009379E1
2.606135000E-1,-4.297563171E-1,-3.368445282E0,9.336384888E0,9.934746946E0
2.706375000E-1,-4.505630493E-1,-3.341800690E0,9.279054108E0,9.872764762E0
2.806625000E-1,-4.490661621E-1,-3.309018860E0,9.258995819E0,9.842777546E0
2.906875000E-1,-4.281097412E-1,-3.303181000E0,9.308692474E0,9.886659610E0
3.007125000E-1,-4.020639038E-1,-3.307372284E0,9.357790375E0,9.933207312E0
3.107375000E-1,-3.893403625E-1,-3.319646759E0,9.384584656E0,9.962031403E0
3.207615000E-1,-4.144880676E-1,-3.334016876E0,9.377998352E0,9.961642534E0
3.307865000E-1,-4.417314148E-1,-3.336561584E0,9.353000336E0,9.940140096E0
3.408115000E-1,-4.568499756E-1,-3.333268433E0,9.353748779E0,9.940422857E0
3.508365000E-1,-4.475692749E-1,-3.346441040E0,9.351802826E0,9.942595334E0
3.608605000E-1,-3.911366272E-1,-3.358416138E0,9.351802826E0,9.944252758E0
3.708855000E-1,-3.611988831E-1,-3.352877655E0,9.362580414E0,9.951390114E0
3.809105000E-1,-3.564088440E-1,-3.341501312E0,9.347312164E0,9.933020839E0
3.909355000E-1,-3.471281433E-1,-3.324885864E0,9.331295471E0,9.912035065E0
4.009595000E-1,-3.815565491E-1,-3.322341156E0,9.318571930E0,9.900470644E0
4.109845000E-1,-4.093986511E-1,-3.340453491E0,9.334888000E0,9.923022260E0
4.210095000E-1,-4.242178345E-1,-3.348686371E0,9.332792358E0,9.924448316E0
4.310345000E-1,-4.290078735E-1,-3.340453491E0,9.332343292E0,9.921456980E0
4.410595000E-1,-4.197271729E-1,-3.334316254E0,9.324709167E0,9.911812994E0
