"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.099583351E-3,5.230123901E-1,-2.640808411E0,9.448950806E0,9.824972384E0
1.312458335E-2,3.558100891E-1,-2.454146576E0,8.415799255E0,8.773546224E0
2.314958334E-2,1.484912109E-1,-2.256407776E0,7.610473938E0,7.939316044E0
3.317458334E-2,-1.193019104E-1,-2.177072754E0,7.658074951E0,7.962411110E0
4.319958334E-2,-1.097218323E-1,-2.192341003E0,8.668174438E0,8.941792105E0
5.322458333E-2,7.349716187E-2,-2.296973419E0,9.821076965E0,1.008637901E1
6.324858335E-2,5.897735596E-2,-2.417323151E0,1.053688843E1,1.081077922E1
7.327358334E-2,-8.202941895E-2,-2.521805878E0,1.066606979E1,1.096044153E1
8.329858334E-2,-1.359173584E-1,-2.581681366E0,1.043554916E1,1.075101105E1
9.332358334E-2,-1.031355286E-1,-2.594105530E0,1.014141083E1,1.046843990E1
1.033485833E-1,-6.466552734E-2,-2.561024323E0,9.924062805E0,1.024939265E1
1.133735833E-1,-4.909790039E-2,-2.498903503E0,9.643546143E0,9.962174036E0
1.233985834E-1,-5.882766724E-2,-2.436333618E0,9.292825470E0,9.607069658E0
1.334225833E-1,-5.343887329E-2,-2.379900970E0,9.069639587E0,9.376840971E0
1.434475833E-1,-3.487747192E-2,-2.374811554E0,9.142837372E0,9.446291418E0
1.534725833E-1,-3.323089600E-2,-2.393223267E0,9.452243958E0,9.750566021E0
1.634975833E-1,-2.484832764E-2,-2.424208832E0,9.745484161E0,1.004250305E1
1.735225834E-1,-2.065704346E-2,-2.452350311E0,9.865983582E0,1.016622254E1
1.835475834E-1,-1.167572021E-2,-2.482886810E0,9.889933777E0,1.019684526E1
1.935715833E-1,-0.000000000E0,-2.515219574E0,9.850266266E0,1.016632062E1
2.035965833E-1,1.107696533E-2,-2.528990936E0,9.755812683E0,1.007828353E1
2.136215833E-1,-3.442840576E-3,-2.514321442E0,9.686955872E0,1.000794376E1
2.236465834E-1,-1.451980591E-2,-2.491718445E0,9.609716492E0,9.927513419E0
2.336715834E-1,-3.487747192E-2,-2.455194397E0,9.548493805E0,9.859154624E0
2.436965833E-1,-5.478607178E-2,-2.426903229E0,9.531129913E0,9.835410425E0
2.537205833E-1,-5.194198608E-2,-2.409539337E0,9.589807892E0,9.888022714E0
2.637455833E-1,-6.002517700E-2,-2.391876068E0,9.586963806E0,9.881019642E0
2.737705833E-1,-6.541397095E-2,-2.367327118E0,9.532327423E0,9.822106840E0
2.837955834E-1,-5.044509888E-2,-2.353705444E0,9.614506531E0,9.898545846E0
2.938205833E-1,-1.586700439E-2,-2.361638947E0,9.693542175E0,9.977091268E0
3.038455833E-1,-2.260299683E-2,-2.392474823E0,9.536668396E0,9.832216981E0
3.138705833E-1,-6.586303711E-2,-2.439327393E0,9.539961548E0,9.847107311E0
3.238945833E-1,2.200424194E-2,-2.532733154E0,9.694440308E0,1.001985001E1
3.339195834E-1,1.631607056E-1,-2.604583740E0,9.794731750E0,1.013643172E1
3.439445834E-1,1.898052979E-1,-2.591261444E0,9.679022369E0,1.002168329E1
3.539695833E-1,7.888595581E-2,-2.538271637E0,9.632469177E0,9.961601696E0
3.639945833E-1,-4.445755005E-2,-2.459535370E0,9.714648285E0,1.002126150E1
3.740195833E-1,-1.032852173E-1,-2.387984161E0,9.779164124E0,1.006703467E1
3.840435834E-1,-1.254391479E-1,-2.334096222E0,9.732760620E0,1.000951395E1
3.940685834E-1,-9.984237671E-2,-2.297272797E0,9.641001434E0,9.911424694E0
4.040935833E-1,-4.939727783E-2,-2.249821472E0,9.594298553E0,9.854679167E0
4.141185833E-1,-1.796264648E-3,-2.217339020E0,9.565558319E0,9.819190471E0
4.241439583E-1,1.601669312E-2,-2.199376373E0,9.545050964E0,9.795177940E0
4.341689583E-1,1.526824951E-2,-2.212848358E0,9.589508514E0,9.841524502E0
4.441929584E-1,2.215393066E-2,-2.253414001E0,9.680968323E0,9.939794421E0
4.542179584E-1,3.966751099E-2,-2.311044159E0,9.755662994E0,1.002573983E1
4.642429583E-1,3.128494263E-2,-2.366129608E0,9.757608948E0,1.004044224E1
4.742679583E-1,-1.646575928E-3,-2.398462372E0,9.733808441E0,1.002495143E1
4.842929583E-1,-1.481918335E-2,-2.436932373E0,9.709858246E0,1.001100425E1
