"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.321999996E-3,7.033872986E-1,-1.212927704E0,9.051227875E0,9.159185190E0
1.134800000E-2,6.243516541E-1,-1.297352142E0,9.718689880E0,9.824758041E0
2.137300000E-2,6.194119263E-1,-1.341809692E0,1.035112473E1,1.045609427E1
3.139800000E-2,5.719606018E-1,-1.325643311E0,1.055036041E1,1.064868884E1
4.142400000E-2,4.917274475E-1,-1.265618134E0,1.023766068E1,1.032730755E1
5.144900000E-2,3.857478333E-1,-1.165626068E0,9.763147430E0,9.840047422E0
6.147399999E-2,2.721340942E-1,-1.032852173E0,9.550140381E0,9.609683755E0
7.149900000E-2,2.207908630E-1,-9.373507690E-1,9.639354858E0,9.687339013E0
8.152499999E-2,1.824705505E-1,-8.737330627E-1,9.912087708E0,9.952195119E0
9.155000000E-2,1.962419128E-1,-8.696914673E-1,1.015143997E1,1.019051557E1
1.015750000E-1,2.365081787E-1,-9.536668396E-1,1.017494110E1,1.022227191E1
1.116010000E-1,2.665956116E-1,-1.114282837E0,9.978848877E0,1.004440762E1
1.216260000E-1,3.326083374E-1,-1.288221130E0,9.754166107E0,9.844485687E0
1.316510000E-1,4.499642944E-1,-1.420995026E0,9.584868164E0,9.700071776E0
1.416770000E-1,5.852828979E-1,-1.453327789E0,9.569450226E0,9.696860077E0
1.517020000E-1,6.985972595E-1,-1.379082184E0,9.707612915E0,9.829936638E0
1.617270000E-1,7.188052368E-1,-1.247056732E0,9.877210236E0,9.981538634E0
1.717520000E-1,6.077362061E-1,-1.103954315E0,9.980345764E0,1.005959045E1
1.817780000E-1,4.203259277E-1,-9.815089417E-1,1.003393433E1,1.009058332E1
1.918030000E-1,2.353106689E-1,-8.958869934E-1,1.001522324E1,1.005796605E1
2.018280000E-1,1.305285645E-1,-8.370593262E-1,9.922266541E0,9.958367302E0
2.118540000E-1,1.251397705E-1,-8.086184692E-1,9.814041595E0,9.848093025E0
2.218790000E-1,1.628613281E-1,-8.183482361E-1,9.797725525E0,9.833190892E0
2.319040000E-1,2.112107849E-1,-8.598120117E-1,9.857151947E0,9.896834403E0
2.419290000E-1,2.504292297E-1,-9.551637268E-1,9.947114868E0,9.996006540E0
2.519550000E-1,2.502795410E-1,-1.067430267E0,9.968370667E0,1.002848249E1
2.619800000E-1,3.014730835E-1,-1.174607391E0,9.948312378E0,1.002195129E1
2.720050000E-1,4.099974060E-1,-1.272054749E0,9.878258057E0,9.968259797E0
2.820310000E-1,4.800517273E-1,-1.310375061E0,9.830657043E0,9.929217007E0
2.920560000E-1,5.102888489E-1,-1.273252258E0,9.771380310E0,9.867190035E0
3.020810000E-1,5.298980713E-1,-1.188827820E0,9.752968597E0,9.839435960E0
3.121070000E-1,5.483097839E-1,-1.080303497E0,9.770332489E0,9.845155977E0
3.221320000E-1,5.412744141E-1,-1.009949799E0,9.874964905E0,9.941222684E0
3.321570000E-1,4.733157349E-1,-9.822573853E-1,9.996961212E0,1.005624636E1
3.421820000E-1,3.249742126E-1,-9.728269958E-1,1.005294479E1,1.010513234E1
3.522080000E-1,1.769320679E-1,-9.720785522E-1,1.007150620E1,1.011985567E1
3.622330000E-1,1.749861145E-1,-9.994715881E-1,1.006282425E1,1.011385166E1
3.722580000E-1,2.787203979E-1,-1.047970734E0,1.002061203E1,1.007911669E1
3.822840000E-1,3.206332397E-1,-1.074016571E0,1.001163071E1,1.007417821E1
3.923090000E-1,2.737806702E-1,-1.101708984E0,1.006192612E1,1.012576297E1
4.023340000E-1,2.927911377E-1,-1.122216339E0,1.003438339E1,1.010118539E1
4.123600000E-1,3.745211792E-1,-1.159937897E0,1.000145187E1,1.007545342E1
4.223850000E-1,3.977229309E-1,-1.227597198E0,9.994566193E0,1.007752607E1
4.324100000E-1,3.153941345E-1,-1.314416656E0,1.003647903E1,1.012709613E1
4.424350000E-1,1.924996948E-1,-1.374441833E0,1.005459137E1,1.014992385E1
4.524610000E-1,6.915618896E-2,-1.384620667E0,1.000624191E1,1.010182331E1
4.624860000E-1,1.481918335E-2,-1.295256500E0,9.895621948E0,9.980042222E0
4.725110000E-1,9.430389404E-2,-1.094074860E0,9.947114868E0,1.000754651E1
4.825370000E-1,2.917433167E-1,-8.319699097E-1,1.008288254E1,1.012135408E1
4.925620000E-1,3.806584167E-1,-5.535488892E-1,1.011850845E1,1.014078550E1
5.025867500E-1,2.900967407E-1,-3.861968994E-1,9.898466034E0,9.910243892E0
5.126127500E-1,1.176553345E-1,-3.860472107E-1,9.922715607E0,9.930919405E0
5.226377500E-1,5.733078003E-2,-4.947212219E-1,1.000324814E1,1.001563823E1
5.326627500E-1,1.016386414E-1,-6.933581543E-1,1.007479935E1,1.009914144E1
5.426877500E-1,1.820214844E-1,-9.229806519E-1,1.005369324E1,1.009761223E1
5.527137500E-1,3.439846802E-1,-1.070274353E0,9.888137512E0,9.951837826E0
5.627387500E-1,5.270539856E-1,-1.098415833E0,9.789193268E0,9.864715307E0
5.727637500E-1,6.512956238E-1,-1.011895752E0,9.905202026E0,9.978033182E0
5.827897500E-1,6.906637573E-1,-9.062155151E-1,1.001327728E1,1.007789487E1
5.928147500E-1,6.261479187E-1,-8.337661743E-1,1.004665787E1,1.010062184E1
6.028397500E-1,4.873864746E-1,-8.171507263E-1,9.990524597E0,1.003572930E1
6.128657500E-1,3.135978699E-1,-8.554710388E-1,9.880802765E0,9.922723296E0
6.228907500E-1,1.892065430E-1,-9.723779297E-1,9.764195251E0,9.814317443E0
6.329157500E-1,1.660047913E-1,-1.116827545E0,9.680219879E0,9.745846206E0
6.429417500E-1,2.314187622E-1,-1.198707275E0,9.755363617E0,9.831458339E0
6.529667500E-1,3.373983765E-1,-1.172212372E0,9.953401794E0,1.002786751E1
6.629917500E-1,4.317022705E-1,-1.085841980E0,1.011626312E1,1.018352587E1
