"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.098069200E-1,-3.915064633E-1,-2.678024292E0,9.449975014E0
2.122329090E-1,-4.058256149E-1,-2.682942867E0,9.483564377E0
2.146588990E-1,-4.246898890E-1,-2.668316603E0,9.474174500E0
2.170848890E-1,-4.057391286E-1,-2.673236370E0,9.469241142E0
2.195108780E-1,-4.056609869E-1,-2.663561583E0,9.459707260E0
2.219368680E-1,-4.151307046E-1,-2.663424969E0,9.450192451E0
2.243628570E-1,-4.009455144E-1,-2.673082113E0,9.440482140E0
2.267888470E-1,-4.103845954E-1,-2.668139935E0,9.430987358E0
2.292148370E-1,-4.056161344E-1,-2.668081045E0,9.416593552E0
2.316408260E-1,-4.103148580E-1,-2.658496618E0,9.426241875E0
2.340668160E-1,-3.959846497E-1,-2.644157171E0,9.421423912E0
2.365399930E-1,-3.721594810E-1,-2.629858971E0,9.411755562E0
2.389624930E-1,-3.531195819E-1,-2.615682840E0,9.426058769E0
2.413849930E-1,-3.389120996E-1,-2.620566130E0,9.421156883E0
2.438077010E-1,-3.387894034E-1,-2.601343632E0,9.421240807E0
2.462303570E-1,-3.388200700E-1,-2.606149197E0,9.421219826E0
2.486529090E-1,-4.671838582E-1,-2.643801212E0,9.450615883E0
2.510753570E-1,-7.665224671E-1,-2.723169565E0,9.447420120E0
2.534979620E-1,-6.524162292E-1,-2.694892406E0,9.398921967E0
2.559206180E-1,-5.096889138E-1,-2.628706455E0,9.398287773E0
2.583432220E-1,-3.907895684E-1,-2.572140217E0,9.426494598E0
2.607658260E-1,-3.051599860E-1,-2.529640436E0,9.440491676E0
2.631884300E-1,-2.434084415E-1,-2.511018991E0,9.459325790E0
2.656109820E-1,-2.482410669E-1,-2.516010523E0,9.492852211E0
2.680333260E-1,-2.721779346E-1,-2.540111303E0,9.531207085E0
2.704558780E-1,-2.579843104E-1,-2.549736500E0,9.516708374E0
2.728783260E-1,-2.769879997E-1,-2.554396391E0,9.516810417E0
2.753007740E-1,-2.865162194E-1,-2.568549633E0,9.488081932E0
2.777234300E-1,-2.816167474E-1,-2.549236059E0,9.468980789E0
2.801459820E-1,-3.100398779E-1,-2.553569078E0,9.430840492E0
2.825684300E-1,-3.434044421E-1,-2.577373981E0,9.435741425E0
2.849910340E-1,-3.719001710E-1,-2.586671591E0,9.421520233E0
2.874137430E-1,-3.815123141E-1,-2.601142645E0,9.440671921E0
2.898365030E-1,-4.241988063E-1,-2.605493069E0,9.421775818E0
2.922591070E-1,-4.575243294E-1,-2.624460936E0,9.421909332E0
2.946816590E-1,-4.480768740E-1,-2.629371166E0,9.426614761E0
2.971042120E-1,-4.575020075E-1,-2.619686604E0,9.426718712E0
2.995269720E-1,-4.765503705E-1,-2.633894444E0,9.417203903E0
3.019495760E-1,-4.765280783E-1,-2.629120827E0,9.422011375E0
3.043722320E-1,-4.526722133E-1,-2.610016823E0,9.412364960E0
3.067947840E-1,-4.334760606E-1,-2.576490641E0,9.407599449E0
3.092173890E-1,-4.241206646E-1,-2.595818043E0,9.412242889E0
3.116398370E-1,-4.004685581E-1,-2.600933552E0,9.431218147E0
3.140622320E-1,-3.815094233E-1,-2.605821133E0,9.421498299E0
3.164846800E-1,-3.625615835E-1,-2.606062412E0,9.435739517E0
3.189071280E-1,-3.435885012E-1,-2.606208086E0,9.435615540E0
3.213295760E-1,-3.341465890E-1,-2.615828753E0,9.425935745E0
3.237520240E-1,-3.436889350E-1,-2.620656729E0,9.440340996E0
3.261744720E-1,-3.770060539E-1,-2.639592886E0,9.435686111E0
3.285971280E-1,-3.769809008E-1,-2.639497519E0,9.421320915E0
3.310198370E-1,-3.865565658E-1,-2.658519983E0,9.402146339E0
3.334425450E-1,-4.008867741E-1,-2.672859669E0,9.406965256E0
3.358650970E-1,-4.437017143E-1,-2.687075615E0,9.426332474E0
3.382876490E-1,-4.247816801E-1,-2.696800947E0,9.421379089E0
3.407102010E-1,-4.342933297E-1,-2.696823359E0,9.435805321E0
3.431328570E-1,-4.106887281E-1,-2.706807852E0,9.464338303E0
3.455554620E-1,-3.821203411E-1,-2.692545891E0,9.454638481E0
3.479781180E-1,-3.822598457E-1,-2.711832047E0,9.464132309E0
3.504007740E-1,-3.869417012E-1,-2.702184439E0,9.464204788E0
3.528235870E-1,-3.868887722E-1,-2.692604780E0,9.469034195E0
3.552462430E-1,-3.869333267E-1,-2.702152729E0,9.459416389E0
3.576688470E-1,-4.010933638E-1,-2.692400217E0,9.454761505E0
3.600915550E-1,-3.963611722E-1,-2.701857090E0,9.425960541E0
3.625143160E-1,-3.867267370E-1,-2.682611704E0,9.411619186E0
3.649370240E-1,-4.056913853E-1,-2.682434320E0,9.406953812E0
3.673598370E-1,-4.150858819E-1,-2.667944431E0,9.407078743E0
3.697826490E-1,-4.197455347E-1,-2.653522730E0,9.411960602E0
3.722053570E-1,-4.528672993E-1,-2.648271084E0,9.383469582E0
3.746280660E-1,-4.292626977E-1,-2.658255339E0,9.412001610E0
3.770508780E-1,-4.292181432E-1,-2.648707628E0,9.421619415E0
3.794736910E-1,-4.481995702E-1,-2.648593664E0,9.426530838E0
3.818964510E-1,-4.291987121E-1,-2.639255524E0,9.445601463E0
3.843190550E-1,-4.245391488E-1,-2.653676987E0,9.440720558E0
3.867417640E-1,-4.245865941E-1,-2.658546209E0,9.450275421E0
3.891644200E-1,-4.246033728E-1,-2.658609867E0,9.459852219E0
3.915870760E-1,-4.056302905E-1,-2.658755779E0,9.459728241E0
3.940097320E-1,-3.914034069E-1,-2.654186487E0,9.478807449E0
3.964323890E-1,-3.677539527E-1,-2.668690443E0,9.464227676E0
3.988550450E-1,-3.533678949E-1,-2.649449825E0,9.445065498E0
4.012777010E-1,-3.438116610E-1,-2.639879704E0,9.440258026E0
4.037004090E-1,-3.344032764E-1,-2.649627447E0,9.449729919E0
4.061231180E-1,-3.296822906E-1,-2.654438019E0,9.444890022E0
4.085458260E-1,-3.296209276E-1,-2.644826651E0,9.444931030E0
4.109684820E-1,-3.390292823E-1,-2.635078430E0,9.435459137E0
4.133910870E-1,-3.249668479E-1,-2.663958549E0,9.425664902E0
4.158137950E-1,-3.344895542E-1,-2.673401594E0,9.411320686E0
4.182364510E-1,-3.297798336E-1,-2.673565388E0,9.430440903E0
4.206591590E-1,-3.488058746E-1,-2.682998657E0,9.425735474E0
4.230819200E-1,-3.441713750E-1,-2.697515965E0,9.435218811E0
4.255047320E-1,-3.489983380E-1,-2.711864710E0,9.430397034E0
4.279275450E-1,-3.633007407E-1,-2.716720343E0,9.454409599E0
4.303503570E-1,-3.632755876E-1,-2.716624975E0,9.440046310E0
4.327732220E-1,-3.821955919E-1,-2.706899405E0,9.444999695E0
4.351960340E-1,-4.012913406E-1,-2.725976229E0,9.445039749E0
4.376187950E-1,-4.298374355E-1,-2.735464334E0,9.459547997E0
4.400415550E-1,-4.392513037E-1,-2.730427027E0,9.435689926E0
4.424644720E-1,-4.580987990E-1,-2.715737104E0,9.416724205E0
4.448871800E-1,-4.581656754E-1,-2.730058670E0,9.402297020E0
4.473098890E-1,-4.676799774E-1,-2.739469528E0,9.383165359E0
4.497326490E-1,-4.628334641E-1,-2.729736090E0,9.359235764E0
4.521554090E-1,-4.627049863E-1,-2.719870329E0,9.320971489E0
4.545781700E-1,-4.435869157E-1,-2.696019411E0,9.325739861E0
4.570009820E-1,-4.293655157E-1,-2.696160555E0,9.330435753E0
4.594238470E-1,-3.865311444E-1,-2.672492027E0,9.335051537E0
4.618467120E-1,-3.959676325E-1,-2.658160925E0,9.359116554E0
4.642694720E-1,-3.766654730E-1,-2.605476141E0,9.364009857E0
4.666922320E-1,-3.622071147E-1,-2.567203760E0,9.373660088E0
4.691149930E-1,-7.384547591E-2,-2.034592867E0,9.168238640E0
4.715378050E-1,-4.547244310E-2,-2.044518471E0,9.182374954E0
4.739605140E-1,-1.898436844E-1,-2.295132160E0,9.455137253E0
4.763831700E-1,-3.006465435E-1,-2.497722387E0,9.694375992E0
4.788059300E-1,-3.494184911E-1,-2.671252012E0,9.828001022E0
4.812286910E-1,-4.024339020E-1,-2.795958042E0,9.851737976E0
4.836516070E-1,-4.648407400E-1,-2.924919605E0,9.803693771E0
4.860744200E-1,-5.031208992E-1,-3.010303497E0,9.679073334E0
4.884971800E-1,-5.314318538E-1,-3.032968998E0,9.506782532E0
4.909200450E-1,-5.355886817E-1,-2.988505125E0,9.329839706E0
4.933427530E-1,-5.109654069E-1,-2.877393961E0,9.215252876E0
4.957655660E-1,-4.775166810E-1,-2.867338181E0,9.109738350E0
4.981883260E-1,-4.536328018E-1,-2.852817297E0,9.066554070E0
5.006110340E-1,-4.296713173E-1,-2.800486803E0,9.119298935E0
5.030338470E-1,-4.105899930E-1,-2.758017540E0,9.215126038E0
5.054567640E-1,-3.869107962E-1,-2.711445808E0,9.411493301E0
5.078796800E-1,-3.729103804E-1,-2.707735300E0,9.559852600E0
5.103024930E-1,-3.256760538E-1,-2.727608442E0,9.602554321E0
5.127253050E-1,-3.161449134E-1,-2.718133688E0,9.612109184E0
5.151481180E-1,-3.257513046E-1,-2.741961956E0,9.592914581E0
5.175709300E-1,-3.255698979E-1,-2.722517014E0,9.559480667E0
5.199936910E-1,-3.397046924E-1,-2.712668657E0,9.540463448E0
5.224166070E-1,-3.585548401E-1,-2.707367659E0,9.487938881E0
5.248393680E-1,-3.823018074E-1,-2.711991072E0,9.488072395E0
5.272621800E-1,-3.917017579E-1,-2.702211618E0,9.473811150E0
5.296849930E-1,-4.059454501E-1,-2.706844330E0,9.464307785E0
5.321078570E-1,-4.058925211E-1,-2.697264671E0,9.469136238E0
5.345307740E-1,-4.153790176E-1,-2.697191715E0,9.469198227E0
5.369537430E-1,-3.868328929E-1,-2.687703609E0,9.454689980E0
5.393765030E-1,-3.915649354E-1,-2.692314148E0,9.430759430E0
5.417992120E-1,-4.104876518E-1,-2.691977739E0,9.402154922E0
5.442220240E-1,-3.914978206E-1,-2.692059755E0,9.392455101E0
5.466446800E-1,-4.151163101E-1,-2.686817408E0,9.354325294E0
5.490674410E-1,-3.866092861E-1,-2.682166815E0,9.344585419E0
5.514900450E-1,-3.960038126E-1,-2.667676926E0,9.344709396E0
5.539127010E-1,-3.722651601E-1,-2.663085461E0,9.349363327E0
5.563352530E-1,-3.865898550E-1,-2.672714472E0,9.368567467E0
5.587577010E-1,-3.721537292E-1,-2.639216185E0,9.373408318E0
5.611801490E-1,-3.626617491E-1,-2.634578466E0,9.387732506E0
5.636027530E-1,-3.532701135E-1,-2.644389868E0,9.406781197E0
5.660254090E-1,-3.390209079E-1,-2.635046721E0,9.430669785E0
5.684480660E-1,-3.485911191E-1,-2.649358988E0,9.425881386E0
5.708706700E-1,-3.581418693E-1,-2.654219151E0,9.445075035E0
5.732932740E-1,-3.629632592E-1,-2.663857698E0,9.454639435E0
5.757158780E-1,-3.819362819E-1,-2.663711786E0,9.454763412E0
5.781384820E-1,-3.819585741E-1,-2.668485641E0,9.449954987E0
5.805610340E-1,-3.772097826E-1,-2.663811922E0,9.464310646E0
5.829836390E-1,-4.056832492E-1,-2.668335199E0,9.454896927E0
5.854063990E-1,-3.961409330E-1,-2.663506985E0,9.440493584E0
