"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.660033000E-2,-7.794700265E-1,-1.243935347E0,8.107304573E0
2.902632000E-2,-7.324288487E-1,-1.250472426E0,8.312864304E0
3.145231000E-2,-6.949635744E-1,-1.261964798E0,8.551980972E0
3.387829900E-2,-6.909021735E-1,-1.288032293E0,8.853497505E0
3.630428900E-2,-6.961516738E-1,-1.285224676E0,9.159988403E0
3.873027800E-2,-6.729273796E-1,-1.291960955E0,9.423159599E0
4.115626800E-2,-6.308804154E-1,-1.341617346E0,9.614197731E0
4.358225700E-2,-6.028062701E-1,-1.371433139E0,9.728801727E0
4.600824700E-2,-5.653625727E-1,-1.429901481E0,9.804912567E0
4.843423700E-2,-5.135243535E-1,-1.469097495E0,9.857075691E0
5.081168500E-2,-5.135243535E-1,-1.469097495E0,9.857075691E0
5.323767400E-2,-4.854919016E-1,-1.513139486E0,9.942887306E0
5.561512200E-2,-4.854919016E-1,-1.513139486E0,9.942887306E0
5.804111200E-2,-4.860000312E-1,-1.561959267E0,1.005759430E1
6.041856000E-2,-4.860000312E-1,-1.561959267E0,1.005759430E1
6.284454900E-2,-5.008330345E-1,-1.606340766E0,1.024423504E1
6.527053900E-2,-5.013442636E-1,-1.636414528E0,1.043084621E1
6.774340300E-2,-5.446285009E-1,-1.680545688E0,1.061288452E1
7.016559100E-2,-5.595787764E-1,-1.739439726E0,1.081382751E1
7.258767400E-2,-5.932173729E-1,-1.768972278E0,1.095756245E1
7.500991400E-2,-6.218643785E-1,-1.764774323E0,1.108226013E1
7.743199700E-2,-6.784659028E-1,-1.692792058E0,1.116434193E1
7.985397600E-2,-7.206369042E-1,-1.592021823E0,1.123688126E1
8.227600700E-2,-7.724309564E-1,-1.515143156E0,1.129980183E1
8.469829900E-2,-8.053215146E-1,-1.462120891E0,1.131461239E1
8.712048700E-2,-8.431698084E-1,-1.456769347E0,1.127657604E1
8.954257000E-2,-8.289898634E-1,-1.485204339E0,1.119974804E1
9.196460100E-2,-8.149352670E-1,-1.542250514E0,1.108927727E1
9.438663200E-2,-7.767987847E-1,-1.551199913E0,1.094534397E1
9.680861200E-2,-7.335872054E-1,-1.512033343E0,1.078722572E1
9.923064300E-2,-6.950462461E-1,-1.467865825E0,1.060521793E1
