"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.925000106E-5,-9.484277344E-1,-2.837050323E0,9.752220154E0,1.020069447E1
1.000574999E-2,-6.280938721E-1,-2.617157593E0,9.517957306E0,9.891184310E0
2.003074999E-2,-4.448748779E-1,-2.389630737E0,8.565787354E0,8.903985720E0
3.005574999E-2,-5.406756592E-1,-2.254012756E0,7.647896118E0,7.991446597E0
4.008074998E-2,-5.397775269E-1,-2.235900421E0,7.645201721E0,7.983715916E0
5.010475000E-2,-4.715194702E-1,-2.296823730E0,8.581504669E0,8.896063863E0
6.012975000E-2,-4.713697815E-1,-2.395618286E0,9.607920227E0,9.913289441E0
7.015474999E-2,-5.487588501E-1,-2.504292297E0,1.024170227E1,1.055770248E1
8.017974999E-2,-6.014492798E-1,-2.604583740E0,1.050605255E1,1.084079047E1
9.020375001E-2,-5.837860107E-1,-2.657274170E0,1.049033524E1,1.083739108E1
1.002287500E-1,-5.487588501E-1,-2.651735687E0,1.033630554E1,1.068513223E1
1.102537500E-1,-5.287005615E-1,-2.604284363E0,1.006821304E1,1.041300798E1
1.202787500E-1,-5.210664368E-1,-2.529440002E0,9.753567352E0,1.008968052E1
1.303037500E-1,-5.227130127E-1,-2.460134125E0,9.382788391E0,9.714021145E0
1.403277500E-1,-5.165757751E-1,-2.389031982E0,9.089697876E0,9.412594319E0
1.503527500E-1,-5.260061646E-1,-2.349663849E0,9.000184021E0,9.316700870E0
1.603777500E-1,-5.269042969E-1,-2.352657623E0,9.186396790E0,9.497500303E0
1.704027500E-1,-5.426216125E-1,-2.379451904E0,9.504635010E0,9.812966740E0
1.804277500E-1,-5.566923523E-1,-2.426005096E0,9.779014435E0,1.009081416E1
1.904517500E-1,-5.480104065E-1,-2.454595642E0,9.932894440E0,1.024635287E1
2.004767500E-1,-5.716612244E-1,-2.483186188E0,9.951006775E0,1.027207603E1
2.105017500E-1,-5.812413025E-1,-2.496658173E0,9.841584320E0,1.016995209E1
2.205267500E-1,-5.779481506E-1,-2.498454437E0,9.681567078E0,1.001544007E1
2.305517500E-1,-5.695655823E-1,-2.505190430E0,9.510472870E0,9.851369359E0
2.405757500E-1,-5.577401733E-1,-2.523302765E0,9.414672089E0,9.762898211E0
2.506007500E-1,-5.433700562E-1,-2.527044983E0,9.400301971E0,9.749199173E0
2.606257500E-1,-5.343887329E-1,-2.521506500E0,9.489666138E0,9.833480043E0
2.706507500E-1,-5.310955811E-1,-2.526745605E0,9.608968048E0,9.949812703E0
2.806757500E-1,-5.257067871E-1,-2.516716461E0,9.696386261E0,1.003145732E1
2.906997500E-1,-5.330415344E-1,-2.501148834E0,9.747879181E0,1.007774912E1
3.007247500E-1,-5.496569824E-1,-2.481389923E0,9.716145172E0,1.004305211E1
3.107497500E-1,-5.746549988E-1,-2.462229767E0,9.651479645E0,9.977167089E0
3.207747500E-1,-5.858816528E-1,-2.450703735E0,9.567803650E0,9.894042288E0
3.307997500E-1,-5.737568665E-1,-2.436034241E0,9.530531158E0,9.853653329E0
3.408237500E-1,-5.608836365E-1,-2.412832489E0,9.524244232E0,9.841116769E0
3.508487500E-1,-5.547463989E-1,-2.432741089E0,9.555379486E0,9.875791102E0
3.608732083E-1,-5.478607178E-1,-2.454146576E0,9.609716492E0,9.933259175E0
3.708982083E-1,-5.465135193E-1,-2.473606110E0,9.653874664E0,9.980716419E0
3.809232083E-1,-5.423222351E-1,-2.481240234E0,9.675729218E0,1.000351950E1
3.909472083E-1,-5.337899780E-1,-2.488425293E0,9.667945404E0,9.997317666E0
4.009722083E-1,-5.361849976E-1,-2.480342102E0,9.648485870E0,9.976616204E0
4.109972083E-1,-5.589376831E-1,-2.466870117E0,9.606423340E0,9.933842605E0
4.210222083E-1,-5.667214966E-1,-2.466870117E0,9.585766296E0,9.914309705E0
4.310472083E-1,-5.709127808E-1,-2.461032257E0,9.577832794E0,9.905427916E0
4.410712083E-1,-5.694158936E-1,-2.463876343E0,9.583520966E0,9.911548577E0
4.510962083E-1,-5.604345703E-1,-2.463876343E0,9.611063690E0,9.937671699E0
4.611212083E-1,-5.557942200E-1,-2.479443970E0,9.629026337E0,9.958649397E0
4.711462083E-1,-5.451663208E-1,-2.481838989E0,9.640252991E0,9.969513971E0
4.811712083E-1,-5.287005615E-1,-2.479743347E0,9.632469177E0,9.960577985E0
4.911952083E-1,-5.242098999E-1,-2.471809845E0,9.625134430E0,9.951273925E0
5.012202083E-1,-5.313949585E-1,-2.462229767E0,9.605974274E0,9.930745076E0
5.112452083E-1,-5.294490051E-1,-2.447260895E0,9.587263184E0,9.908835324E0
5.212702083E-1,-5.289999390E-1,-2.451152802E0,9.583670654E0,9.906297704E0
5.312952083E-1,-5.334906006E-1,-2.460433502E0,9.601782990E0,9.926357933E0
5.413192083E-1,-5.566923523E-1,-2.474653931E0,9.620793457E0,9.949546984E0
5.513442083E-1,-5.637277222E-1,-2.488425293E0,9.625433807E0,9.957862490E0
5.613692083E-1,-5.706134033E-1,-2.492915955E0,9.656269684E0,9.989182840E0
5.713942083E-1,-5.682183838E-1,-2.493963776E0,9.643845520E0,9.977298425E0
5.814192083E-1,-5.697152710E-1,-2.501148834E0,9.620344391E0,9.956472627E0
5.914432083E-1,-5.692662048E-1,-2.483335876E0,9.616602173E0,9.948369637E0
6.014682083E-1,-5.592370605E-1,-2.470462646E0,9.596693573E0,9.925344292E0
6.114932083E-1,-5.498066711E-1,-2.460283813E0,9.591753845E0,9.917511061E0
6.215182083E-1,-5.405259705E-1,-2.458487549E0,9.595496063E0,9.920175102E0
6.315432083E-1,-5.457650757E-1,-2.447410583E0,9.577383728E0,9.900199854E0
6.415672083E-1,-5.474116516E-1,-2.453098755E0,9.584269409E0,9.908358750E0
6.515922083E-1,-5.661227417E-1,-2.467468872E0,9.611063690E0,9.938885393E0
6.616172083E-1,-5.803431702E-1,-2.488125916E0,9.673184509E0,1.000490216E1
6.716422083E-1,-5.682183838E-1,-2.504741364E0,9.702673187E0,1.003685550E1
6.816672083E-1,-5.631289673E-1,-2.490820312E0,9.632020111E0,9.964793600E0
6.916912083E-1,-5.553451538E-1,-2.465971985E0,9.645342407E0,9.971060938E0
7.017162083E-1,-5.403762817E-1,-2.423759766E0,9.711654510E0,1.002411349E1
7.117412083E-1,-5.472619629E-1,-2.401755524E0,9.568103027E0,9.880107327E0
7.217662083E-1,-5.983058167E-1,-2.406994629E0,9.391021271E0,9.713025970E0
7.317902083E-1,-5.867797852E-1,-2.438578949E0,9.482032013E0,9.808155224E0
7.418152083E-1,-5.412744141E-1,-2.462678833E0,9.643695831E0,9.967880131E0
7.518402083E-1,-5.468128967E-1,-2.468367004E0,9.644743652E0,9.970602797E0
7.618652083E-1,-5.751040649E-1,-2.505040741E0,9.552685089E0,9.892409525E0
