"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.286874996E-3,-4.561015320E-1,-3.393592987E0,9.544751587E0,1.014035428E1
1.631187499E-2,-4.348457336E-1,-3.369493103E0,9.093889160E0,9.707800711E0
2.633587498E-2,-5.592370605E-1,-3.289110260E0,8.447832642E0,9.082778690E0
3.636087498E-2,-7.414082336E-1,-3.209775238E0,8.240663452E0,8.874732524E0
4.638587497E-2,-6.942562866E-1,-3.210074615E0,8.757388916E0,9.352990509E0
5.641087500E-2,-4.722679138E-1,-3.255280609E0,9.477840729E0,1.003241515E1
6.643587499E-2,-3.938310242E-1,-3.301085358E0,9.962532806E0,1.050258670E1
7.646087499E-2,-4.231700134E-1,-3.335962830E0,1.016685791E1,1.070853494E1
8.648587498E-2,-4.574487305E-1,-3.395838318E0,1.010144394E1,1.066677772E1
9.651024998E-2,-4.652325439E-1,-3.429667969E0,9.792935486E0,1.038656099E1
1.065352500E-1,-4.348457336E-1,-3.422482910E0,9.417216797E0,1.002927975E1
1.165602500E-1,-4.168830872E-1,-3.371289368E0,9.139544220E0,9.750418045E0
1.265842500E-1,-4.005670166E-1,-3.282074890E0,9.023834839E0,9.610518442E0
1.366092500E-1,-3.953279114E-1,-3.199746094E0,9.041049042E0,9.598709653E0
1.466342500E-1,-4.034111023E-1,-3.147654419E0,9.191336517E0,9.723740835E0
1.566592500E-1,-4.101470947E-1,-3.126248932E0,9.436975708E0,9.949782085E0
1.666842500E-1,-4.070036316E-1,-3.148253174E0,9.688003693E0,1.019483033E1
1.767092500E-1,-4.219725037E-1,-3.173550568E0,9.829010468E0,1.033725935E1
1.867342500E-1,-4.412823486E-1,-3.232228546E0,9.848470001E0,1.037469965E1
1.967592500E-1,-4.369413757E-1,-3.283721466E0,9.770033112E0,1.031636038E1
2.067842500E-1,-4.320016479E-1,-3.303929443E0,9.619446259E0,1.018019261E1
2.168082500E-1,-4.204756165E-1,-3.304827576E0,9.447603607E0,1.001777914E1
2.268332500E-1,-4.305047607E-1,-3.307372284E0,9.308692474E0,9.888164711E0
2.368582500E-1,-4.520599365E-1,-3.294648743E0,9.249715118E0,9.829358997E0
2.468832500E-1,-4.668791199E-1,-3.259920959E0,9.211843872E0,9.782797570E0
2.569082500E-1,-4.821473694E-1,-3.234473877E0,9.147627411E0,9.714595956E0
2.669332500E-1,-4.769082642E-1,-3.223546600E0,9.150621185E0,9.713524708E0
2.769582500E-1,-4.507127380E-1,-3.246299286E0,9.254205780E0,9.817429686E0
2.869832500E-1,-4.448748779E-1,-3.277883606E0,9.392368469E0,9.957862223E0
2.970082500E-1,-4.167333984E-1,-3.291804657E0,9.488169250E0,1.005161680E1
3.070332500E-1,-4.080514526E-1,-3.326233063E0,9.552535400E0,1.012330307E1
3.170572500E-1,-4.195774841E-1,-3.368445282E0,9.564959564E0,1.014942956E1
3.270822500E-1,-4.254153442E-1,-3.401526489E0,9.542206879E0,1.013928364E1
3.371072500E-1,-4.370910645E-1,-3.426674194E0,9.464817810E0,1.007551095E1
3.471322500E-1,-4.323010254E-1,-3.408112793E0,9.337283020E0,9.949219627E0
3.571572500E-1,-4.487667847E-1,-3.378624115E0,9.249116364E0,9.857111445E0
3.671822500E-1,-4.785548401E-1,-3.342698822E0,9.197623444E0,9.797904223E0
3.772072500E-1,-4.995112610E-1,-3.312461700E0,9.172176361E0,9.764770003E0
3.872322500E-1,-5.132826233E-1,-3.294798431E0,9.223818970E0,9.808057511E0
3.972572500E-1,-5.068460083E-1,-3.293301544E0,9.300609283E0,9.879476756E0
