"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.240449700E-2,-1.716448665E0,-2.741561174E0,8.848476410E0
2.483048700E-2,-1.635654449E0,-2.699374676E0,8.915171623E0
2.720793500E-2,-1.635654449E0,-2.699374676E0,8.915171623E0
2.963392500E-2,-1.635439634E0,-2.665735006E0,8.915317535E0
3.201137200E-2,-1.635439634E0,-2.665735006E0,8.915317535E0
3.443736200E-2,-1.644881845E0,-2.656113863E0,8.924998283E0
3.681481000E-2,-1.644881845E0,-2.656113863E0,8.924998283E0
3.924080000E-2,-1.602418303E0,-2.685435057E0,8.948534966E0
4.161824700E-2,-1.602418303E0,-2.685435057E0,8.948534966E0
4.404423700E-2,-1.588492870E0,-2.724212408E0,8.981791496E0
4.642168500E-2,-1.588492870E0,-2.724212408E0,8.981791496E0
4.884767500E-2,-1.598428607E0,-2.786804199E0,9.010310173E0
5.122512200E-2,-1.598428607E0,-2.786804199E0,9.010310173E0
5.360257000E-2,-1.598428607E0,-2.786804199E0,9.010310173E0
5.598001800E-2,-1.598428607E0,-2.786804199E0,9.010310173E0
5.835746600E-2,-1.598428607E0,-2.786804199E0,9.010310173E0
6.073491400E-2,-1.598428607E0,-2.786804199E0,9.010310173E0
6.316090400E-2,-1.594176054E0,-2.863731384E0,9.009944916E0
6.558689300E-2,-1.618249297E0,-2.925864458E0,8.985886574E0
6.801288300E-2,-1.637699127E0,-2.997867107E0,8.995273590E0
7.043887200E-2,-1.633466482E0,-3.070179462E0,9.023657799E0
7.286486200E-2,-1.619850278E0,-3.166402340E0,9.023147583E0
7.529085200E-2,-1.653519034E0,-3.228875399E0,9.061396599E0
7.771684100E-2,-1.591748595E0,-3.172666550E0,9.209677696E0
8.014283100E-2,-1.544374228E0,-3.201388597E0,9.137420654E0
8.256882000E-2,-1.477644324E0,-3.195980310E0,8.969424248E0
8.499481000E-2,-1.425632358E0,-3.257964611E0,8.834745407E0
8.742080000E-2,-1.383110046E0,-3.301130533E0,8.772033691E0
8.984678900E-2,-1.350143909E0,-3.353866816E0,8.714129448E0
9.227277900E-2,-1.331405044E0,-3.397104979E0,8.689876556E0
9.469876800E-2,-1.260540724E0,-3.440934658E0,8.694013596E0
9.712475800E-2,-1.246590018E0,-3.465549231E0,8.765637398E0
9.955074700E-2,-1.227990985E0,-3.514005899E0,8.803609848E0
1.019767370E-1,-1.166577101E0,-3.534179211E0,8.874946594E0
1.044027270E-1,-1.109981894E0,-3.568669796E0,8.936675072E0
1.068287160E-1,-1.019614458E0,-3.530916691E0,8.936255455E0
1.092547060E-1,-8.187794685E-1,-3.305912971E0,8.835388184E0
1.116806950E-1,-7.906659842E-1,-3.344958782E0,8.892493248E0
1.141066850E-1,-8.009647727E-1,-3.432373762E0,9.040610313E0
1.165326750E-1,-7.826558352E-1,-3.514756203E0,9.121529579E0
