"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.731083332E-3,1.193168793E0,-1.292562103E0,8.404123535E0,8.586248363E0
1.275608333E-2,8.454418945E-1,-9.518705750E-1,8.566835175E0,8.660917647E0
2.278108333E-2,1.104403381E0,-7.364685059E-1,9.488768005E0,9.581169602E0
3.280608333E-2,1.516795807E0,-6.712042236E-1,1.022733215E1,1.036096075E1
4.283208333E-2,1.988015900E0,-4.055067444E-1,1.050859726E1,1.070267533E1
5.285708333E-2,1.823058929E0,-5.812413025E-1,1.047312103E1,1.064648531E1
6.288208333E-2,1.872456207E0,-8.896000671E-1,1.020098694E1,1.040949639E1
7.290808333E-2,2.188449097E0,-1.129551086E0,9.788145447E0,1.009321487E1
8.293308333E-2,2.127226410E0,-1.370100861E0,9.373807068E0,9.709301083E0
9.295808333E-2,2.045047302E0,-1.531614990E0,9.124425659E0,9.475400074E0
1.029840833E-1,1.926493835E0,-1.564696198E0,8.843609619E0,9.185264492E0
1.130090833E-1,1.818418579E0,-1.470092926E0,8.992549896E0,9.291596901E0
1.230340833E-1,1.983076172E0,-1.404080200E0,9.576934662E0,9.880369924E0
1.330590833E-1,2.084265747E0,-1.242865448E0,9.821526031E0,1.011687955E1
1.430850833E-1,2.166145477E0,-9.319619751E-1,9.630822601E0,9.915315594E0
1.531100833E-1,2.113155670E0,-7.689509583E-1,9.699080658E0,9.956348632E0
1.631350833E-1,1.971849518E0,-4.201762390E-1,1.010338989E1,1.030258346E1
1.731610833E-1,1.558109894E0,-1.017883301E-2,1.003977219E1,1.015996238E1
1.831860833E-1,1.165177002E0,7.364685059E-2,9.984836426E0,1.005286127E1
1.932110833E-1,1.089434509E0,-1.839674377E-1,1.018377274E1,1.024353155E1
2.032360833E-1,1.165027313E0,-5.915698242E-1,1.008467880E1,1.016897193E1
