"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.804083328E-3,4.721182251E-1,-1.315015411E0,1.005279510E1,1.014942612E1
1.282908333E-2,7.095245361E-1,-1.645378418E0,1.013482452E1,1.029200483E1
2.285508333E-2,7.560777283E-1,-1.805994415E0,1.006506958E1,1.025372591E1
3.288008333E-2,5.767506409E-1,-1.693129120E0,9.895472260E0,1.005582909E1
4.290508333E-2,6.973997498E-1,-1.031504974E0,9.766889648E0,9.845938367E0
5.293108333E-2,6.273454285E-1,-6.643185425E-1,9.592202911E0,9.635623390E0
6.295608333E-2,2.180964661E-1,-7.435038757E-1,1.002106110E1,1.005097157E1
7.298108333E-2,4.939727783E-3,-8.714877319E-1,9.717642059E0,9.756642991E0
8.300708333E-2,1.766326904E-2,-1.061293030E0,9.688452759E0,9.746423536E0
9.303208333E-2,3.056643677E-1,-1.179397430E0,9.873767395E0,9.948652752E0
1.030570833E-1,7.099736023E-1,-1.266366577E0,9.796228638E0,9.903223836E0
1.130830833E-1,1.279389496E0,-1.294208679E0,9.415570221E0,9.589826702E0
1.231080833E-1,1.840871887E0,-1.320104828E0,9.158105621E0,9.434107517E0
1.331330833E-1,1.676663361E0,-1.221310272E0,9.488618317E0,9.712706954E0
1.431590833E-1,1.092278595E0,-1.021625519E0,9.714348907E0,9.828802873E0
1.531840833E-1,4.397854614E-1,-8.250842285E-1,9.777667236E0,9.822268161E0
1.632090833E-1,-9.939331055E-2,-7.198530579E-1,9.773775330E0,9.800752606E0
1.732350833E-1,-3.835025024E-1,-6.619235229E-1,1.021550674E1,1.024411026E1
1.832600833E-1,-3.694317627E-1,-6.039939880E-1,1.052536240E1,1.054914888E1
1.932850833E-1,-2.734812927E-1,-6.541397095E-1,1.031160690E1,1.033595316E1
2.033111250E-1,-7.918533325E-2,-8.060737610E-1,9.873468018E0,9.906633935E0
2.133361250E-1,1.601669312E-1,-9.398954773E-1,9.825118561E0,9.871272040E0
2.233611250E-1,3.788621521E-1,-9.406439209E-1,9.805060272E0,9.857360420E0
2.333871250E-1,5.120851135E-1,-8.262817383E-1,9.749974823E0,9.798315249E0
2.434121250E-1,6.212081909E-1,-6.855743408E-1,9.917027435E0,9.960087597E0
2.534371250E-1,6.906637573E-1,-6.180647278E-1,1.018182678E1,1.022392376E1
2.634631250E-1,6.387217712E-1,-6.411167908E-1,1.030726593E1,1.034691873E1
2.734881250E-1,5.158273315E-1,-6.960525513E-1,1.010698242E1,1.014404558E1
2.835131250E-1,4.634362793E-1,-7.188052368E-1,9.767787781E0,9.805158453E0
2.935391250E-1,5.264552307E-1,-6.203100586E-1,9.491462402E0,9.526268851E0
3.035641250E-1,6.605763245E-1,-4.912783813E-1,9.513915710E0,9.549466355E0
3.135891250E-1,7.686515808E-1,-4.071533203E-1,9.842781830E0,9.881141292E0
3.236151250E-1,7.131170654E-1,-4.480183411E-1,1.023092468E1,1.026552854E1
3.336401250E-1,5.501060486E-1,-5.941145325E-1,1.034558624E1,1.037722234E1
3.436651250E-1,3.803590393E-1,-7.934999084E-1,1.020083725E1,1.023872041E1
3.536911250E-1,2.559677124E-1,-9.873468018E-1,9.903405762E0,9.955793231E0
3.637161250E-1,2.149530029E-1,-1.139280853E0,9.673633575E0,9.742861603E0
3.737411250E-1,2.528242493E-1,-1.243913269E0,9.631121979E0,9.714409446E0
3.837671250E-1,3.191363525E-1,-1.268911285E0,9.754465485E0,9.841828120E0
3.937921250E-1,3.255729675E-1,-1.186732178E0,9.897268524E0,9.973477591E0
4.038171250E-1,2.927911377E-1,-1.025068359E0,9.900561676E0,9.957791587E0
4.138431250E-1,2.573149109E-1,-8.351133728E-1,9.867630157E0,9.906248040E0
4.238681250E-1,2.465373230E-1,-6.735992432E-1,9.912836151E0,9.938754306E0
4.338931250E-1,3.016227722E-1,-5.298980713E-1,9.977052612E0,9.995666416E0
4.439191250E-1,3.827540588E-1,-4.626878357E-1,9.926607513E0,9.944753261E0
4.539441250E-1,4.502636719E-1,-4.929249573E-1,9.885742493E0,9.908260040E0
4.639691250E-1,5.005590820E-1,-6.295907593E-1,1.000564316E1,1.003792005E1
4.739951250E-1,5.707630920E-1,-8.167016602E-1,1.005384293E1,1.010309505E1
4.840201250E-1,5.936654663E-1,-9.464817810E-1,9.936486969E0,9.999101946E0
4.940451250E-1,5.782475281E-1,-9.593550110E-1,9.866881714E0,9.930261175E0
5.040711250E-1,5.623805237E-1,-8.858578491E-1,9.914033661E0,9.969407175E0
5.140961250E-1,5.776487732E-1,-7.569758606E-1,1.002510269E1,1.007022217E1
5.241211250E-1,5.965095520E-1,-6.186634827E-1,1.004052063E1,1.007723289E1
5.341471250E-1,5.888754272E-1,-4.918771362E-1,9.985884247E0,1.001531835E1
5.441721250E-1,5.195695496E-1,-4.725672913E-1,9.933942261E0,9.958738936E0
5.541981250E-1,5.270539856E-1,-5.040019226E-1,9.758806458E0,9.786015906E0
5.642231250E-1,6.292913818E-1,-5.761518860E-1,9.679471436E0,9.717001899E0
5.742481250E-1,6.140231323E-1,-7.015910339E-1,9.771380310E0,9.815759143E0
5.842741250E-1,5.035528564E-1,-8.216413879E-1,9.975106659E0,1.002154743E1
5.942991250E-1,4.334985352E-1,-9.045689392E-1,1.019065842E1,1.023990649E1
6.043241250E-1,5.004093933E-1,-8.981323242E-1,1.014904495E1,1.020098842E1
6.143501250E-1,6.078858948E-1,-8.346643066E-1,9.863738251E0,9.917636918E0
6.243751250E-1,7.731422424E-1,-7.520361328E-1,9.549990692E0,9.610703902E0
6.344001250E-1,8.497828674E-1,-6.658154297E-1,9.558972015E0,9.619739451E0
6.444261250E-1,7.909552002E-1,-6.405180359E-1,9.550739136E0,9.604816059E0
6.544511250E-1,6.375242615E-1,-6.653663635E-1,9.871222687E0,9.914140755E0
6.644761250E-1,5.785469055E-1,-8.054750061E-1,1.057820251E1,1.062458822E1
6.745021250E-1,5.460644531E-1,-7.908055115E-1,1.042432251E1,1.046852709E1
6.845271250E-1,6.366261292E-1,-7.418572998E-1,9.765093384E0,9.813903091E0
6.945521250E-1,6.155200195E-1,-7.453001404E-1,9.725725250E0,9.773641534E0
7.045781250E-1,6.730004883E-1,-7.961943054E-1,1.001028351E1,1.006442402E1
7.146031250E-1,7.499404907E-1,-7.852670288E-1,1.001312759E1,1.007183098E1
7.246281250E-1,6.953041077E-1,-7.689509583E-1,9.937684479E0,9.991611791E0
7.346541250E-1,6.286926270E-1,-7.119195557E-1,9.928104401E0,9.973431750E0
7.446791250E-1,5.278024292E-1,-6.343807983E-1,9.881551208E0,9.915950216E0
7.547041250E-1,4.111949158E-1,-5.674699402E-1,9.908495178E0,9.933246201E0
7.647301250E-1,3.158432007E-1,-5.278024292E-1,1.000384689E1,1.002273840E1
7.747551250E-1,3.044668579E-1,-4.840933228E-1,1.019544846E1,1.021147470E1
7.847801250E-1,2.999761963E-1,-5.060975647E-1,1.024559418E1,1.026247146E1
7.948061250E-1,2.652484131E-1,-5.342390442E-1,1.007420059E1,1.009184253E1
8.048311250E-1,2.363584900E-1,-5.824388123E-1,9.927954712E0,9.947833185E0
8.148561250E-1,2.339634705E-1,-6.788383484E-1,9.988728333E0,1.001450219E1
8.248821250E-1,2.784210205E-1,-7.746391296E-1,1.016311569E1,1.019639665E1
8.349071250E-1,2.957849121E-1,-8.813671875E-1,1.028331573E1,1.032525444E1
8.449321250E-1,3.203338623E-1,-9.358538818E-1,1.024768982E1,1.029531849E1
8.549581250E-1,4.176315308E-1,-9.699829102E-1,1.014320709E1,1.019803575E1
8.649831250E-1,5.766009521E-1,-1.025068359E0,9.956994324E0,1.002621413E1
8.750081250E-1,6.897656250E-1,-1.079105988E0,9.779762878E0,9.863265601E0
8.850341250E-1,7.156617737E-1,-1.144819336E0,9.735455017E0,9.828624903E0
8.950591250E-1,6.792874146E-1,-1.227447510E0,9.813592529E0,9.913357510E0
9.050841250E-1,6.221063232E-1,-1.318009186E0,9.870324554E0,9.977347909E0
9.151101250E-1,6.041436768E-1,-1.392254791E0,9.894574127E0,1.001029271E1
9.251351250E-1,6.177653503E-1,-1.406026154E0,9.924960938E0,1.004307688E1
9.351601250E-1,7.714956665E-1,-1.372346191E0,9.864337006E0,9.989178354E0
9.451861250E-1,9.349557495E-1,-1.294208679E0,9.757758636E0,9.887515965E0
9.552111250E-1,7.285350037E-1,-1.240919495E0,9.848170624E0,9.952743797E0
9.652361250E-1,5.915698242E-1,-1.118623810E0,9.785001984E0,9.866485590E0
9.752621250E-1,3.983216858E-1,-1.028361511E0,9.804311829E0,9.866139974E0
9.852871250E-1,2.927911377E-1,-9.663903809E-1,1.002510269E1,1.007582855E1
9.953121250E-1,3.722758484E-1,-9.160949707E-1,1.026131149E1,1.030884731E1
1.005338125E0,4.239184570E-1,-9.201365662E-1,1.036878799E1,1.041816311E1
1.015363125E0,3.507206726E-1,-1.008901978E0,1.022523651E1,1.028087301E1
1.025388125E0,3.438349915E-1,-1.069525909E0,9.822424164E0,9.886461684E0
1.035414125E0,2.888992310E-1,-1.102158051E0,9.558672638E0,9.626340828E0
1.045439125E0,2.582130432E-1,-1.108894043E0,9.613608398E0,9.680794720E0
1.055465125E0,3.661386108E-1,-1.030157776E0,9.832453308E0,9.893049104E0
1.065490125E0,4.799020386E-1,-9.577084351E-1,9.930499420E0,9.988109438E0
1.075515125E0,5.848338318E-1,-9.629475403E-1,9.955647125E0,1.001919200E1
1.085541125E0,6.782395935E-1,-1.012195129E0,1.000070343E1,1.007465220E1
1.095566125E0,7.470964050E-1,-1.109792175E0,1.016027161E1,1.024797106E1
1.105591125E0,7.677534485E-1,-1.188229065E0,1.021790176E1,1.031536961E1
1.115617125E0,7.673043823E-1,-1.174008636E0,9.800868988E0,9.900711349E0
1.125642125E0,9.303153992E-1,-1.003513184E0,9.258097687E0,9.358680368E0
1.135667125E0,6.279441833E-1,-8.379574585E-1,9.155411224E0,9.215098550E0
1.145693125E0,3.281176758E-1,-7.355703735E-1,8.959468689E0,8.995599156E0
1.155718125E0,2.745291138E-1,-8.490344238E-1,9.723330231E0,9.764188469E0
1.165743125E0,5.031037903E-1,-1.192869415E0,1.094254486E1,1.101886287E1
1.175769125E0,7.033872986E-1,-1.399739227E0,1.103535187E1,1.114598647E1
1.185794125E0,7.381150818E-1,-1.502725067E0,1.040935364E1,1.054313235E1
1.195819125E0,7.197033691E-1,-1.505868530E0,9.859097900E0,9.999371199E0
1.205845208E0,7.497908020E-1,-1.459914093E0,9.435029755E0,9.576707256E0
1.215870208E0,8.547225952E-1,-1.340612183E0,9.128167877E0,9.265594451E0
1.225895208E0,5.257067871E-1,-1.225351868E0,9.379046173E0,9.473350091E0
1.235921208E0,3.763174438E-1,-1.017883301E0,9.754914551E0,9.815093434E0
1.245946208E0,3.646417236E-1,-8.211923218E-1,1.003094055E1,1.007110167E1
1.255971208E0,4.734654236E-1,-7.237449646E-1,1.014305740E1,1.017986197E1
1.265997208E0,6.152206421E-1,-6.896159363E-1,1.025113266E1,1.029270554E1
1.276022208E0,7.129673767E-1,-7.137158203E-1,1.025113266E1,1.030065209E1
1.286047208E0,8.015830994E-1,-7.560777283E-1,1.016506165E1,1.022461086E1
1.296073208E0,8.650511169E-1,-8.655001831E-1,9.885143738E0,9.960595902E0
1.306098208E0,6.776408386E-1,-1.007105713E0,9.564510498E0,9.641230217E0
1.316123208E0,5.709127808E-1,-1.099463654E0,9.333391113E0,9.415251000E0
1.326149208E0,4.793032837E-1,-1.144220581E0,9.541907501E0,9.622212383E0
1.336174208E0,4.167333984E-1,-1.202000427E0,9.940977631E0,1.002205109E1
1.346199208E0,4.722679138E-1,-1.234482880E0,1.018691620E1,1.027230483E1
1.356225208E0,4.096980286E-1,-1.268013153E0,1.021311172E1,1.029967771E1
1.366250208E0,4.328997803E-1,-1.326541443E0,1.010144394E1,1.019736653E1
1.376275208E0,5.328918457E-1,-1.356179810E0,1.001387604E1,1.011933351E1
1.386301208E0,6.494993591E-1,-1.317111053E0,9.871072998E0,9.979715080E0
1.396326208E0,7.234455872E-1,-1.250948639E0,9.759405212E0,9.865811478E0
1.406351208E0,7.593708801E-1,-1.139430542E0,9.800270233E0,9.895465767E0
1.416377208E0,7.797285461E-1,-9.907896423E-1,9.896220703E0,9.976212955E0
1.426402208E0,8.393046570E-1,-8.514294434E-1,9.905351715E0,9.977241954E0
1.436427208E0,7.354206848E-1,-7.453001404E-1,9.784103851E0,9.839969718E0
1.446453208E0,4.528083801E-1,-7.318281555E-1,9.796228638E0,9.833956650E0
1.456478208E0,3.686833191E-1,-7.387138367E-1,9.884844360E0,9.919262752E0
1.466503208E0,3.411405945E-1,-7.655081177E-1,1.006012985E1,1.009497857E1
1.476529208E0,2.942880249E-1,-8.428971863E-1,1.016281631E1,1.020195651E1
1.486554208E0,3.098556519E-1,-8.801696777E-1,9.989177399E0,1.003266536E1
1.496579208E0,3.478765869E-1,-8.931925964E-1,9.750723267E0,9.797725009E0
1.506605208E0,4.134402466E-1,-9.216334534E-1,9.564809875E0,9.618000261E0
1.516630208E0,5.619314575E-1,-1.003662872E0,9.532327423E0,9.601477606E0
1.526655208E0,6.945556641E-1,-1.137634277E0,9.624685364E0,9.716541961E0
1.536681208E0,7.378157043E-1,-1.243613892E0,9.761051788E0,9.867577187E0
1.546706208E0,7.441026306E-1,-1.299447784E0,9.818083191E0,9.931616727E0
1.556731208E0,7.973918152E-1,-1.297052765E0,9.787696381E0,9.905411653E0
1.566757208E0,6.360273743E-1,-1.313967590E0,1.001612137E1,1.012194294E1
1.576782208E0,4.605921936E-1,-1.321452026E0,1.031729507E1,1.041177018E1
1.586807208E0,4.505630493E-1,-1.255439301E0,1.006881180E1,1.015677635E1
1.596833208E0,5.174739075E-1,-1.124012604E0,9.541907501E0,9.621807644E0
1.606858208E0,4.384382629E-1,-1.013841705E0,9.318272552E0,9.383512481E0
1.616883208E0,4.237687683E-1,-9.768685913E-1,9.355994110E0,9.416394108E0
1.626909208E0,4.040098572E-1,-9.867480469E-1,9.297465820E0,9.358406187E0
1.636934208E0,3.541635132E-1,-1.081950073E0,9.600435791E0,9.667699578E0
1.646959208E0,5.269042969E-1,-1.228495331E0,1.061876816E1,1.070257287E1
1.656985208E0,6.670129395E-1,-1.249302063E0,1.104897354E1,1.113936615E1
1.667010208E0,5.680686951E-1,-1.033899994E0,1.032912048E1,1.039626766E1
1.677035208E0,5.053491211E-1,-8.690927124E-1,9.513316956E0,9.566289739E0
1.687061208E0,3.751199341E-1,-8.310717773E-1,9.370513916E0,9.414771708E0
1.697086208E0,3.559597778E-1,-9.033714294E-1,9.458979950E0,9.508684925E0
1.707111208E0,4.230203247E-1,-1.033600616E0,9.644593964E0,9.709040589E0
1.717137208E0,4.900808716E-1,-1.184636536E0,9.836045837E0,9.919240934E0
1.727162208E0,5.652246094E-1,-1.358275452E0,9.969717865E0,1.007768155E1
1.737187208E0,5.031037903E-1,-1.508113861E0,1.003393433E1,1.015910227E1
1.747213208E0,3.999682617E-1,-1.616638184E0,1.003213806E1,1.016942908E1
1.757238208E0,4.010160828E-1,-1.583107910E0,9.979297943E0,1.011204391E1
1.767264208E0,4.228706360E-1,-1.498533783E0,1.004096970E1,1.016097906E1
1.777289208E0,4.291575623E-1,-1.419498138E0,1.010967682E1,1.021786262E1
1.787314208E0,4.224215698E-1,-1.356479187E0,1.001028351E1,1.011060096E1
1.797339208E0,3.625460815E-1,-1.294508057E0,9.855954437E0,9.947212104E0
1.807365208E0,3.794609070E-1,-1.201850739E0,9.544601898E0,9.627453514E0
1.817390208E0,3.923341370E-1,-1.146316223E0,9.354347534E0,9.432485608E0
