"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.654375400E-2,-1.183993220E0,-1.611651421E0,9.601736069E0
2.896974400E-2,-1.179341912E0,-1.626105070E0,9.601641655E0
3.139573300E-2,-1.193677664E0,-1.645154834E0,9.592074394E0
3.382172300E-2,-1.189062476E0,-1.669124365E0,9.577574730E0
3.624771300E-2,-1.189070821E0,-1.669156194E0,9.582362175E0
3.867370200E-2,-1.188961983E0,-1.654675603E0,9.572848320E0
4.109969200E-2,-1.146152973E0,-1.631102324E0,9.591828346E0
4.347714000E-2,-1.146152973E0,-1.631102324E0,9.591828346E0
4.590312900E-2,-1.112805128E0,-1.607360601E0,9.596503258E0
4.828057700E-2,-1.112805128E0,-1.607360601E0,9.596503258E0
5.070656700E-2,-1.155550241E0,-1.611933827E0,9.611125946E0
5.308401500E-2,-1.155550241E0,-1.611933827E0,9.611125946E0
5.551000400E-2,-1.155441523E0,-1.597453237E0,9.601613045E0
5.788745200E-2,-1.155441523E0,-1.597453237E0,9.601613045E0
6.026490000E-2,-1.155441523E0,-1.597453237E0,9.601613045E0
6.264234800E-2,-1.155441523E0,-1.597453237E0,9.601613045E0
6.506833800E-2,-1.174523354E0,-1.611788034E0,9.611249924E0
6.749432700E-2,-1.155438781E0,-1.588064313E0,9.635170937E0
6.992031700E-2,-1.160170913E0,-1.592674732E0,9.611240387E0
7.234630600E-2,-1.174448133E0,-1.597434640E0,9.620887756E0
7.477229600E-2,-1.122138500E0,-1.569192171E0,9.649403572E0
7.719828600E-2,-1.150441885E0,-1.549623609E0,9.630518913E0
7.962427500E-2,-1.174431324E0,-1.597371101E0,9.611311913E0
8.205026500E-2,-1.217354894E0,-1.640135050E0,9.587461472E0
8.447625400E-2,-1.231598616E0,-1.644767880E0,9.577958107E0
8.690224400E-2,-1.221958756E0,-1.620812416E0,9.578000069E0
8.932823300E-2,-1.193401575E0,-1.601903796E0,9.592262268E0
9.175422300E-2,-1.160156965E0,-1.587932467E0,9.620837212E0
9.418021300E-2,-1.155419230E0,-1.592679381E0,9.606421471E0
9.660620200E-2,-1.174540162E0,-1.611851573E0,9.620824814E0
9.903219200E-2,-1.165048003E0,-1.621281624E0,9.582416534E0
1.014581810E-1,-1.174601316E0,-1.635530353E0,9.568052292E0
1.038841710E-1,-1.174629092E0,-1.645014524E0,9.548856735E0
1.063101610E-1,-1.184003949E0,-1.635139465E0,9.520232201E0
1.087361500E-1,-1.150728464E0,-1.630430222E0,9.496096611E0
1.111621400E-1,-1.126936913E0,-1.616258740E0,9.505580902E0
1.135881290E-1,-1.131674409E0,-1.625579596E0,9.467264175E0
1.160141190E-1,-1.126797199E0,-1.611039758E0,9.443355560E0
1.184401080E-1,-1.117293954E0,-1.611049175E0,9.433718681E0
1.208660980E-1,-1.136392474E0,-1.625447750E0,9.452930450E0
1.232920880E-1,-1.145932078E0,-1.634954214E0,9.448163033E0
1.257180770E-1,-1.150770187E0,-1.644656420E0,9.467304230E0
1.281440670E-1,-1.150800943E0,-1.649461985E0,9.467283249E0
1.305700560E-1,-1.150773168E0,-1.639977813E0,9.486478806E0
1.329960460E-1,-1.170036435E0,-1.673757792E0,9.529548645E0
1.354220360E-1,-1.165273786E0,-1.664341927E0,9.553500175E0
1.378480250E-1,-1.160524964E0,-1.659668088E0,9.567854881E0
1.402740150E-1,-1.155784369E0,-1.655026078E0,9.586997032E0
1.427000040E-1,-1.151130676E0,-1.660090685E0,9.620461464E0
1.451732330E-1,-1.165402532E0,-1.660140157E0,9.644495010E0
1.475951610E-1,-1.184478760E0,-1.669764638E0,9.668517113E0
1.500171400E-1,-1.179894567E0,-1.684472680E0,9.706728935E0
1.524391710E-1,-1.198823094E0,-1.674778819E0,9.716470718E0
1.548611500E-1,-1.175212979E0,-1.680052876E0,9.759387970E0
1.572831810E-1,-1.189364672E0,-1.656201482E0,9.802679062E0
1.597051610E-1,-1.175241351E0,-1.661402464E0,9.845658302E0
1.621272440E-1,-1.194373131E0,-1.689995408E0,9.831292152E0
1.645492230E-1,-1.189621449E0,-1.690000057E0,9.826473236E0
1.669712020E-1,-1.203907132E0,-1.694791675E0,9.840908051E0
1.693931810E-1,-1.194361925E0,-1.694642186E0,9.807330132E0
1.718151080E-1,-1.170690298E0,-1.704372048E0,9.797557831E0
1.742371920E-1,-1.118670344E0,-1.738190293E0,9.763554573E0
1.766591710E-1,-1.080729842E0,-1.743192196E0,9.748922348E0
1.790812020E-1,-1.057161331E0,-1.762692451E0,9.763048172E0
1.815032330E-1,-1.038216352E0,-1.758255005E0,9.796463013E0
1.839251610E-1,-1.005133867E0,-1.754276872E0,9.882452965E0
1.863470880E-1,-1.014595866E0,-1.725973845E0,9.973614693E0
1.887689110E-1,-1.014805317E0,-1.740835786E0,1.004058552E1
1.911907330E-1,-1.038560748E0,-1.731423736E0,1.009823895E1
1.936128170E-1,-1.085909843E0,-1.716673970E0,1.010339928E1
1.960349000E-1,-1.137859583E0,-1.687280297E0,1.007992363E1
1.984567230E-1,-1.142281651E0,-1.662579417E0,9.984296799E0
2.008784940E-1,-1.179900885E0,-1.646980762E0,9.850540161E0
2.033004730E-1,-1.184367418E0,-1.645895243E0,9.692562103E0
2.057224520E-1,-1.203010559E0,-1.635120869E0,9.539508820E0
2.081442230E-1,-1.188548684E0,-1.629661798E0,9.424521446E0
2.105662020E-1,-1.155261636E0,-1.643666267E0,9.323691368E0
2.129881290E-1,-1.150392652E0,-1.643225908E0,9.251839638E0
2.154099000E-1,-1.140707970E0,-1.623790026E0,9.208767891E0
2.178317230E-1,-1.107471704E0,-1.623917937E0,9.189399719E0
2.202537020E-1,-1.078944921E0,-1.623882413E0,9.150908470E0
2.226756290E-1,-1.050387621E0,-1.619040966E0,9.112438202E0
2.250977130E-1,-1.031431079E0,-1.633317590E0,9.069160461E0
2.275197440E-1,-1.050328612E0,-1.632885814E0,9.026190758E0
2.299417230E-1,-1.045459867E0,-1.618378162E0,9.007069588E0
2.323637020E-1,-1.074050307E0,-1.637413740E0,9.011959076E0
2.347857860E-1,-1.097752810E0,-1.632489562E0,9.021711349E0
2.372078170E-1,-1.154867172E0,-1.656239510E0,9.045918465E0
2.396297440E-1,-1.202325106E0,-1.655970335E0,9.060591698E0
2.420516710E-1,-1.230960488E0,-1.670486569E0,9.108595848E0
2.444734940E-1,-1.235815525E0,-1.680252433E0,9.137312889E0
2.468954210E-1,-1.259763360E0,-1.699705839E0,9.199629784E0
2.493173480E-1,-1.264752388E0,-1.724047780E0,9.252225876E0
2.517391710E-1,-1.245888352E0,-1.724606752E0,9.314347267E0
2.541610980E-1,-1.217749953E0,-1.763556838E0,9.357089043E0
2.565829210E-1,-1.203673720E0,-1.773627400E0,9.409623146E0
2.590047440E-1,-1.189647794E0,-1.783888459E0,9.490885735E0
2.614267230E-1,-1.166221857E0,-1.817996502E0,9.533679008E0
2.638487540E-1,-1.166397810E0,-1.832731605E0,9.581497192E0
2.662707330E-1,-1.152430534E0,-1.857282400E0,9.643545151E0
2.686928170E-1,-1.147760034E0,-1.848216176E0,9.720167160E0
2.711147960E-1,-1.133586287E0,-1.839159012E0,9.787148476E0
2.735368790E-1,-1.124250531E0,-1.853871584E0,9.820541382E0
2.759588580E-1,-1.095883369E0,-1.854439855E0,9.873025894E0
2.783807860E-1,-1.091249228E0,-1.854889631E0,9.935238838E0
2.808027130E-1,-1.058102131E0,-1.860045791E0,9.949366570E0
2.832244830E-1,-1.043939590E0,-1.860409498E0,9.987579346E0
2.856462540E-1,-1.020276308E0,-1.856103897E0,1.003532696E1
2.880681810E-1,-9.965183735E-1,-1.842059731E0,1.006396389E1
2.904900040E-1,-9.822691679E-1,-1.832716703E0,1.008785343E1
2.929118270E-1,-9.774729013E-1,-1.823173761E0,1.009265232E1
2.953337540E-1,-9.822022915E-1,-1.818395138E0,1.010227966E1
2.977555250E-1,-9.917026758E-1,-1.823064446E0,1.009274483E1
3.001773480E-1,-9.726151228E-1,-1.818086624E0,1.004476166E1
3.025991710E-1,-1.005826235E0,-1.817863345E0,1.004976463E1
3.050209420E-1,-1.010566711E0,-1.822505355E0,1.003062248E1
3.074428690E-1,-1.029458642E0,-1.817363143E0,1.000203800E1
3.098646920E-1,-1.043685675E0,-1.821932316E0,9.982957840E0
3.122866190E-1,-1.062692046E0,-1.835981250E0,9.949501991E0
3.147083380E-1,-1.081528187E0,-1.825937867E0,9.906575203E0
3.171303690E-1,-1.081581116E0,-1.835517526E0,9.901744843E0
3.195522960E-1,-1.095654607E0,-1.816058040E0,9.882768631E0
3.219741190E-1,-1.095587611E0,-1.815803766E0,9.844464302E0
3.243961500E-1,-1.086131334E0,-1.834749937E0,9.791647911E0
3.268181810E-1,-1.095576048E0,-1.834517956E0,9.767770767E0
3.292403170E-1,-1.086000085E0,-1.829562545E0,9.734211922E0
3.316624000E-1,-1.081111550E0,-1.819669843E0,9.686341286E0
3.340843790E-1,-1.095405459E0,-1.838560343E0,9.652833939E0
3.365063580E-1,-1.076482415E0,-1.852964401E0,9.628706932E0
3.389283380E-1,-1.071842194E0,-1.876838684E0,9.599843979E0
3.413503170E-1,-1.076596379E0,-1.886222720E0,9.571103096E0
3.437723480E-1,-1.067098618E0,-1.890942454E0,9.547079086E0
3.461942750E-1,-1.086049199E0,-1.900090218E0,9.499279976E0
3.486162540E-1,-1.081297517E0,-1.900094986E0,9.494462013E0
3.510382330E-1,-1.071936369E0,-1.928779125E0,9.460758209E0
3.534602650E-1,-1.081341982E0,-1.923710108E0,9.432111740E0
3.558822440E-1,-1.095546484E0,-1.923505306E0,9.417840004E0
3.583042230E-1,-1.085900903E0,-1.908906817E0,9.379536629E0
3.607262540E-1,-1.095348358E0,-1.903996468E0,9.374830246E0
3.631482330E-1,-1.104851604E0,-1.903987169E0,9.384469032E0
3.655702650E-1,-1.109513879E0,-1.898954272E0,9.355792046E0
3.679922960E-1,-1.104692459E0,-1.889315724E0,9.346225739E0
3.704142230E-1,-1.109396696E0,-1.884441733E0,9.341489792E0
3.728362540E-1,-1.109212637E0,-1.855607629E0,9.341615677E0
3.752581810E-1,-1.127984762E0,-1.826564193E0,9.332288742E0
3.776801610E-1,-1.113816381E0,-1.836284757E0,9.332154274E0
3.801021920E-1,-1.118414521E0,-1.812252045E0,9.337077141E0
3.825242230E-1,-1.108889103E0,-1.807487488E0,9.332248688E0
3.849462540E-1,-1.089871526E0,-1.798085213E0,9.341742516E0
3.873682330E-1,-1.075574756E0,-1.783872962E0,9.356078148E0
3.897901610E-1,-1.075577497E0,-1.779194593E0,9.375249863E0
3.922121400E-1,-1.070876241E0,-1.779389977E0,9.399160385E0
3.946341710E-1,-1.075809360E0,-1.798830390E0,9.437413216E0
3.970562020E-1,-1.089874864E0,-1.765272141E0,9.466380119E0
3.994782330E-1,-1.085159540E0,-1.760725379E0,9.499886513E0
4.019002650E-1,-1.075723290E0,-1.760988951E0,9.528553963E0
4.043223480E-1,-1.071016550E0,-1.756474137E0,9.566848755E0
4.067444310E-1,-1.080489159E0,-1.751659274E0,9.576508522E0
4.091664110E-1,-1.085299492E0,-1.751877069E0,9.614844322E0
4.115883900E-1,-1.094724774E0,-1.742192626E0,9.614947319E0
4.140103690E-1,-1.094755411E0,-1.746998429E0,9.614926338E0
4.164324000E-1,-1.085313439E0,-1.756619096E0,9.605246544E0
4.188544310E-1,-1.094685435E0,-1.751422644E0,9.557448387E0
4.212765670E-1,-1.094763517E0,-1.761097550E0,9.566982269E0
4.236987020E-1,-1.080508590E0,-1.761111617E0,9.552525520E0
4.261207860E-1,-1.085307598E0,-1.765976191E0,9.566900253E0
4.285428170E-1,-1.066401720E0,-1.766376257E0,9.605080605E0
4.309647960E-1,-1.061686635E0,-1.761829615E0,9.638587952E0
4.333868270E-1,-1.052289367E0,-1.766930580E0,9.672022820E0
4.358088580E-1,-1.038087726E0,-1.762456775E0,9.705467224E0
4.382308380E-1,-1.057289600E0,-1.786625504E0,9.748579979E0
4.406527650E-1,-1.057484865E0,-1.810812950E0,9.772415161E0
4.430745880E-1,-1.071633697E0,-1.805706978E0,9.743801117E0
4.454967230E-1,-1.076279163E0,-1.800610542E0,9.705547333E0
4.479187540E-1,-1.090592623E0,-1.814886570E0,9.700789452E0
4.503407330E-1,-1.100140214E0,-1.838492274E0,9.648077965E0
4.527627650E-1,-1.109537482E0,-1.833391428E0,9.614643097E0
4.551847960E-1,-1.109601378E0,-1.852391481E0,9.581042290E0
4.576068270E-1,-1.109498024E0,-1.842621207E0,9.557143211E0
4.600288060E-1,-1.100056052E0,-1.852241874E0,9.547463417E0
4.624508380E-1,-1.095466256E0,-1.876306772E0,9.547327995E0
4.648729730E-1,-1.090656161E0,-1.862021446E0,9.561724663E0
4.672950040E-1,-1.081373334E0,-1.886313558E0,9.590287209E0
4.697170880E-1,-1.095592141E0,-1.876783609E0,9.619149208E0
4.721390150E-1,-1.086284041E0,-1.900980353E0,9.633348465E0
4.745609420E-1,-1.081337333E0,-1.862730145E0,9.657424927E0
4.769829730E-1,-1.076683521E0,-1.867794871E0,9.690889359E0
4.794050560E-1,-1.081482649E0,-1.872659564E0,9.705265045E0
4.818270880E-1,-1.095631719E0,-1.853486180E0,9.729381561E0
4.842489110E-1,-1.086111546E0,-1.853431940E0,9.710166931E0
4.866708900E-1,-1.109811068E0,-1.853186131E0,9.700745583E0
4.890926080E-1,-1.119177461E0,-1.843279481E0,9.667331696E0
4.915144310E-1,-1.114300251E0,-1.828739762E0,9.643423080E0
4.939363580E-1,-1.100056410E0,-1.838174343E0,9.600196838E0
4.963582860E-1,-1.109442472E0,-1.823652744E0,9.595531464E0
4.987801080E-1,-1.118778229E0,-1.808940530E0,9.562139511E0
5.012020360E-1,-1.113956809E0,-1.799301744E0,9.552575111E0
5.036240150E-1,-1.123440385E0,-1.803907394E0,9.533463478E0
5.060458380E-1,-1.118487835E0,-1.775014639E0,9.519193649E0
5.084677650E-1,-1.113758683E0,-1.779793143E0,9.509565353E0
5.108898480E-1,-1.132678628E0,-1.770067573E0,9.514518738E0
5.133118790E-1,-1.127910256E0,-1.770008564E0,9.500123024E0
5.157339630E-1,-1.123161435E0,-1.765334845E0,9.514477730E0
5.181559940E-1,-1.142028689E0,-1.746030092E0,9.524260521E0
5.205780250E-1,-1.132502913E0,-1.741265416E0,9.519432068E0
5.230001080E-1,-1.132528067E0,-1.741360784E0,9.533797264E0
5.254221400E-1,-1.146705031E0,-1.731671810E0,9.538719177E0
5.278441190E-1,-1.156196952E0,-1.736309290E0,9.524394989E0
5.302661500E-1,-1.179935575E0,-1.740900874E0,9.519741058E0
5.326882330E-1,-1.175231457E0,-1.745774984E0,9.524477005E0
5.351101610E-1,-1.175170064E0,-1.736163497E0,9.524518967E0
5.375321920E-1,-1.170418382E0,-1.736168146E0,9.519701004E0
5.399541190E-1,-1.165697455E0,-1.740978360E0,9.514860153E0
5.423761500E-1,-1.151593208E0,-1.755632043E0,9.533858299E0
5.447981810E-1,-1.156280518E0,-1.750694633E0,9.519545555E0
5.472200040E-1,-1.137268543E0,-1.746002913E0,9.514654160E0
5.496419310E-1,-1.142140031E0,-1.769899249E0,9.500215530E0
5.520637020E-1,-1.118518591E0,-1.779820323E0,9.519172668E0
5.544856810E-1,-1.113811493E0,-1.789372563E0,9.504735947E0
5.569075040E-1,-1.099450707E0,-1.770227313E0,9.499937057E0
5.593294310E-1,-1.094860911E0,-1.794292212E0,9.499801636E0
5.617514110E-1,-1.095017076E0,-1.813642144E0,9.518871307E0
5.641733900E-1,-1.094986439E0,-1.808836579E0,9.518892288E0
5.665953690E-1,-1.095148206E0,-1.832896829E0,9.523574829E0
5.690172960E-1,-1.090575099E0,-1.857025027E0,9.533017159E0
5.714392750E-1,-1.095382571E0,-1.861921430E0,9.552179337E0
5.738610980E-1,-1.086018801E0,-1.881217122E0,9.552034378E0
5.762830770E-1,-1.100279212E0,-1.885913491E0,9.552105904E0
5.787049000E-1,-1.081306219E0,-1.886059284E0,9.551981926E0
5.811269830E-1,-1.090988159E0,-1.910173655E0,9.575880051E0
5.835489630E-1,-1.105139613E0,-1.900389552E0,9.566437721E0
5.859707860E-1,-1.086214185E0,-1.905404568E0,9.575870514E0
5.883927650E-1,-1.095767617E0,-1.919653058E0,9.561504364E0
5.908145880E-1,-1.091163754E0,-1.938975930E0,9.570965767E0
5.932364110E-1,-1.095814943E0,-1.924522519E0,9.571059227E0
5.956582330E-1,-1.095784307E0,-1.919716597E0,9.571080208E0
5.980801610E-1,-1.081615806E0,-1.929437399E0,9.570945740E0
6.005021920E-1,-1.081546187E0,-1.919794321E0,9.566200256E0
6.029241190E-1,-1.086266994E0,-1.914983988E0,9.571039200E0
6.053461500E-1,-1.091133118E0,-1.934170246E0,9.570986748E0
6.077681810E-1,-1.081624269E0,-1.929469228E0,9.575735092E0
6.101901080E-1,-1.095823407E0,-1.924554348E0,9.575848579E0
6.126120360E-1,-1.095778704E0,-1.915006399E0,9.585466385E0
6.150338580E-1,-1.081535101E0,-1.910373688E0,9.594969749E0
6.174558900E-1,-1.086269975E0,-1.910305500E0,9.590213776E0
6.198779210E-1,-1.105273604E0,-1.914965391E0,9.590315819E0
6.222999000E-1,-1.109989166E0,-1.905444860E0,9.609540939E0
6.247218790E-1,-1.119461656E0,-1.900629878E0,9.619199753E0
