"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.129791672E-3,3.855981445E-1,-2.567161560E-1,9.218879242E0,9.230510473E0
1.315379167E-2,5.815406799E-1,-2.983296204E-1,9.593999176E0,9.616236806E0
2.317879167E-2,2.959346008E-1,-2.335144043E-1,9.940528564E0,9.947673819E0
3.320379167E-2,-1.389111328E-1,-3.704795837E-1,1.011147308E1,1.011921140E1
4.322879167E-2,-3.451821899E-1,-5.827381897E-1,1.010593460E1,1.012860547E1
5.325379167E-2,-3.314108276E-1,-6.730004883E-1,1.010892838E1,1.013672510E1
6.327879167E-2,-2.528242493E-1,-5.845344543E-1,1.016027161E1,1.018021217E1
7.330379167E-2,-1.306782532E-1,-3.388952637E-1,1.019155655E1,1.019802685E1
8.332879167E-2,-1.197509766E-3,-3.547622681E-2,1.000489471E1,1.000495768E1
9.335279167E-2,5.613327026E-2,7.634124756E-2,9.617500305E0,9.617967096E0
1.033777917E-1,3.427871704E-2,1.077758789E-1,9.677525482E0,9.678186304E0
1.134027917E-1,2.110610962E-2,1.013392639E-1,9.944121094E0,9.944659845E0
1.234277917E-1,-2.874023438E-2,2.604583740E-2,1.004590942E1,1.004598430E1
1.334527917E-1,-1.315763855E-1,-6.376739502E-2,1.004052063E1,1.004158519E1
1.434777917E-1,-1.541793823E-1,-9.101074219E-2,9.942773895E0,9.944385701E0
1.535027917E-1,-1.067280579E-1,-8.966354370E-2,9.964927826E0,9.965902719E0
1.635267917E-1,-4.849914551E-2,-1.275347900E-1,1.009380981E1,1.009473199E1
1.735517917E-1,-1.317260742E-2,-1.493893433E-1,1.008722351E1,1.008833826E1
1.835767917E-1,-5.837860107E-3,-1.463955688E-1,9.954299927E0,9.955378083E0
1.936017917E-1,3.951782227E-2,-9.894424438E-2,9.831854553E0,9.832431824E0
2.036267917E-1,1.164578247E-1,-2.619552612E-2,9.842332764E0,9.843056581E0
2.136517917E-1,1.487905884E-1,2.963836670E-2,9.964628448E0,9.965783320E0
2.236767917E-1,1.523831177E-1,5.628295898E-2,1.001118164E1,1.001249950E1
2.337007917E-1,8.038284302E-2,1.706451416E-2,1.001746857E1,1.001780560E1
2.437257917E-1,5.673202515E-2,-4.056564331E-2,1.000983444E1,1.001007740E1
2.537507917E-1,2.933898926E-2,-1.043330383E-1,1.002510269E1,1.002568851E1
2.637757917E-1,-1.886077881E-2,-1.853146362E-1,1.004755600E1,1.004928250E1
2.738007917E-1,-3.427871704E-2,-2.667453003E-1,1.002809647E1,1.003170209E1
2.838257917E-1,-2.499801636E-2,-3.077600098E-1,9.992919617E0,9.997688912E0
2.938507917E-1,3.442840576E-3,-2.784210205E-1,9.880503387E0,9.884425998E0
3.038757917E-1,1.347198486E-2,-1.758842468E-1,9.792037354E0,9.793626106E0
3.138997917E-1,-2.993774414E-4,-8.652008057E-2,9.821675720E0,9.822056799E0
3.239247917E-1,-2.799179077E-2,-4.655319214E-2,9.962832184E0,9.962980270E0
3.339497917E-1,-6.062393188E-2,-4.385879517E-2,1.008168503E1,1.008196270E1
3.439747917E-1,-7.229965210E-2,-1.251397705E-1,1.010189301E1,1.010292678E1
3.539997917E-1,-4.056564331E-2,-2.025288391E-1,1.006626709E1,1.006838600E1
3.640247917E-1,-3.293151855E-2,-2.450404358E-1,1.005054977E1,1.005359041E1
3.740504167E-1,-8.981323242E-2,-1.981878662E-1,9.950108643E0,9.952487470E0
3.840744167E-1,-1.655557251E-1,-8.891510010E-2,9.757908325E0,9.759717694E0
3.940994167E-1,-3.577560425E-1,2.155517578E-2,9.745035095E0,9.751623609E0
4.041244167E-1,-2.751278687E-1,2.664459229E-2,9.857151947E0,9.861026812E0
4.141494167E-1,2.065704346E-2,1.347198486E-3,1.007674530E1,1.007676656E1
4.241744167E-1,2.927911377E-1,-5.568420410E-2,1.020457947E1,1.020893087E1
4.341994167E-1,4.067042542E-1,-1.558259583E-1,1.017868332E1,1.018799706E1
4.442244167E-1,4.032614136E-1,-2.556683350E-1,1.014185989E1,1.015309353E1
4.542484167E-1,3.019221497E-1,-2.884501648E-1,1.000684067E1,1.001554894E1
4.642734167E-1,9.954299927E-2,-2.942880249E-1,9.858050079E0,9.862944064E0
4.742984167E-1,-1.103205872E-1,-3.014730835E-1,9.767638092E0,9.772912081E0
4.843234167E-1,-2.412982178E-1,-2.950364685E-1,9.777068481E0,9.784494848E0
4.943484167E-1,-2.462379456E-1,-2.607577515E-1,9.863438873E0,9.869957150E0
5.043734167E-1,-1.197509766E-1,-1.872605896E-1,1.001103195E1,1.001349927E1
5.143984167E-1,3.981719971E-2,-1.062789917E-1,1.017568954E1,1.017632244E1
5.244234167E-1,1.767823792E-1,-5.478607178E-2,1.021296204E1,1.021463886E1
5.344474167E-1,2.191442871E-1,-3.936813354E-2,1.015428406E1,1.015672481E1
5.444724167E-1,1.914518738E-1,-8.696914673E-2,1.010578491E1,1.010797241E1
5.544974167E-1,1.315763855E-1,-1.707948303E-1,1.004905289E1,1.005136544E1
5.645224167E-1,1.466949463E-2,-2.270777893E-1,9.926158447E0,9.928766340E0
