"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.441083332E-3,-5.936654663E-1,-1.092727661E0,9.265731812E0,9.348811605E0
8.584916664E-3,-6.024971008E-1,-1.171314240E0,9.182355194E0,9.276347703E0
1.860991667E-2,-5.842350769E-1,-1.131197662E0,9.569749603E0,9.654068896E0
2.863491666E-2,-5.905220032E-1,-1.093176727E0,1.003797592E1,1.011457919E1
3.865991667E-2,-6.134243774E-1,-1.165775757E0,1.021954834E1,1.030410068E1
4.868591666E-2,-5.912704468E-1,-1.324745178E0,1.016700760E1,1.026998510E1
5.871091667E-2,-5.424719238E-1,-1.460961914E0,1.003558090E1,1.015586380E1
6.873591667E-2,-5.056484985E-1,-1.496138763E0,9.823322296E0,9.949460917E0
7.876091667E-2,-5.471122742E-1,-1.383722534E0,9.724228363E0,9.837410083E0
8.878691667E-2,-5.984555054E-1,-1.184037781E0,9.733658752E0,9.823655489E0
9.881191666E-2,-6.297404480E-1,-1.012644196E0,9.783355408E0,9.855763001E0
1.088369167E-1,-6.608757019E-1,-9.279203796E-1,9.824669495E0,9.890496631E0
1.188629167E-1,-6.938072205E-1,-9.865983582E-1,9.886940002E0,9.960237316E0
1.288879167E-1,-7.303312683E-1,-1.132993927E0,9.923464050E0,1.001459923E1
1.389129167E-1,-8.057743835E-1,-1.256786499E0,9.899064789E0,1.001100736E1
1.489379167E-1,-7.984396362E-1,-1.317709808E0,9.895621948E0,1.001484891E1
1.589639167E-1,-7.098239136E-1,-1.316961365E0,9.824070740E0,9.937333804E0
1.689889167E-1,-5.746549988E-1,-1.250499573E0,9.823172607E0,9.919107703E0
1.790139167E-1,-4.155358887E-1,-1.143771515E0,9.801767120E0,9.877019896E0
1.890389167E-1,-2.984793091E-1,-1.035546570E0,9.765093384E0,9.824382698E0
1.990649167E-1,-4.858895874E-1,-1.093476105E0,9.783355408E0,9.856257998E0
2.090899167E-1,-6.090834045E-1,-1.195713501E0,9.880653076E0,9.971359916E0
2.191149167E-1,-5.945635986E-1,-1.283281403E0,9.944420471E0,1.004449180E1
2.291399167E-1,-6.054908752E-1,-1.283281403E0,9.964478760E0,1.006500210E1
2.391659167E-1,-6.712042236E-1,-1.199455719E0,9.996512146E0,1.009056313E1
2.491909167E-1,-7.631130981E-1,-1.089434509E0,1.003019211E1,1.011800192E1
2.592159167E-1,-8.541238403E-1,-9.907896423E-1,9.915979614E0,1.000189199E1
2.692409167E-1,-9.611512756E-1,-9.497749329E-1,9.857601013E0,9.949783009E0
2.792669167E-1,-9.578581238E-1,-1.003962250E0,9.853709106E0,9.950930386E0
2.892919167E-1,-8.286767578E-1,-1.159937897E0,9.762848053E0,9.866375383E0
2.993169167E-1,-6.854246521E-1,-1.408870239E0,9.834099884E0,9.958124464E0
3.093429167E-1,-4.743635559E-1,-1.601669312E0,9.911039886E0,1.005082469E1
