"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.771250099E-4,-4.420307922E-1,-3.742218018E0,9.263785858E0,1.000086573E1
9.847875015E-3,-2.339634705E-1,-3.743714905E0,9.123976593E0,9.864942426E0
1.987287501E-2,-1.972897339E-1,-3.719315643E0,8.939560089E0,9.684418758E0
2.989787501E-2,-3.091072083E-1,-3.683989105E0,8.698112183E0,9.451162814E0
3.992187500E-2,-3.808081055E-1,-3.550466766E0,8.573421478E0,9.287323883E0
4.994687499E-2,-4.038601685E-1,-3.420836334E0,8.826245728E0,9.474589063E0
5.997187502E-2,-4.565505981E-1,-3.356170807E0,9.339378662E0,9.934601891E0
6.999687501E-2,-3.751199341E-1,-3.390150146E0,9.705517273E0,1.028741457E1
8.002187501E-2,-2.136058044E-1,-3.503015442E0,9.760003967E0,1.037180901E1
9.004687500E-2,-1.580712891E-1,-3.643573151E0,9.572144623E0,1.024336685E1
1.000718750E-1,-2.742297363E-1,-3.716770935E0,9.281598816E0,1.000188306E1
1.100968750E-1,-3.918850708E-1,-3.748654633E0,9.253008270E0,9.991203507E0
1.201218750E-1,-5.060975647E-1,-3.777694244E0,9.334139557E0,1.008232462E1
1.301468750E-1,-5.442681885E-1,-3.769161987E0,9.264683990E0,1.001684478E1
1.401718750E-1,-4.183799744E-1,-3.776047668E0,9.157057800E0,9.913893552E0
1.501968750E-1,-2.501298523E-1,-3.829785919E0,8.971892853E0,9.758313711E0
1.602218750E-1,-2.067201233E-1,-3.854185181E0,8.679700470E0,9.499193485E0
1.702458750E-1,-2.634521484E-1,-3.830384674E0,8.620124359E0,9.436514068E0
1.802708750E-1,-3.712280273E-1,-3.806584167E0,8.925189972E0,9.710144659E0
1.902958750E-1,-4.589456177E-1,-3.857478333E0,9.136849823E0,9.928383295E0
2.003208750E-1,-5.858816528E-1,-3.915557556E0,9.361981659E0,1.016472080E1
2.103458750E-1,-6.423143005E-1,-3.958817596E0,9.791887665E0,1.058139256E1
2.203708750E-1,-5.366340637E-1,-4.045786743E0,1.025592270E1,1.103813014E1
2.303958750E-1,-4.477189636E-1,-4.046385498E0,1.023511597E1,1.101504819E1
2.404208750E-1,-5.384303284E-1,-3.904779968E0,9.820029144E0,1.058159658E1
2.504458750E-1,-7.123686218E-1,-3.664679260E0,9.161997528E0,9.893409010E0
2.604708750E-1,-7.702981567E-1,-3.404819641E0,8.558153229E0,9.242734591E0
2.704958750E-1,-7.417076111E-1,-3.226690063E0,8.293204193E0,8.929663753E0
2.805208750E-1,-6.084846497E-1,-3.158432007E0,8.397387543E0,8.992333616E0
2.905458750E-1,-4.278103638E-1,-3.199746094E0,8.866062927E0,9.435489844E0
3.005698750E-1,-2.799179077E-1,-3.258424072E0,9.410780182E0,9.962854265E0
3.105948750E-1,-1.818717957E-1,-3.260819092E0,9.691446533E0,1.022693280E1
3.206198750E-1,-2.366578674E-1,-3.221450958E0,9.679920502E0,1.020463689E1
