"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.182631250E-1,1.850152588E-1,7.584727478E-1,1.011506561E1
9.282351250E-1,2.073188782E-1,6.954537964E-1,9.968370667E0
9.382061251E-1,1.896556091E-1,6.842271423E-1,9.710606689E0
9.481781251E-1,2.067201233E-1,7.126679993E-1,9.624236298E0
9.581501251E-1,3.954776001E-1,8.186476135E-1,9.807754669E0
9.681211251E-1,6.149212646E-1,9.488768005E-1,9.907147980E0
9.780931252E-1,7.325765991E-1,1.040635986E0,9.821376343E0
9.880651252E-1,7.714956665E-1,1.093775482E0,9.771829376E0
9.980371250E-1,7.032376099E-1,1.133742371E0,9.784253540E0
1.008008125E0,5.667214966E-1,1.141975250E0,9.779463501E0
1.017980125E0,4.833448792E-1,1.153052216E0,9.732461243E0
1.027952125E0,4.793032837E-1,1.148112488E0,9.702074432E0
1.037923125E0,4.879852295E-1,1.129102020E0,9.737251282E0
1.047895125E0,4.704716492E-1,1.109043732E0,9.841883698E0
1.057867125E0,4.354444885E-1,1.040635986E0,9.921218719E0
1.067838125E0,3.890409851E-1,9.550140381E-1,9.911488953E0
1.077810125E0,3.379971313E-1,8.854087830E-1,9.861043854E0
1.087782125E0,3.074606323E-1,8.084687805E-1,9.826765137E0
1.097753125E0,3.314108276E-1,7.113208008E-1,9.827962646E0
1.107725125E0,3.686833191E-1,6.366261292E-1,9.863289185E0
1.117697125E0,3.591032410E-1,5.671705627E-1,9.895921326E0
1.127669125E0,3.185375977E-1,5.221142578E-1,9.912237396E0
1.137640125E0,2.591111755E-1,5.005590820E-1,9.859247589E0
1.147612125E0,1.969903564E-1,4.980143738E-1,9.799521790E0
1.157584125E0,1.115180969E-1,4.977149963E-1,9.809700623E0
1.167555125E0,9.430389404E-3,4.924758911E-1,9.869276733E0
1.177527125E0,-9.505233765E-2,4.930746460E-1,9.889933777E0
1.187499125E0,-1.646575928E-1,4.950205994E-1,9.897717590E0
1.197470125E0,-1.392105103E-1,4.951702881E-1,9.919572144E0
1.207442125E0,-6.271957397E-2,5.016069031E-1,9.988578644E0
1.217414125E0,7.259902954E-2,5.366340637E-1,1.003438339E1
1.227386125E0,2.270777893E-1,5.769003296E-1,9.910141754E0
1.237357125E0,3.972738647E-1,6.197113037E-1,9.616901550E0
1.247329750E0,4.836442566E-1,6.676116943E-1,9.627080383E0
1.257301750E0,4.857398987E-1,7.436535645E-1,9.890233154E0
1.267272750E0,5.532495117E-1,7.978408813E-1,9.962981873E0
1.277244750E0,5.659730530E-1,8.111631775E-1,9.808802490E0
1.287216750E0,6.036946106E-1,8.261320496E-1,9.717791748E0
1.297187750E0,5.385800171E-1,8.313711548E-1,9.833201752E0
1.307159750E0,3.619473267E-1,8.800199890E-1,9.892777863E0
1.317131750E0,2.885998535E-1,1.027613068E0,9.847721558E0
1.327102750E0,4.044589233E-1,1.178648987E0,9.802365875E0
1.337074750E0,5.788462830E-1,1.194515991E0,9.845176849E0
1.347046750E0,5.968089294E-1,1.181493073E0,9.898615723E0
1.357018750E0,4.987628174E-1,1.141376495E0,9.849667511E0
1.366989750E0,4.800517273E-1,9.961784363E-1,9.769733734E0
1.376961750E0,5.230123901E-1,7.821235657E-1,9.714498596E0
1.386933750E0,4.968168640E-1,6.381230164E-1,9.748178558E0
1.396904750E0,4.194277954E-1,6.307882690E-1,9.863738251E0
1.406876750E0,4.308041382E-1,6.620732117E-1,9.944121094E0
1.416848750E0,4.849914551E-1,6.668632507E-1,9.968220978E0
1.426819750E0,4.794529724E-1,5.972579956E-1,9.952353973E0
1.436791750E0,4.002676392E-1,4.948709106E-1,9.929451599E0
1.446763750E0,2.832110596E-1,4.502636719E-1,9.912237396E0
1.456734750E0,2.143542480E-1,4.544549561E-1,9.873168640E0
1.466706750E0,2.104623413E-1,4.882846069E-1,9.834698639E0
1.476678750E0,2.393522644E-1,5.319937134E-1,9.821675720E0
1.486650750E0,2.787203979E-1,5.526507568E-1,9.820178833E0
1.496621750E0,3.162922668E-1,5.667214966E-1,9.820029144E0
1.506593750E0,3.480262756E-1,5.846841431E-1,9.847272491E0
1.516565750E0,3.710783386E-1,6.194119263E-1,9.857451324E0
1.526536750E0,3.778143311E-1,6.682104492E-1,9.861792297E0
1.536508750E0,4.575984192E-1,7.014413452E-1,1.007315277E1
1.546480750E0,5.272036743E-1,6.759942627E-1,9.960736542E0
1.556451750E0,5.566923523E-1,6.170169067E-1,9.644593964E0
1.566423750E0,5.807922363E-1,5.806425476E-1,9.748477936E0
1.576395750E0,5.493576050E-1,5.364843750E-1,9.948911133E0
1.586367750E0,5.298980713E-1,5.510041809E-1,9.869875488E0
1.596338750E0,5.584886169E-1,5.983058167E-1,9.791438599E0
1.606310750E0,5.769003296E-1,6.304888916E-1,9.828411713E0
1.616282750E0,5.575904846E-1,6.598278809E-1,9.881102142E0
1.626253750E0,5.322930908E-1,6.981481934E-1,9.892328796E0
1.636225750E0,4.977149963E-1,7.328759766E-1,9.893675995E0
1.646197750E0,4.809498596E-1,7.376660156E-1,9.879904633E0
1.656168750E0,4.837939453E-1,7.179071045E-1,9.849368134E0
1.666140750E0,4.981640625E-1,6.631210327E-1,9.805509338E0
1.676112750E0,4.836442566E-1,6.179150391E-1,9.802365875E0
1.686083750E0,4.921765137E-1,5.972579956E-1,9.849517822E0
1.696055750E0,4.770579529E-1,5.984555054E-1,9.887538757E0
1.706027750E0,4.700225830E-1,6.123765564E-1,9.895921326E0
1.715999750E0,4.689747620E-1,6.415658569E-1,9.863887939E0
1.725970750E0,4.472698975E-1,6.536906433E-1,9.848919067E0
1.735942750E0,4.525090027E-1,6.743476868E-1,9.839488678E0
1.745914750E0,4.441264343E-1,6.803352356E-1,9.824070740E0
1.755885750E0,4.342469788E-1,6.744973755E-1,9.845775604E0
1.765857750E0,4.343966675E-1,6.801855469E-1,9.860594788E0
1.775829750E0,4.370910645E-1,6.735992432E-1,9.867929535E0
1.785800750E0,4.593946838E-1,6.750961304E-1,9.857601013E0
1.795772750E0,4.638853455E-1,6.640191650E-1,9.837542725E0
1.805744750E0,4.722679138E-1,6.635700989E-1,9.811197510E0
1.815716750E0,4.773573303E-1,6.500981140E-1,9.805808716E0
1.825687750E0,4.803511047E-1,6.500981140E-1,9.834548950E0
1.835659750E0,4.906796265E-1,6.331832886E-1,9.827812958E0
1.845631750E0,5.060975647E-1,6.017486572E-1,9.800868988E0
1.855602750E0,5.373825073E-1,6.048921204E-1,9.806856537E0
1.865574750E0,5.403762817E-1,6.559359741E-1,9.892777863E0
1.875546750E0,5.288502502E-1,7.337741089E-1,9.956545258E0
1.885517750E0,5.200186157E-1,7.785310364E-1,9.959389343E0
1.895489750E0,5.040019226E-1,8.132588196E-1,9.898016968E0
1.905461750E0,4.929249573E-1,7.991880798E-1,9.881700897E0
1.915432750E0,4.876858521E-1,7.394622803E-1,9.815388794E0
1.925404750E0,4.939727783E-1,6.506968689E-1,9.557624817E0
1.935376750E0,5.023553467E-1,5.968089294E-1,9.717192993E0
1.945348750E0,4.273612976E-1,5.827381897E-1,1.007988876E1
1.955319750E0,4.728666687E-1,5.670208740E-1,9.976004791E0
1.965291750E0,5.204676819E-1,5.282514954E-1,9.677226105E0
1.975263750E0,4.845423889E-1,5.105882263E-1,9.631571045E0
1.985234750E0,3.869453430E-1,5.236111450E-1,9.851763153E0
1.995206750E0,3.104544067E-1,5.930667114E-1,9.905052338E0
2.005178750E0,3.540138245E-1,7.241940308E-1,9.794881439E0
2.015149750E0,4.312532043E-1,8.146060181E-1,9.775571594E0
2.025121750E0,4.691244507E-1,8.256829834E-1,9.823921051E0
2.035093750E0,4.433779907E-1,7.782316589E-1,9.869725800E0
2.045065750E0,4.035607910E-1,7.209008789E-1,9.884994049E0
2.055036750E0,4.269122314E-1,6.682104492E-1,9.886341248E0
2.065008750E0,4.935237122E-1,5.927673340E-1,9.885892181E0
2.074980750E0,5.367837524E-1,5.451663208E-1,9.898615723E0
2.084951750E0,5.653742981E-1,5.011578369E-1,9.905501404E0
2.094923750E0,5.812413025E-1,4.929249573E-1,9.865384827E0
2.104895750E0,5.854325867E-1,5.004093933E-1,9.822573853E0
2.114866750E0,5.758525085E-1,5.164260864E-1,9.821526031E0
2.124838750E0,5.421725464E-1,5.487588501E-1,9.859546967E0
2.134810750E0,5.291496277E-1,5.900729370E-1,9.882599030E0
2.144782750E0,5.270539856E-1,6.171665955E-1,9.881700897E0
2.154753750E0,5.200186157E-1,6.273454285E-1,9.874366150E0
2.164725750E0,5.069956970E-1,6.218069458E-1,9.871222687E0
2.174697750E0,5.019062805E-1,6.086343384E-1,9.864187317E0
2.184668750E0,4.881349182E-1,6.086343384E-1,9.862091675E0
2.194640750E0,4.791535950E-1,6.111790466E-1,9.807904358E0
2.204612750E0,4.417314148E-1,6.219566345E-1,9.691147156E0
2.214583750E0,4.315525818E-1,6.701564026E-1,9.815538483E0
2.224555750E0,4.891827393E-1,6.619235229E-1,1.009051666E1
2.234527750E0,4.800517273E-1,6.288423157E-1,9.898166656E0
2.244498083E0,4.617897034E-1,5.842350769E-1,9.674082642E0
2.254470083E0,4.379891968E-1,5.303471375E-1,9.688452759E0
