"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.781041647E-3,-2.471360779E-1,-2.100731506E0,7.680528259E0,7.966471204E0
1.180504166E-2,-1.836680603E-1,-2.083217926E0,7.695796509E0,7.974886506E0
2.183004166E-2,-2.309696960E-1,-2.149829407E0,8.529862061E0,8.799639780E0
3.185404165E-2,-2.179467773E-1,-2.242636414E0,9.622140656E0,9.882434400E0
4.187904164E-2,-1.707948303E-1,-2.355052643E0,1.042102936E1,1.068519053E1
5.190404167E-2,-1.676513672E-1,-2.428699493E0,1.072549622E1,1.099831611E1
6.192804166E-2,-1.908531189E-1,-2.454146576E0,1.058718384E1,1.086957782E1
7.195304165E-2,-2.086660767E-1,-2.441872101E0,1.019275406E1,1.048324931E1
8.197704164E-2,-2.076182556E-1,-2.420466614E0,9.829908600E0,1.012565391E1
9.200204167E-2,-2.094145203E-1,-2.369422760E0,9.495503998E0,9.788902637E0
1.020270417E-1,-2.312690735E-1,-2.325563965E0,9.150471497E0,9.444197253E0
1.120510417E-1,-2.552192688E-1,-2.314636688E0,9.001980286E0,9.298297099E0
1.220760416E-1,-2.371069336E-1,-2.338886261E0,9.242230682E0,9.536531687E0
1.321000417E-1,-1.941462708E-1,-2.362387390E0,9.647288361E0,9.934220637E0
1.421250417E-1,-1.440005493E-1,-2.389331360E0,9.879455566E0,1.016529797E1
1.521500417E-1,-1.423539734E-1,-2.395019531E0,9.920619965E0,1.020661960E1
1.621740416E-1,-1.757345581E-1,-2.395169220E0,9.884245605E0,1.017182527E1
1.721990417E-1,-2.073188782E-1,-2.414179688E0,9.771829376E0,1.006776510E1
1.822230417E-1,-2.281256104E-1,-2.418670349E0,9.609716492E0,9.912046136E0
1.922480417E-1,-2.357597351E-1,-2.410886536E0,9.477990417E0,9.782650913E0
2.022720416E-1,-2.351609802E-1,-2.410886536E0,9.441316681E0,9.747109071E0
2.122970417E-1,-2.082170105E-1,-2.422711945E0,9.492809601E0,9.799302098E0
2.223220417E-1,-1.896556091E-1,-2.423909454E0,9.596543884E0,9.899745492E0
2.323460417E-1,-1.862127686E-1,-2.403701477E0,9.685009918E0,9.980574788E0
2.423710416E-1,-1.962419128E-1,-2.377805328E0,9.735604706E0,1.002369533E1
2.523950417E-1,-2.013313293E-1,-2.359094238E0,9.734107819E0,1.001791969E1
2.624200417E-1,-2.191442871E-1,-2.345921631E0,9.670939178E0,9.953815204E0
2.724450417E-1,-2.359094238E-1,-2.341880035E0,9.623487854E0,9.907147613E0
2.824690416E-1,-2.351609802E-1,-2.359992371E0,9.615404663E0,9.903578722E0
2.924940417E-1,-2.125579834E-1,-2.401755524E0,9.617949371E0,9.915571623E0
3.025180417E-1,-2.002835083E-1,-2.450703735E0,9.645342407E0,9.953828029E0
3.125430417E-1,-1.945953369E-1,-2.465522919E0,9.658365326E0,9.969989537E0
3.225680417E-1,-1.812730408E-1,-2.456391907E0,9.678273926E0,9.986776622E0
3.325920417E-1,-1.842668152E-1,-2.455194397E0,9.684860229E0,9.992920066E0
3.426170417E-1,-1.995350647E-1,-2.437980194E0,9.658814392E0,9.963747143E0
3.526410417E-1,-2.029779053E-1,-2.403851166E0,9.614955597E0,9.912974911E0
3.626660416E-1,-1.856140137E-1,-2.364632721E0,9.629475403E0,9.917294843E0
3.726910416E-1,-1.781295776E-1,-2.334395599E0,9.672885132E0,9.952177638E0
3.827150417E-1,-1.682501221E-1,-2.322121124E0,9.707912292E0,9.983191659E0
3.927400417E-1,-1.752854919E-1,-2.327210541E0,9.703571320E0,9.980277063E0
4.027640416E-1,-1.835183716E-1,-2.326761475E0,9.690548401E0,9.967659016E0
4.127890416E-1,-1.880090332E-1,-2.327659607E0,9.662107544E0,9.940305269E0
4.228140417E-1,-1.932481384E-1,-2.334694977E0,9.617949371E0,9.899146205E0
4.328380417E-1,-2.085163879E-1,-2.331701202E0,9.583820343E0,9.865592833E0
4.428630417E-1,-2.059716797E-1,-2.335593109E0,9.576036530E0,9.858899285E0
4.528870417E-1,-1.983375549E-1,-2.356399841E0,9.618697815E0,9.905115126E0
4.629120417E-1,-1.936972046E-1,-2.382894745E0,9.649384003E0,9.941142671E0
