"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.026249903E-4,-1.243913269E-1,-1.134041748E0,8.660091248E0,8.734912953E0
9.421375027E-3,-1.868115234E-1,-1.051263885E0,9.015003204E0,9.078013939E0
1.944637502E-2,-1.513352966E-1,-1.042282562E0,9.803713074E0,9.860124002E0
2.947037501E-2,-1.225950623E-1,-1.074166260E0,1.043884232E1,1.049467920E1
3.949537501E-2,-6.975494385E-2,-1.146016846E0,1.053748718E1,1.059985172E1
4.951937502E-2,-8.741821289E-2,-1.240320740E0,1.024918671E1,1.032433367E1
5.954437502E-2,-1.109193420E-1,-1.288520508E0,9.848020935E0,9.932577940E0
6.956837501E-2,-1.377136230E-1,-1.285526733E0,9.560468903E0,9.647492403E0
7.959337501E-2,-1.555265808E-1,-1.283431091E0,9.474248199E0,9.562048046E0
8.961737502E-2,-1.526824951E-1,-1.293310547E0,9.670041046E0,9.757338671E0
9.964237502E-2,-1.480421448E-1,-1.318757629E0,9.967921600E0,1.005586889E1
1.096663750E-1,-1.583706665E-1,-1.341210938E0,1.009440857E1,1.018435135E1
1.196913750E-1,-1.642085266E-1,-1.361269226E0,1.004321503E1,1.013637935E1
1.297153750E-1,-1.589694214E-1,-1.344504089E0,9.883796539E0,9.976091246E0
1.397403750E-1,-1.678010559E-1,-1.313668213E0,9.754615173E0,9.844104761E0
1.497643750E-1,-1.695973206E-1,-1.286724243E0,9.730814667E0,9.816984089E0
1.597893750E-1,-1.603166199E-1,-1.254241791E0,9.785750427E0,9.867103694E0
1.698133750E-1,-1.505868530E-1,-1.246907043E0,9.883946228E0,9.963425446E0
1.798383750E-1,-1.553768921E-1,-1.234482880E0,9.928553467E0,1.000621127E1
1.898623750E-1,-1.579216003E-1,-1.234033813E0,9.907297668E0,9.985105196E0
1.998873750E-1,-1.601669312E-1,-1.239572296E0,9.862840118E0,9.941720582E0
2.099113750E-1,-1.544787598E-1,-1.253792725E0,9.849667511E0,9.930347927E0
2.199363750E-1,-1.679507446E-1,-1.259780273E0,9.857301636E0,9.938895780E0
2.299603750E-1,-1.764830017E-1,-1.257684631E0,9.862840118E0,9.944271320E0
2.399853750E-1,-1.703457642E-1,-1.262774048E0,9.843380585E0,9.925510431E0
2.500093750E-1,-1.907034302E-1,-1.270408173E0,9.872869263E0,9.956096233E0
2.600343750E-1,-1.933978271E-1,-1.272952881E0,9.867181091E0,9.950832852E0
2.700583750E-1,-1.516346741E-1,-1.284179535E0,9.806706848E0,9.891592863E0
