"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.731151300E-2,2.775911689E-1,-2.607003689E0,9.556077957E0
2.973750300E-2,2.301225960E-1,-2.630222797E0,9.489248276E0
3.216349200E-2,1.447441578E-1,-2.643633842E0,9.437073708E0
3.458948200E-2,9.731730819E-2,-2.652626276E0,9.399035454E0
3.701547100E-2,4.513881728E-2,-2.661614180E0,9.365817070E0
3.944146100E-2,-3.578373790E-2,-2.713666201E0,9.337384224E0
4.186745100E-2,-1.311117411E-1,-2.794411421E0,9.304129601E0
4.429344000E-2,-5.543232560E-1,-3.034349918E0,9.018527031E0
4.671943000E-2,-7.916021347E-1,-3.117376804E0,8.770713806E0
4.914541900E-2,-6.630994081E-1,-3.032303572E0,8.837289810E0
5.157140900E-2,-5.252469182E-1,-2.957200766E0,8.946855545E0
5.399739900E-2,-3.638677597E-1,-2.915824890E0,9.041753769E0
5.642338800E-2,-2.262103558E-1,-2.878976822E0,9.122423172E0
5.884937800E-2,-1.028861031E-1,-2.851789951E0,9.227083206E0
6.127536700E-2,-8.113417774E-3,-2.838801146E0,9.331867218E0
6.370135700E-2,8.654782176E-2,-2.849681377E0,9.412605286E0
6.612734600E-2,1.432713568E-1,-2.860239029E0,9.488801003E0
6.855333600E-2,1.860916018E-1,-2.827245235E0,9.536550522E0
7.097932600E-2,2.097966075E-1,-2.822780609E0,9.560358047E0
7.340531500E-2,2.334486544E-1,-2.827895880E0,9.579335213E0
7.583130500E-2,2.241881788E-1,-2.798830032E0,9.555581093E0
7.830505500E-2,2.335603237E-1,-2.818093777E0,9.550648689E0
8.072765900E-2,2.478766739E-1,-2.808496237E0,9.536232948E0
8.315026300E-2,2.336358428E-1,-2.817807674E0,9.507555962E0
8.557276300E-2,2.193699181E-1,-2.827214241E0,9.493241310E0
8.799536700E-2,2.052237689E-1,-2.812719822E0,9.498184204E0
9.041786700E-2,1.576209962E-1,-2.836447001E0,9.507966995E0
9.284057600E-2,1.718423963E-1,-2.836588144E0,9.512660980E0
9.526328400E-2,1.670264900E-1,-2.841516495E0,9.536611557E0
9.768594000E-2,1.575677693E-1,-2.831959486E0,9.555868149E0
1.001084400E-1,1.575955749E-1,-2.822475195E0,9.575062752E0
1.025310960E-1,1.245209724E-1,-2.798286915E0,9.589747429E0
1.049537530E-1,1.057962477E-1,-2.764374495E0,9.570864677E0
1.073764090E-1,1.390465200E-1,-2.759759903E0,9.561093330E0
1.097991170E-1,1.296577901E-1,-2.754626989E0,9.522870064E0
1.122217210E-1,1.438458562E-1,-2.768962860E0,9.493987083E0
1.146442210E-1,1.628692448E-1,-2.768917799E0,9.465134621E0
1.170669300E-1,1.723586619E-1,-2.773669481E0,9.445899010E0
1.194895340E-1,1.770071983E-1,-2.797511816E0,9.412247658E0
1.219121900E-1,1.960109472E-1,-2.792852163E0,9.412144661E0
1.243349510E-1,1.723672748E-1,-2.787704945E0,9.388380051E0
1.267576070E-1,2.009133399E-1,-2.778216839E0,9.373870850E0
1.291803150E-1,1.960056722E-1,-2.811629772E0,9.345026970E0
1.316030760E-1,1.578532457E-1,-2.844945908E0,9.340339661E0
1.340256800E-1,1.197147071E-1,-2.873520136E0,9.345249176E0
1.364483880E-1,7.674926519E-2,-2.916443348E0,9.345339775E0
1.388710440E-1,5.770935863E-2,-2.930619240E0,9.331037521E0
1.412936490E-1,2.936411463E-2,-2.911209345E0,9.336093903E0
1.437163570E-1,5.795683712E-3,-2.891709089E0,9.321967125E0
1.461390650E-1,5.923906341E-3,-2.867776155E0,9.336436272E0
1.485615650E-1,3.450619057E-2,-2.848771811E0,9.336334229E0
1.509842210E-1,4.415161163E-2,-2.820106268E0,9.350762367E0
1.534067210E-1,4.900080338E-2,-2.800983429E0,9.360391617E0
1.558293780E-1,8.220361173E-2,-2.801238775E0,9.360175133E0
1.582520340E-1,1.060342565E-1,-2.782229900E0,9.364892960E0
1.606744300E-1,1.393765658E-1,-2.763199091E0,9.355184555E0
1.630969300E-1,1.583831608E-1,-2.763217688E0,9.335906982E0
1.655193780E-1,1.820213199E-1,-2.773074865E0,9.345286369E0
1.679418260E-1,1.724876165E-1,-2.791938543E0,9.302171707E0
1.703644300E-1,1.821416318E-1,-2.777308226E0,9.259080887E0
1.727869300E-1,1.820718944E-1,-2.786951303E0,9.263826370E0
1.752093780E-1,1.869994998E-1,-2.772221327E0,9.211189270E0
1.776318780E-1,1.773175895E-1,-2.796335459E0,9.235087395E0
1.800543780E-1,1.582273841E-1,-2.810702324E0,9.249511719E0
1.824770340E-1,1.486794949E-1,-2.820240498E0,9.249531746E0
1.848995340E-1,1.392039955E-1,-2.810747147E0,9.278364182E0
1.873221380E-1,1.630624235E-1,-2.782253981E0,9.302275658E0
1.897446380E-1,1.676606834E-1,-2.806287289E0,9.297352791E0
1.921672940E-1,1.391452849E-1,-2.810969830E0,9.311881065E0
1.945896900E-1,1.392205358E-1,-2.796616077E0,9.321519852E0
1.970120860E-1,1.250185519E-1,-2.787022591E0,9.340806961E0
1.994345340E-1,1.441814303E-1,-2.767691374E0,9.302461624E0
2.018570340E-1,1.394911259E-1,-2.758074999E0,9.307323456E0
2.042794300E-1,1.348705888E-1,-2.738816023E0,9.307437897E0
2.067019300E-1,1.397281587E-1,-2.719661951E0,9.312278748E0
2.091243780E-1,1.064333171E-1,-2.733823776E0,9.312432289E0
2.115468260E-1,1.160173714E-1,-2.714769125E0,9.326817513E0
2.139694300E-1,1.162266061E-1,-2.685839653E0,9.312579155E0
2.163918260E-1,1.546721756E-1,-2.623275995E0,9.255146027E0
2.188142740E-1,3.582952917E-1,-2.078204632E0,8.719941139E0
2.212369300E-1,3.974188864E-1,-1.928661823E0,8.591063499E0
2.236594300E-1,3.197260499E-1,-2.103721619E0,8.988218307E0
2.260820340E-1,2.468825877E-1,-2.273726225E0,9.342271805E0
2.285045340E-1,3.468580246E-1,-2.146486521E0,9.605533600E0
2.309272420E-1,3.319113851E-1,-2.252261162E0,9.629107475E0
2.333498460E-1,2.451435030E-1,-2.453825235E0,9.686242104E0
2.357724510E-1,1.359172016E-1,-2.458173752E0,9.744391441E0
2.381949510E-1,-2.395784110E-2,-2.156211376E0,1.005319786E1
2.406177110E-1,2.858588099E-1,-2.007506132E0,9.735820770E0
2.430404710E-1,2.890460789E-1,-2.266668081E0,9.677204132E0
2.454631800E-1,2.314827144E-1,-2.367149830E0,9.677135468E0
2.478858360E-1,1.690030694E-1,-2.487008810E0,9.705743790E0
2.503085440E-1,1.163916886E-1,-2.530462980E0,9.796870232E0
2.527312010E-1,8.273395896E-2,-2.583515406E0,9.863888741E0
2.551538050E-1,-1.265012100E-2,-2.655093908E0,9.897710800E0
2.575762530E-1,-7.470580935E-2,-2.712383747E0,9.912225723E0
2.599989090E-1,-9.873416275E-2,-2.779036045E0,9.845054626E0
