"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.358458169E-3,8.722062378E0,-1.476828918E0,4.015100555E0
1.333145821E-2,8.545579376E0,-1.687440948E0,4.016148376E0
2.330445824E-2,8.572074280E0,-1.860331421E0,3.900289307E0
3.327645827E-2,8.695717163E0,-1.870659943E0,3.953877869E0
4.324945831E-2,8.722661133E0,-1.745071106E0,4.026776276E0
5.322245834E-2,8.776100006E0,-1.536854095E0,4.042044525E0
6.319445837E-2,8.916208649E0,-1.322649536E0,4.219575348E0
7.316745818E-2,9.027726746E0,-1.191522217E0,4.542603607E0
8.314045821E-2,8.971743164E0,-1.149759064E0,4.845124512E0
9.311245824E-2,8.871152344E0,-1.129102020E0,5.002896423E0
1.030854583E-1,8.603209534E0,-1.182241516E0,4.978646851E0
1.130584583E-1,8.280929718E0,-1.204395447E0,4.812791748E0
1.230304583E-1,8.067772980E0,-1.212628326E0,4.636308746E0
1.330034584E-1,8.056845703E0,-1.243763580E0,4.441264343E0
1.429764582E-1,8.259823608E0,-1.294208679E0,4.312382355E0
1.529484582E-1,8.161777496E0,-1.311572571E0,4.397255859E0
1.629214582E-1,7.765102386E0,-1.437011719E0,4.575984192E0
1.728944583E-1,7.407046967E0,-1.631607056E0,4.844675446E0
1.828664583E-1,7.245832214E0,-1.640887756E0,4.974754944E0
1.928394584E-1,7.275919647E0,-1.516346741E0,4.924160156E0
2.028124584E-1,7.217990112E0,-1.595532074E0,5.264851685E0
2.127844582E-1,7.210056610E0,-2.163151703E0,6.061495056E0
2.227574582E-1,7.335944824E0,-2.476749573E0,6.021228790E0
2.327304583E-1,7.453001404E0,-2.209854584E0,5.588927765E0
2.427034583E-1,7.482939148E0,-1.859433289E0,5.577102356E0
2.526754583E-1,7.285200348E0,-1.834734650E0,5.883964233E0
2.626484584E-1,7.149582367E0,-1.983076172E0,5.793552246E0
2.726214582E-1,6.949747925E0,-1.823657684E0,5.742358704E0
2.825934582E-1,6.771169281E0,-1.454375610E0,5.476361847E0
2.925664582E-1,6.888974304E0,-1.378483429E0,5.510341187E0
3.025394583E-1,7.204817505E0,-1.677860870E0,5.797294464E0
3.125114583E-1,7.157515869E0,-2.154020691E0,5.834716644E0
3.224844583E-1,6.860533447E0,-2.604284363E0,6.040538635E0
3.324574584E-1,6.754853210E0,-2.939287720E0,6.568041687E0
3.424294582E-1,6.294410706E0,-3.265758820E0,6.547684021E0
3.524024582E-1,6.148763580E0,-3.494483185E0,6.411467285E0
3.623754582E-1,6.054160309E0,-3.736230469E0,6.827003174E0
3.723474583E-1,5.562582550E0,-3.972139893E0,7.194488983E0
3.823204583E-1,5.053491211E0,-4.104913788E0,7.429799652E0
3.922934583E-1,4.741240540E0,-3.965553589E0,7.659871216E0
4.022654584E-1,4.889582062E0,-3.527714081E0,7.782466278E0
4.122384582E-1,5.022355957E0,-3.115022278E0,8.012986908E0
4.222114582E-1,4.858895874E0,-2.811154175E0,8.616831207E0
4.321834582E-1,4.250411224E0,-2.614762573E0,9.063502350E0
4.421564583E-1,3.214116211E0,-2.436632996E0,9.402397614E0
4.521294583E-1,2.628833313E0,-2.134860535E0,9.192234650E0
4.621014583E-1,2.466421051E0,-1.976040802E0,8.992400208E0
4.720744584E-1,2.459535370E0,-1.591191101E0,9.898915100E0
4.820474582E-1,2.488125916E0,-1.266965332E0,1.036774017E1
4.920194582E-1,2.431244202E0,-1.092727661E0,1.006477020E1
5.019924582E-1,2.330803070E0,-1.165027313E0,9.861642609E0
5.119654583E-1,2.004930725E0,-1.559756470E0,9.711055756E0
5.219384583E-1,1.566492462E0,-1.795067139E0,9.444609833E0
5.319104583E-1,1.322799225E0,-1.325643311E0,9.306596832E0
5.418834584E-1,1.328637085E0,2.709365845E-2,8.599167938E0
5.518564582E-1,1.094374237E0,1.408121796E0,7.498806152E0
5.618284582E-1,6.096821594E-1,2.162253571E0,9.079668732E0
5.718014583E-1,8.547225952E-2,2.256856842E0,1.322754318E1
5.817744583E-1,-1.199006653E-1,2.037413177E0,1.542197983E1
5.917464583E-1,-3.707789612E-1,2.080822906E0,1.476918732E1
6.017194584E-1,-6.306385803E-1,2.177970886E0,1.266875519E1
6.116924584E-1,-2.267784119E-1,2.150577850E0,1.023945694E1
6.216644582E-1,3.161425781E-1,2.021546173E0,8.777596893E0
6.316374582E-1,5.783972168E-1,1.543590088E0,8.908873901E0
6.416104583E-1,7.062313843E-1,1.250948639E0,9.540560303E0
6.515824583E-1,1.014590149E0,1.263372803E0,9.441616058E0
6.615554583E-1,1.417701874E0,1.630259857E0,9.159452820E0
6.715284584E-1,2.009571075E0,1.919159088E0,8.699908447E0
6.815004584E-1,2.274520111E0,1.861229553E0,8.457412720E0
6.914734582E-1,1.847907257E0,1.711989899E0,8.526568909E0
7.014464582E-1,1.807042236E0,1.490450592E0,8.480614471E0
7.114184583E-1,1.937870178E0,1.177601166E0,8.772058411E0
7.213914583E-1,1.930086365E0,8.394543457E-1,8.982071686E0
7.313644583E-1,1.449136505E0,2.462379456E-1,9.266330566E0
7.413364584E-1,6.764433289E-1,-9.714797974E-2,1.006417145E1
7.513094582E-1,1.760339355E-1,-1.748364258E-1,1.086844894E1
7.612824582E-1,2.679428101E-1,-2.043251038E-1,1.159653488E1
7.712554582E-1,6.264472961E-1,6.960525513E-2,1.172841064E1
7.812274583E-1,8.864566040E-1,3.384461975E-1,1.136586456E1
7.912004583E-1,8.411009216E-1,2.155517578E-1,1.086111420E1
8.011734583E-1,7.753875732E-1,1.106199646E-1,1.043150757E1
8.111454584E-1,1.147962799E0,-1.655557251E-1,1.001686981E1
8.211184582E-1,1.185235291E0,-2.935395813E-1,9.789792023E0
8.310914582E-1,1.049617310E0,-2.439926147E-2,9.851314087E0
8.410634582E-1,9.611512756E-1,5.777984619E-2,9.998009033E0
8.510364583E-1,6.372248840E-1,-1.100212097E-1,1.012868729E1
8.610094583E-1,8.150550842E-1,-2.778222656E-1,9.730664978E0
8.709814583E-1,1.424437866E0,-4.790039063E-2,9.361981659E0
8.809544584E-1,1.438209229E0,2.740800476E-1,9.600435791E0
8.909274582E-1,1.131347351E0,5.228627014E-1,9.278455353E0
9.008994582E-1,7.843688965E-1,6.605763245E-1,8.879235535E0
9.108724582E-1,1.095721436E-1,8.656498718E-1,9.179810486E0
9.208452499E-1,-1.371148682E-1,9.940827942E-1,9.642049255E0
9.308172499E-1,7.589218140E-2,9.571096802E-1,1.028032196E1
9.407902500E-1,3.194357300E-1,1.054257660E0,1.060364960E1
9.507632500E-1,5.783972168E-1,1.075812836E0,1.007075775E1
9.607352500E-1,7.201524353E-1,6.996450806E-1,9.573940887E0
9.707082498E-1,2.281256104E-1,3.305126953E-1,9.667945404E0
9.806812499E-1,-2.519261169E-1,1.275347900E-1,9.695188751E0
9.906532499E-1,-4.194277954E-1,2.727328491E-1,9.459279327E0
1.000626250E0,-5.372328186E-1,7.053332520E-1,9.169631653E0
1.010599250E0,-5.384303284E-1,1.245260468E0,9.185498657E0
1.020571250E0,-4.757107544E-1,1.734293518E0,9.443711700E0
1.030544250E0,-2.044747925E-1,2.162552948E0,9.771979065E0
1.040517250E0,-2.088157654E-1,2.562371521E0,1.006926086E1
1.050490250E0,-4.912783813E-1,2.890339508E0,9.777816925E0
1.060462250E0,-4.185296631E-1,2.503094788E0,8.678502960E0
1.070435250E0,-4.995112610E-1,1.830543365E0,7.883356476E0
1.080408250E0,-1.386267242E0,6.590794373E-1,7.164401550E0
1.090380250E0,-5.143304443E-1,-5.912704468E-1,7.924670563E0
1.100353250E0,2.715503082E0,-7.050338745E-1,1.122410934E1
1.110326250E0,5.114863586E0,-5.878276062E-1,1.395562912E1
1.120298250E0,4.459975433E0,-7.908055115E-1,1.377300888E1
1.130271250E0,1.804048462E0,-7.156617737E-1,1.168080963E1
1.140244250E0,2.224374390E-1,-2.210902405E-1,9.788444824E0
1.150216250E0,9.759704590E-2,8.831634521E-2,8.894503784E0
1.160189250E0,4.020639038E-1,2.694396973E-1,8.885821838E0
1.170162250E0,5.861810303E-1,4.834945679E-1,9.645492096E0
1.180134250E0,5.858816528E-1,6.765930176E-1,1.042761566E1
1.190107250E0,5.867797852E-1,7.348219299E-1,1.068493057E1
1.200080250E0,5.090913391E-1,5.995033264E-1,1.040740768E1
1.210052250E0,3.444337463E-1,3.689826965E-1,9.902357941E0
1.220025250E0,1.709445190E-1,1.651066589E-1,9.418414307E0
1.229998250E0,9.145980835E-2,4.894821167E-2,9.167536011E0
1.239970250E0,1.634600830E-1,1.990859985E-2,9.236841888E0
1.249943250E0,3.459306335E-1,2.335144043E-2,9.457782440E0
1.259916250E0,4.245172119E-1,3.697311401E-2,9.725874939E0
1.269888250E0,4.433779907E-1,4.640350342E-2,1.001207977E1
1.279861250E0,5.309458923E-1,6.496490479E-2,1.028675858E1
1.289834250E0,6.565347290E-1,7.903564453E-2,1.029544052E1
1.299807250E0,8.978329468E-1,1.278341675E-1,1.003049149E1
1.309779250E0,1.043929138E0,1.960922241E-1,9.879455566E0
1.319752250E0,8.183482361E-1,2.433938599E-1,9.745334473E0
1.329725250E0,8.970845032E-1,3.430865479E-1,9.759704590E0
1.339697250E0,1.358724518E0,4.816983032E-1,9.787397003E0
1.349670250E0,1.475631409E0,6.310876465E-1,9.510772247E0
1.359643250E0,1.152752838E0,6.373745728E-1,9.056017914E0
1.369615250E0,6.680607605E-1,5.149291992E-1,9.006470947E0
1.379588250E0,3.906875610E-1,3.314108276E-1,9.510023804E0
1.389561250E0,3.302133179E-1,2.035766602E-1,1.035636383E1
1.399533250E0,2.728825378E-1,2.154020691E-1,1.094793365E1
1.409506250E0,2.028282166E-1,3.502716064E-1,1.090796677E1
1.419479250E0,1.309776306E-1,4.809498596E-1,1.031340317E1
1.429451250E0,7.694000244E-2,5.054988098E-1,9.762249298E0
1.439424250E0,1.092727661E-1,4.572990417E-1,9.486372986E0
1.449397250E0,1.784289551E-1,4.131408691E-1,9.434131622E0
