"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.603583329E-3,-2.859054565E-2,-2.294578400E0,1.066068100E1,1.090486253E1
1.262858332E-2,-5.209167480E-2,-2.132166138E0,1.102083206E1,1.122531003E1
2.265258334E-2,-1.088237000E-1,-1.938319244E0,9.953252106E0,1.014081612E1
3.267758334E-2,-1.612147522E-1,-1.692380676E0,8.260122986E0,8.433254075E0
4.270258333E-2,-3.100053406E-1,-1.509461060E0,7.392527161E0,7.551425946E0
5.272658332E-2,-5.333409119E-1,-1.488205261E0,7.702682190E0,7.863238541E0
6.275158335E-2,-6.730004883E-1,-1.605112152E0,8.725804596E0,8.897695237E0
7.277558334E-2,-8.156538391E-1,-1.806293793E0,9.771829376E0,9.970789227E0
8.280058333E-2,-9.794132996E-1,-2.027384033E0,1.043959076E1,1.067963443E1
9.282458332E-2,-1.034199371E0,-2.268233185E0,1.063987427E1,1.092800872E1
1.028495833E-1,-9.699829102E-1,-2.503094788E0,1.053090088E1,1.086766873E1
1.128745833E-1,-8.192463684E-1,-2.691403198E0,1.027717850E1,1.065529041E1
1.228985833E-1,-6.894662476E-1,-2.770438843E0,9.988728333E0,1.038871449E1
1.329235833E-1,-6.141728210E-1,-2.788850555E0,9.641151123E0,1.005518228E1
1.429475833E-1,-5.709127808E-1,-2.739453278E0,9.322912903E0,9.733819942E0
1.529725833E-1,-5.619314575E-1,-2.653981018E0,9.090146942E0,9.486314017E0
1.629965833E-1,-5.969586182E-1,-2.539768524E0,9.091643829E0,9.458581885E0
1.730215833E-1,-6.396199036E-1,-2.444566498E0,9.311686249E0,9.648446496E0
1.830465833E-1,-7.050338745E-1,-2.373763733E0,9.614656219E0,9.928415848E0
1.930705833E-1,-7.366181946E-1,-2.308798828E0,9.842183075E0,1.013615934E1
2.030955833E-1,-7.396119690E-1,-2.267185364E0,9.942025452E0,1.022404154E1
2.131195833E-1,-6.911128235E-1,-2.232158203E0,9.917177124E0,1.018874719E1
2.231445833E-1,-6.390211487E-1,-2.201771393E0,9.795330505E0,1.006005194E1
2.331685833E-1,-6.221063232E-1,-2.173629913E0,9.641151123E0,9.902700554E0
2.431935833E-1,-6.268963623E-1,-2.153571625E0,9.519603882E0,9.780272382E0
2.532185833E-1,-6.215075684E-1,-2.144739990E0,9.437275085E0,9.697852459E0
2.632425833E-1,-6.361770630E-1,-2.150577850E0,9.445657654E0,9.708251895E0
2.732675833E-1,-6.713539124E-1,-2.179467773E0,9.551786957E0,9.820256103E0
2.832915833E-1,-6.839277649E-1,-2.225122833E0,9.679172058E0,9.955164516E0
2.933165833E-1,-6.879693604E-1,-2.277214508E0,9.772428131E0,1.005780092E1
3.033405833E-1,-6.836283875E-1,-2.310744781E0,9.831405487E0,1.012242180E1
3.133655833E-1,-6.882687378E-1,-2.333946533E0,9.821376343E0,1.011832266E1
3.233905833E-1,-6.613247681E-1,-2.319127350E0,9.750124512E0,1.004393499E1
3.334145833E-1,-6.343807983E-1,-2.295476532E0,9.661508789E0,9.950698648E0
3.434395833E-1,-5.888754272E-1,-2.238445129E0,9.589358826E0,9.864745995E0
3.534635833E-1,-4.950205994E-1,-2.204016724E0,9.617649994E0,9.879368731E0
3.634885833E-1,-4.116439819E-1,-2.208357697E0,9.657018127E0,9.914852172E0
3.735125833E-1,-4.159849548E-1,-2.213596802E0,9.650581512E0,9.909933290E0
3.835375833E-1,-4.873864746E-1,-2.210752716E0,9.665101318E0,9.926689108E0
3.935625833E-1,-5.513035583E-1,-2.229613495E0,9.666747894E0,9.935850583E0
4.035865833E-1,-5.465135193E-1,-2.235002289E0,9.656119995E0,9.926457859E0
4.136115833E-1,-5.069956970E-1,-2.200274506E0,9.792187042E0,1.004913825E1
4.236355833E-1,-5.275030518E-1,-2.146985321E0,9.850715332E0,1.009576139E1
4.336605833E-1,-5.251080322E-1,-2.069895630E0,9.796078949E0,1.002613431E1
4.436845833E-1,-5.306465149E-1,-2.033221893E0,9.762099609E0,9.985698061E0
4.537095833E-1,-5.590873718E-1,-2.050885162E0,9.706714783E0,9.936751004E0
4.637345833E-1,-5.849835205E-1,-2.121987305E0,9.645492096E0,9.893460144E0
4.737585833E-1,-5.743556213E-1,-2.226470032E0,9.639354858E0,9.909803997E0
4.837835833E-1,-5.523513794E-1,-2.339335327E0,9.642648010E0,9.937718172E0
4.938075833E-1,-5.111869812E-1,-2.435734863E0,9.633217621E0,9.949522510E0
5.038325833E-1,-4.688250732E-1,-2.515069885E0,9.620943146E0,9.955296103E0
5.138565833E-1,-4.565505981E-1,-2.559826813E0,9.633217621E0,9.977977425E0
5.238815833E-1,-4.547543335E-1,-2.563718719E0,9.661059723E0,1.000577484E1
5.339065833E-1,-4.769082642E-1,-2.537972260E0,9.654323730E0,9.993733605E0
5.439305833E-1,-5.075944519E-1,-2.483635254E0,9.625583496E0,9.953790928E0
5.539555833E-1,-5.358856201E-1,-2.394271088E0,9.632618866E0,9.940173724E0
5.639795833E-1,-5.614823914E-1,-2.325414276E0,9.626182251E0,9.918981740E0
5.740045833E-1,-5.698649597E-1,-2.267185364E0,9.625284119E0,9.905098178E0
5.840285833E-1,-5.646258545E-1,-2.229164429E0,9.646689606E0,9.916985265E0
5.940535833E-1,-5.695655823E-1,-2.212848358E0,9.634415131E0,9.901669441E0
6.040785833E-1,-5.465135193E-1,-2.222578125E0,9.616302795E0,9.884928427E0
6.141025833E-1,-5.284011841E-1,-2.242786102E0,9.598190460E0,9.870894459E0
6.241275833E-1,-5.474116516E-1,-2.273023224E0,9.598489838E0,9.879134641E0
6.341515833E-1,-5.920188904E-1,-2.303709412E0,9.632020111E0,9.921359526E0
6.441765833E-1,-6.465055847E-1,-2.327659607E0,9.630074158E0,9.928458944E0
6.542005833E-1,-6.896159363E-1,-2.314037933E0,9.640702057E0,9.938484686E0
6.642255833E-1,-6.935078430E-1,-2.302661591E0,9.645641785E0,9.940905842E0
6.742505833E-1,-6.896159363E-1,-2.288141785E0,9.641300812E0,9.933068222E0
