"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.247499841E-4,-7.171586609E-1,-3.247047729E0,9.531728668E0,1.009512194E1
1.064975001E-2,-5.954617310E-1,-2.839595032E0,8.944948883E0,9.403721877E0
2.067475001E-2,-4.483177185E-1,-2.616259460E0,8.079448700E0,8.504310298E0
3.069874999E-2,-4.254153442E-1,-2.489772491E0,7.835755463E0,8.232800796E0
4.072374999E-2,-4.769082642E-1,-2.336640930E0,8.550070038E0,8.876431151E0
5.074874999E-2,-5.227130127E-1,-2.398462372E0,9.350156250E0,9.667019838E0
6.077375001E-2,-5.813909912E-1,-2.599793701E0,9.981393585E0,1.033078703E1
7.079875001E-2,-5.517526245E-1,-2.801274719E0,1.034813095E1,1.073477458E1
8.082375000E-2,-4.040098572E-1,-3.018772430E0,1.034558624E1,1.078458927E1
9.084875000E-2,-3.221301270E-1,-3.060236206E0,1.010488678E1,1.056302752E1
1.008737500E-1,-3.775149536E-1,-3.031196594E0,9.828561401E0,1.029229273E1
1.108987500E-1,-5.140310669E-1,-2.950214996E0,9.574839020E0,1.003222501E1
1.209227500E-1,-6.424639893E-1,-2.839894409E0,9.314829712E0,9.759293663E0
1.309477500E-1,-6.929090881E-1,-2.772235107E0,9.166039124E0,9.601129293E0
1.409727500E-1,-6.556365967E-1,-2.717449036E0,9.218579865E0,9.633099362E0
1.509977500E-1,-5.926176453E-1,-2.654280396E0,9.439071350E0,9.823057978E0
1.610227500E-1,-5.252577209E-1,-2.616259460E0,9.652976532E0,1.001502198E1
1.710477500E-1,-4.641847229E-1,-2.591411133E0,9.737251282E0,1.008686976E1
1.810727500E-1,-4.324507141E-1,-2.581831055E0,9.742939453E0,1.008849515E1
1.910977500E-1,-4.369413757E-1,-2.592309265E0,9.673783264E0,1.002462307E1
2.011227500E-1,-4.704716492E-1,-2.620750122E0,9.530830536E0,9.895777154E0
2.111467500E-1,-5.213658142E-1,-2.643353119E0,9.434131622E0,9.811318846E0
2.211717500E-1,-5.492079163E-1,-2.669249268E0,9.445358276E0,9.830631412E0
2.311967500E-1,-5.447172546E-1,-2.721191254E0,9.483379211E0,9.881097105E0
2.412217500E-1,-5.249583435E-1,-2.781964874E0,9.518705750E0,9.930793975E0
2.512467500E-1,-5.093907166E-1,-2.820285187E0,9.552385712E0,9.973041673E0
2.612717500E-1,-4.980143738E-1,-2.830164642E0,9.607022095E0,1.002759810E1
2.712967500E-1,-4.709207153E-1,-2.834355927E0,9.633067932E0,1.005242944E1
2.813217500E-1,-4.258644104E-1,-2.831212463E0,9.631720734E0,1.004824208E1
2.913467500E-1,-3.891906738E-1,-2.823877716E0,9.576934662E0,9.992168546E0
3.013707500E-1,-3.817062378E-1,-2.789000244E0,9.521400146E0,9.928810743E0
3.113957500E-1,-3.787124634E-1,-2.754721527E0,9.515412598E0,9.913374336E0
3.214207500E-1,-3.917353821E-1,-2.731819153E0,9.552385712E0,9.943056134E0
3.314457500E-1,-4.064048767E-1,-2.702629852E0,9.559570770E0,9.942573427E0
3.414707500E-1,-4.331991577E-1,-2.672692108E0,9.532327423E0,9.909400119E0
3.514957500E-1,-4.490661621E-1,-2.648891602E0,9.505084076E0,9.877495149E0
3.615207500E-1,-4.697232056E-1,-2.625989227E0,9.464518433E0,9.833288792E0
